source_frame,foot_x_px,foot_y_px
19599,1137.0,863.25
19599,382.875,793.5
19599,1351.5,752.25
19599,942.0,556.125
19599,1559.625,615.75
19599,769.5,867.0
19599,630.75,868.5
19599,915.0,789.75
19599,1674.0,481.5
19602,1363.5,756.0
19602,1140.0,861.75
19602,374.25,807.0
19602,909.0,794.25
19602,771.75,863.25
19602,631.125,868.5
19602,1563.0,616.5
19602,924.0,555.0
19602,1674.0,485.25
19605,1369.5,757.5
19605,1143.0,862.5
19605,912.0,579.0
19605,363.375,813.0
19605,905.25,804.0
19605,632.25,868.5
19605,774.1875,867.0
19605,1559.625,622.875
19605,1674.0,486.0
19608,1143.0,861.75
19608,1382.25,758.25
19608,364.5,816.75
19608,894.0,555.0
19608,632.25,868.5
19608,773.25,867.0
19608,904.5,805.5
19608,1566.0,620.25
19608,897.0,804.75
19608,1671.0,483.375
19608,1558.5,624.0
19611,1140.75,864.0
19611,1403.25,757.5
19611,363.0,840.75
19611,879.0,555.75
19611,769.5,867.0
19611,632.25,868.5
19611,903.0,806.25
19611,1556.625,623.25
19611,655.875,597.75
19611,1669.5,483.0
19611,895.5,804.0
19614,1137.0,864.75
19614,1417.5,767.25
19614,891.0,804.0
19614,864.0,575.25
19614,360.75,844.5
19614,632.25,868.5
19614,766.5,867.75
19614,1555.5,624.75
19614,1669.5,483.375
19617,1432.5,759.75
19617,1132.5,864.0
19617,886.5,801.0
19617,374.625,849.0
19617,633.0,868.5
19617,762.75,866.25
19617,847.5,559.875
19617,1551.0,624.0
19617,1668.0,483.0
19620,1123.5,862.5
19620,1443.0,774.0
19620,381.375,857.25
19620,634.125,868.5
19620,878.25,802.5
19620,1551.0,616.875
19620,838.5,555.375
19620,760.125,868.5
19620,1669.5,482.25
19623,1122.0,863.25
19623,1447.5,775.5
19623,381.9375,863.25
19623,634.125,867.75
19623,1549.5,622.875
19623,873.75,801.75
19623,835.5,554.25
19623,759.75,834.0
19623,1666.5,483.0
19626,1120.5,865.5
19626,1456.5,776.25
19626,872.25,802.5
19626,1549.5,621.75
19626,633.75,868.5
19626,384.375,881.25
19626,829.5,560.25
19626,1665.0,483.0
19626,828.0,552.0
19629,1119.0,865.5
19629,873.0,802.5
19629,1474.5,774.0
19629,633.75,867.75
19629,388.875,878.25
19629,1551.375,624.0
19629,828.0,555.0
19629,768.75,865.5
19632,1119.75,865.5
19632,873.75,801.75
19632,634.5,868.5
19632,776.8125,865.5
19632,828.0,556.875
19632,1488.0,775.5
19632,402.0,921.0
19632,678.75,633.0
19635,1126.5,865.5
19635,873.0,803.25
19635,1514.25,780.0
19635,423.09375,924.0
19635,630.0,867.0
19635,785.25,867.0
19635,827.25,556.5
19638,1130.25,865.5
19638,1515.0,782.25
19638,615.0,869.25
19638,873.75,803.25
19638,453.0,926.25
19638,828.0,563.25
19638,795.0,864.0
19638,1671.0,482.25
19641,1134.0,865.5
19641,1527.75,780.75
19641,616.125,867.0
19641,874.5,803.25
19641,476.25,927.75
19641,810.0,864.0
19641,831.75,567.0
19641,1662.0,480.75
19644,1141.5,866.25
19644,1550.625,783.0
19644,634.5,864.75
19644,832.5,553.875
19644,875.25,810.0
19644,495.375,907.5
19644,816.0,864.75
19644,1662.0,480.0
19647,1144.5,868.5
19647,1596.0,785.25
19647,650.25,866.25
19647,835.5,558.0
19647,825.75,864.0
19647,879.0,815.25
19650,1148.25,862.5
19650,1620.0,786.0
19650,1587.0,620.25
19650,843.0,553.5
19650,888.0,812.25
19650,676.5,865.5
19650,246.0,969.0
19653,1162.5,864.0
19653,1663.5,792.75
19653,878.25,810.75
19653,682.875,864.75
19653,850.5,549.75
19653,1602.0,616.5
19653,708.375,610.875
19653,247.875,970.5
19656,1167.75,862.5
19656,1683.0,802.5
19656,888.75,808.5
19656,1617.0,620.25
19656,858.0,565.5
19656,676.5,864.75
19656,1692.0,477.75
19656,249.75,966.0
19659,1710.0,807.75
19659,1172.25,863.25
19659,1624.5,610.5
19659,861.0,569.25
19662,1177.5,858.75
19662,1749.0,822.75
19662,1635.0,611.625
19662,920.25,866.25
19662,864.75,566.25
19662,728.25,865.5
19665,1194.0,858.75
19665,1647.0,619.5
19665,1821.0,824.25
19665,869.25,559.875
19665,941.25,821.25
19665,758.25,864.75
19668,1212.0,861.0
19668,1846.5,834.75
19668,1683.0,619.5
19668,781.5,863.25
19668,859.5,564.75
19668,982.5,862.5
19668,942.0,810.75
19671,1224.75,858.0
19671,1723.5,615.0
19671,873.75,557.625
19671,772.5,611.25
19671,960.0,832.5
19671,1896.0,858.75
19671,804.75,867.0
19671,570.75,639.75
19671,783.75,868.5
19671,1014.75,848.25
19671,249.375,969.0
19674,1267.5,862.5
19674,794.25,621.75
19674,1755.0,623.25
19674,886.5,549.375
19674,971.25,840.0
19674,250.125,969.0
19677,1288.5,856.5
19677,1776.0,626.625
19677,805.5,630.75
19680,1306.5,859.5
19680,831.0,628.5
19680,1794.0,624.75
19680,1156.5,856.5
19680,955.5,517.125
19683,1330.5,859.5
19683,1199.25,779.25
19683,1848.0,628.875
19683,976.5,513.0
19683,997.5,514.125
19686,1346.25,860.25
19686,1039.5,498.75
19686,1867.5,620.25
19689,1366.5,862.5
19689,1053.0,517.5
19689,428.625,551.625
19689,888.0,517.5
19689,1879.5,622.5
19689,1267.5,796.5
19689,918.0,627.75
19689,240.375,969.0
19692,882.75,531.75
19692,597.75,456.75
19692,1101.0,501.375
19692,1410.0,856.5
19692,235.078125,966.75
19692,990.75,626.25
19692,1020.75,865.5
19692,46.546875,972.0
19695,1423.5,864.75
19695,1155.75,502.5
19695,877.5,528.75
19695,42.3984375,972.0
19695,1024.5,623.25
19698,1094.25,864.75
19698,1443.0,883.5
19698,876.0,513.75
19698,39.1171875,970.5
19701,870.0,526.5
19701,1041.75,651.75
19701,1086.0,873.75
19704,859.5,507.75
19704,1266.0,480.75
19704,1102.5,876.75
19704,1456.5,928.5
19704,1491.0,402.0
19704,1098.0,618.0
19707,836.25,502.5
19707,1113.75,866.25
19707,1269.0,474.0
19707,405.375,501.75
19707,1590.0,751.5
19707,1159.5,608.25
19710,813.75,501.0
19710,1587.375,921.0
19710,1134.0,861.0
19710,1184.25,600.75
19710,598.125,438.0
19710,718.125,348.75
19713,1621.5,900.0
19713,1128.0,868.5
19713,808.5,490.5
19713,1624.5,904.5
19713,1329.0,469.5
19716,1662.0,906.0
19716,1638.0,898.5
19716,792.0,488.25
