audit_id,arm,role,group_index,mean_abs_point_line_distance_px,target_roles
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,raw_lsd,near_baseline,680,15.043043140906,paint_near_baseline_left_corner;paint_near_baseline_right_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,raw_lsd,near_free_throw,602,6.860321384349,paint_near_free_throw_left_corner;paint_near_free_throw_right_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,raw_lsd,lane_left,342,3.447552057719,paint_near_baseline_left_corner;paint_near_free_throw_left_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,raw_lsd,lane_right,505,12.772889747363,paint_near_baseline_right_corner;paint_near_free_throw_right_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,top_hat,near_baseline,141,14.548936018716,paint_near_baseline_left_corner;paint_near_baseline_right_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,top_hat,near_free_throw,212,4.085158479628,paint_near_free_throw_left_corner;paint_near_free_throw_right_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,top_hat,lane_left,214,4.300267713937,paint_near_baseline_left_corner;paint_near_free_throw_left_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,top_hat,lane_right,161,13.079891079767,paint_near_baseline_right_corner;paint_near_free_throw_right_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,raw_lsd,near_baseline,361,13.063489770381,paint_near_baseline_left_corner;paint_near_baseline_right_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,raw_lsd,near_free_throw,535,3.403826826116,paint_near_free_throw_left_corner;paint_near_free_throw_right_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,raw_lsd,lane_left,537,10.174791921514,paint_near_baseline_left_corner;paint_near_free_throw_left_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,raw_lsd,lane_right,255,20.563479894799,paint_near_baseline_right_corner;paint_near_free_throw_right_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,top_hat,near_baseline,19,11.019721753488,paint_near_baseline_left_corner;paint_near_baseline_right_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,top_hat,near_free_throw,154,2.930070144632,paint_near_free_throw_left_corner;paint_near_free_throw_right_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,top_hat,lane_left,242,13.024348842263,paint_near_baseline_left_corner;paint_near_free_throw_left_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,top_hat,lane_right,41,30.148625503038,paint_near_baseline_right_corner;paint_near_free_throw_right_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,raw_lsd,near_baseline,32,10.178412103207,paint_near_baseline_left_corner;paint_near_baseline_right_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,raw_lsd,near_free_throw,29,15.206447645211,paint_near_free_throw_left_corner;paint_near_free_throw_right_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,raw_lsd,lane_left,35,1.229669250022,paint_near_baseline_left_corner;paint_near_free_throw_left_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,raw_lsd,lane_right,65,7.346710954843,paint_near_baseline_right_corner;paint_near_free_throw_right_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,top_hat,near_baseline,5,24.103425609221,paint_near_baseline_left_corner;paint_near_baseline_right_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,top_hat,near_free_throw,10,29.102818604744,paint_near_free_throw_left_corner;paint_near_free_throw_right_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,top_hat,lane_left,10,1.997914104923,paint_near_baseline_left_corner;paint_near_free_throw_left_corner
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,top_hat,lane_right,23,13.205507332031,paint_near_baseline_right_corner;paint_near_free_throw_right_corner
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,raw_lsd,near_baseline,862,8.413537798689,paint_near_baseline_left_corner;paint_near_baseline_right_corner
