geometry,sigma_px,draw,seed,n_candidates,n_classes,geometry_status,heldout_status,orientation_status,winner_objective_j,runner_up_objective_j,margin,labelled_gap_px,modulo_gap_px,modulo_form,attaining_element,probe_err_m_median,probe_err_m_p95,probe_err_modulo_m_median,probe_err_modulo_m_p95,n_probes_in_frame,candidate_hypotheses_count,deduplicated_symmetry_images_count
G1_SYNTH_QUAD,0.25,0,4798181468274788924,8,1,NO_DISTINCT_RUNNER_UP,REFUSED_VALIDATION,UNKNOWN,0.7565494709877513,,,416.5832214355469,0.49952977895736694,form_two,mirror_x,9.120656030524682,15.226280545930182,0.026707989720142603,0.12486553270752497,154,107648,15083
G1_SYNTH_QUAD,0.25,3,7814334280833788321,8,1,NO_DISTINCT_RUNNER_UP,REFUSED_VALIDATION,UNKNOWN,0.8029768287236966,,,416.7345275878906,0.9698891639709473,form_two,mirror_x,9.117986611765655,15.216832417421852,0.04158392114439437,0.14233552655435625,154,119460,11850
G1_SYNTH_QUAD,0.25,6,16965630739822432780,8,1,NO_DISTINCT_RUNNER_UP,REFUSED_VALIDATION,UNKNOWN,0.8003572243541929,,,0.9905978441238403,0.9905978441238403,form_two,identity,0.04782707375935846,0.08915174702249508,0.04782707375935846,0.08915174702249508,154,109292,12929
G1_SYNTH_QUAD,0.25,9,17317616799417330486,8,1,NO_DISTINCT_RUNNER_UP,VALID,UNKNOWN,0.788127573291261,,,1.1899704933166504,1.1899704933166504,form_two,identity,0.04119992413217938,0.1392852114319261,0.04119992413217938,0.1392852114319261,154,113420,9163
G1_SYNTH_QUAD,0.25,12,1773755994768933289,8,1,NO_DISTINCT_RUNNER_UP,REFUSED_VALIDATION,UNKNOWN,0.7533566268844221,,,0.8467299938201904,0.8467299938201904,form_two,identity,0.02844215464423094,0.11412413864849907,0.02844215464423094,0.11412413864849907,154,107796,12849
G1_SYNTH_QUAD,0.25,15,7171013636354712309,8,1,NO_DISTINCT_RUNNER_UP,VALID,UNKNOWN,0.7438792319753063,,,1.795591115951538,1.795591115951538,form_two,identity,0.06818288905885886,0.15569871408209912,0.06818288905885886,0.15569871408209912,154,112116,12170
G1_SYNTH_QUAD,0.25,18,11483052479000391190,8,1,NO_DISTINCT_RUNNER_UP,REFUSED_VALIDATION,UNKNOWN,0.7792223446333228,,,415.57379150390625,1.301875114440918,form_two,mirror_x,9.151401935842905,15.270894974894205,0.047937070618610925,0.06763033751257407,154,114356,13908
G1_SYNTH_QUAD,0.25,21,2191440696372856180,8,1,NO_DISTINCT_RUNNER_UP,VALID,UNKNOWN,0.7620647947991913,,,1.1228660345077515,1.1228660345077515,form_two,identity,0.03902818558872931,0.08298972509195486,0.03902818558872931,0.08298972509195486,154,117476,12731
G1_SYNTH_QUAD,0.25,24,10849758158449999159,8,1,NO_DISTINCT_RUNNER_UP,REFUSED_VALIDATION,UNKNOWN,0.7916120212880811,,,1.4398531913757324,1.4398531913757324,form_two,identity,0.06227455538576346,0.10107222375693642,0.06227455538576346,0.10107222375693642,154,114596,13813
G1_SYNTH_QUAD,0.25,27,13110861646458320766,8,1,NO_DISTINCT_RUNNER_UP,VALID,UNKNOWN,0.8004495438618876,,,416.64544677734375,1.5973632335662842,form_two,mirror_x,9.11396882481143,15.215041787400096,0.05661989869191187,0.1413236436137323,154,119152,10288
G1_SYNTH_QUAD,0.50,0,17151808924495007159,8,1,NO_DISTINCT_RUNNER_UP,REFUSED_VALIDATION,UNKNOWN,0.7558247168459485,,,416.1712341308594,0.9756139516830444,form_two,mirror_x,9.133830658029439,15.252367042954143,0.05342922247422774,0.1460042035100483,154,111568,12813
G1_SYNTH_QUAD,0.50,3,17222208109194550634,8,1,NO_DISTINCT_RUNNER_UP,REFUSED_VALIDATION,UNKNOWN,0.7597411649311008,,,1.5095808506011963,1.5095808506011963,form_two,identity,0.06997506924332483,0.32396981172610845,0.06997506924332483,0.32396981172610845,154,106112,6967
G1_SYNTH_QUAD,0.50,6,15389636404748667973,8,1,NO_DISTINCT_RUNNER_UP,REFUSED_VALIDATION,UNKNOWN,0.7861423971664966,,,0.8897740244865417,0.8897740244865417,form_two,identity,0.052770470075021905,0.1222305705819936,0.052770470075021905,0.1222305705819936,154,109716,19178
G1_SYNTH_QUAD,0.50,9,237570750203409207,8,1,NO_DISTINCT_RUNNER_UP,REFUSED_VALIDATION,UNKNOWN,0.7994443040397299,,,1.0622931718826294,1.0622931718826294,form_two,identity,0.03777715930044591,0.07066558317132343,0.03777715930044591,0.07066558317132343,154,114204,12736
G1_SYNTH_QUAD,0.50,12,6729501620095097195,8,1,NO_DISTINCT_RUNNER_UP,VALID,UNKNOWN,0.6899411762180041,,,1.402716875076294,1.402716875076294,form_two,identity,0.04443360195552233,0.0637974034224715,0.04443360195552233,0.0637974034224715,154,113752,3004
G1_SYNTH_QUAD,0.50,15,9030662399419687250,8,1,NO_DISTINCT_RUNNER_UP,REFUSED_VALIDATION,UNKNOWN,0.7770197115950848,,,0.8641027212142944,0.8641027212142944,form_two,identity,0.04516770500455637,0.09582583519984393,0.04516770500455637,0.09582583519984393,154,107984,20641
G1_SYNTH_QUAD,0.50,18,17611259451451311635,8,1,NO_DISTINCT_RUNNER_UP,VALID,UNKNOWN,0.7286594716747802,,,1.619027853012085,1.619027853012085,form_two,identity,0.08467699737806983,0.16937427974986038,0.08467699737806983,0.16937427974986038,154,114000,12367
G1_SYNTH_QUAD,0.50,21,6611223371693913679,8,1,NO_DISTINCT_RUNNER_UP,VALID,UNKNOWN,0.7903755226326947,,,0.7752548456192017,0.7752548456192017,form_two,identity,0.02999903544850903,0.12288201475958738,0.02999903544850903,0.12288201475958738,154,117520,9748
