control,geometry,seed,detail,expected,observed,outcome
exact_line_input,G1_SYNTH_QUAD,0,"sigma=0 projected endpoints, archived corner solve",0.000000,0.000000,PASS
exact_line_input,G2_WIDE,0,"sigma=0 projected endpoints, archived corner solve",0.000000,0.000000,PASS
exact_line_input,G3_TIGHT,0,"sigma=0 projected endpoints, archived corner solve",0.000000,0.000000,PASS
exact_line_input,G4_OFF_AXIS,0,"sigma=0 projected endpoints, archived corner solve",0.000000,0.000000,PASS
exact_group_arithmetic,KNOWN_H,0,"mirror_x image of the known homography, modulo gap",0.000000,0.000000,PASS
truth_swap,G1_SYNTH_QUAD,0,swapped-truth modulo=42.83747100830078,"('NO_DISTINCT_RUNNER_UP', None, 0.8273323097420697, None, (np.float64(18.399543251), np.float64(6.043739378), np.float64(179.655859474), np.float64(-0.000104475), np.float64(-8.597555866), np.float64(691.071493615), np.float64(-1.17e-07), np.float64(0.00946548), np.float64(1.0)))","('NO_DISTINCT_RUNNER_UP', None, 0.8273323097420697, None, (np.float64(18.399543251), np.float64(6.043739378), np.float64(179.655859474), np.float64(-0.000104475), np.float64(-8.597555866), np.float64(691.071493615), np.float64(-1.17e-07), np.float64(0.00946548), np.float64(1.0)))",PASS
truth_swap,G2_WIDE,0,swapped-truth modulo=42.667633056640625,"('NO_DISTINCT_RUNNER_UP', None, 0.8332174483256124, None, (np.float64(-20.805964563), np.float64(5.993130119), np.float64(1159.229192953), np.float64(-0.004291839), np.float64(-7.486302874), np.float64(699.296496927), np.float64(-1.0182e-05), np.float64(0.009382585), np.float64(1.0)))","('NO_DISTINCT_RUNNER_UP', None, 0.8332174483256124, None, (np.float64(-20.805964563), np.float64(5.993130119), np.float64(1159.229192953), np.float64(-0.004291839), np.float64(-7.486302874), np.float64(699.296496927), np.float64(-1.0182e-05), np.float64(0.009382585), np.float64(1.0)))",PASS
truth_swap,G3_TIGHT,0,swapped-truth modulo=68.96493530273438,"('NO_DISTINCT_RUNNER_UP', None, 0.734200175683103, None, (np.float64(15.105868156), np.float64(6.115913283), np.float64(261.053544182), np.float64(-0.020782185), np.float64(-6.293670531), np.float64(658.642525564), np.float64(-3.4335e-05), np.float64(0.009526205), np.float64(1.0)))","('NO_DISTINCT_RUNNER_UP', None, 0.734200175683103, None, (np.float64(15.105868156), np.float64(6.115913283), np.float64(261.053544182), np.float64(-0.020782185), np.float64(-6.293670531), np.float64(658.642525564), np.float64(-3.4335e-05), np.float64(0.009526205), np.float64(1.0)))",PASS
truth_swap,G4_OFF_AXIS,0,swapped-truth modulo=32.9832763671875,"('NO_DISTINCT_RUNNER_UP', None, 0.7712390075376885, None, (np.float64(18.170504001), np.float64(4.922648906), np.float64(200.992948893), np.float64(-0.905620265), np.float64(-7.257099491), np.float64(699.334413941), np.float64(-0.00016514), np.float64(0.009258015), np.float64(1.0)))","('NO_DISTINCT_RUNNER_UP', None, 0.7712390075376885, None, (np.float64(18.170504001), np.float64(4.922648906), np.float64(200.992948893), np.float64(-0.905620265), np.float64(-7.257099491), np.float64(699.334413941), np.float64(-0.00016514), np.float64(0.009258015), np.float64(1.0)))",PASS
permutation_invariance,G1_SYNTH_QUAD,3710909,n=8 candidates,"('NO_DISTINCT_RUNNER_UP', None, 0.8273323097420697, None, (np.float64(18.399543251), np.float64(6.043739378), np.float64(179.655859474), np.float64(-0.000104475), np.float64(-8.597555866), np.float64(691.071493615), np.float64(-1.17e-07), np.float64(0.00946548), np.float64(1.0)))","('NO_DISTINCT_RUNNER_UP', None, 0.8273323097420697, None, (np.float64(18.399543251), np.float64(6.043739378), np.float64(179.655859474), np.float64(-0.000104475), np.float64(-8.597555866), np.float64(691.071493615), np.float64(-1.17e-07), np.float64(0.00946548), np.float64(1.0)))",PASS
clone_invariance,G1_SYNTH_QUAD,3710909,n=8 candidates,"('NO_DISTINCT_RUNNER_UP', None, 0.8273323097420697, None, (np.float64(18.399543251), np.float64(6.043739378), np.float64(179.655859474), np.float64(-0.000104475), np.float64(-8.597555866), np.float64(691.071493615), np.float64(-1.17e-07), np.float64(0.00946548), np.float64(1.0)))","('NO_DISTINCT_RUNNER_UP', None, 0.8273323097420697, None, (np.float64(18.399543251), np.float64(6.043739378), np.float64(179.655859474), np.float64(-0.000104475), np.float64(-8.597555866), np.float64(691.071493615), np.float64(-1.17e-07), np.float64(0.00946548), np.float64(1.0)))",PASS
permutation_invariance,G2_WIDE,3710909,n=8 candidates,"('NO_DISTINCT_RUNNER_UP', None, 0.8332174483256124, None, (np.float64(-20.805964563), np.float64(5.993130119), np.float64(1159.229192953), np.float64(-0.004291839), np.float64(-7.486302874), np.float64(699.296496927), np.float64(-1.0182e-05), np.float64(0.009382585), np.float64(1.0)))","('NO_DISTINCT_RUNNER_UP', None, 0.8332174483256124, None, (np.float64(-20.805964563), np.float64(5.993130119), np.float64(1159.229192953), np.float64(-0.004291839), np.float64(-7.486302874), np.float64(699.296496927), np.float64(-1.0182e-05), np.float64(0.009382585), np.float64(1.0)))",PASS
