geometry,sigma_px,draw,symmetry_class,objective_j,source_element,enumeration_rank,candidate_hypotheses_count,deduplicated_symmetry_images_count
G4_OFF_AXIS,0.00,0,0,0.7712390075376885,mirror_x,3,106736,15538
G4_OFF_AXIS,0.00,0,0,0.7708391352514525,identity,6,106736,15538
G4_OFF_AXIS,0.00,0,0,0.7708391352514525,mirror_x,7,106736,15538
G4_OFF_AXIS,0.00,0,0,0.7663197733050016,identity,4,106736,15538
G4_OFF_AXIS,0.00,0,0,0.7663197733050016,mirror_x,5,106736,15538
G4_OFF_AXIS,0.00,0,0,0.7663197733050016,identity,8,106736,15538
G1_SYNTH_QUAD,0.25,0,0,0.7565494709877513,identity,1,107648,15083
G1_SYNTH_QUAD,0.25,0,0,0.7565494709877513,identity,2,107648,15083
G1_SYNTH_QUAD,0.25,0,0,0.7565494709877513,mirror_x,4,107648,15083
G1_SYNTH_QUAD,0.25,0,0,0.7565494709877513,identity,7,107648,15083
G1_SYNTH_QUAD,0.25,0,0,0.7565494709877513,identity,8,107648,15083
G1_SYNTH_QUAD,0.25,0,0,0.7551836943506596,mirror_x,3,107648,15083
G1_SYNTH_QUAD,0.25,0,0,0.7551836943506596,mirror_x,5,107648,15083
G1_SYNTH_QUAD,0.25,0,0,0.7551836943506596,identity,6,107648,15083
G1_SYNTH_QUAD,0.25,3,0,0.8029768287236966,mirror_x,1,119460,11850
G1_SYNTH_QUAD,0.25,3,0,0.8029768287236966,identity,3,119460,11850
G1_SYNTH_QUAD,0.25,3,0,0.8029768287236966,mirror_x,5,119460,11850
G1_SYNTH_QUAD,0.25,3,0,0.8029768287236966,identity,6,119460,11850
G1_SYNTH_QUAD,0.25,3,0,0.8025768797601288,mirror_x,8,119460,11850
G1_SYNTH_QUAD,0.25,3,0,0.8019959722931062,identity,2,119460,11850
G1_SYNTH_QUAD,0.25,3,0,0.8019959722931062,mirror_x,4,119460,11850
G1_SYNTH_QUAD,0.25,3,0,0.8019959722931062,identity,7,119460,11850
G1_SYNTH_QUAD,0.25,6,0,0.8003572243541929,identity,3,109292,12929
G1_SYNTH_QUAD,0.25,6,0,0.8003572243541929,identity,4,109292,12929
G1_SYNTH_QUAD,0.25,6,0,0.799957275390625,identity,1,109292,12929
G1_SYNTH_QUAD,0.25,6,0,0.799957275390625,mirror_x,2,109292,12929
G1_SYNTH_QUAD,0.25,6,0,0.799957275390625,identity,6,109292,12929
G1_SYNTH_QUAD,0.25,6,0,0.7967730191484768,identity,7,109292,12929
G1_SYNTH_QUAD,0.25,6,0,0.7967730191484768,mirror_x,8,109292,12929
G1_SYNTH_QUAD,0.25,6,0,0.7963730701849089,identity,5,109292,12929
G1_SYNTH_QUAD,0.25,9,0,0.788127573291261,mirror_x,2,113420,9163
G1_SYNTH_QUAD,0.25,9,0,0.788127573291261,mirror_x,4,113420,9163
G1_SYNTH_QUAD,0.25,9,0,0.788127573291261,mirror_x,6,113420,9163
G1_SYNTH_QUAD,0.25,9,0,0.788127496613929,identity,1,113420,9163
G1_SYNTH_QUAD,0.25,9,0,0.788127496613929,identity,3,113420,9163
G1_SYNTH_QUAD,0.25,9,0,0.788127496613929,identity,5,113420,9163
G1_SYNTH_QUAD,0.25,9,0,0.788127496613929,mirror_x,7,113420,9163
G1_SYNTH_QUAD,0.25,9,0,0.788127496613929,mirror_x,8,113420,9163
G1_SYNTH_QUAD,0.25,12,0,0.7533566268844221,mirror_x,1,107796,12849
G1_SYNTH_QUAD,0.25,12,0,0.7533566268844221,mirror_x,3,107796,12849
G1_SYNTH_QUAD,0.25,12,0,0.7512364986553863,identity,4,107796,12849
