group,tables,rows_total,rows_median,distinct_frames_total,distinct_frames_median,tables_ge_30_frames,court_feet_tables,missing_coordinate_declaration,empty_header_only,direct_source_duration_resolution_available,direct_latest_coverage_available,acquisition_queue_or_search_term_available
reaches_gate,8,45065,2476.5,18267,1053,8,8,0,0,3,3,0
rest,8,29377,2428,16549,2428,5,1,5,2,0,0,0
