group,unique_clips,adapter_outcomes,thin_outcomes,thin_rate,tracked,timeout,corrupt
g117_named_kbo_studio_clips,12,15,0,0.0000,15,0,0
all_other_adapter_clip_ids,172,354,158,0.4463,169,24,3
