clip_id,status,tracking_path,tracking_bytes,ball_path,ball_bytes,player_x_p01,player_x_p99,player_y_p01,player_y_p99,ball_x_p01,ball_x_p99,ball_y_p01,ball_y_p99,ratio_x,ratio_y,source_width,source_height,league,daemon_code_version,ball_frame,anomalous
0022500040,OK,data\tracking\0022500040\tracking_data.csv,9930295,data\tracking\0022500040\ball_tracking.csv,466164,-43.414980,673.894842,-36.948182,313.000000,75.000000,43452.120000,21.000000,16377.480000,60.471945,46.739720,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500041,OK,data\tracking\0022500041\tracking_data.csv,972574,data\tracking\0022500041\ball_tracking.csv,057551,-38.479002,544.000000,-29.351049,287.641521,179.000000,1831.810000,574.190000,2017.000000,2.837544,4.551558,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500042,OK,data\tracking\0022500042\tracking_data.csv,1362877,data\tracking\0022500042\ball_tracking.csv,070576,139.337504,695.162151,-28.840027,327.170981,7.540000,44987.000000,832.400000,16243.560000,80.923831,43.288437,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500043,OK,data\tracking\0022500043\tracking_data.csv,647772,data\tracking\0022500043\ball_tracking.csv,011941,-126.305400,699.079505,-51.540125,315.000000,511.200000,2416.800000,13.500000,1494.000000,2.308741,4.039121,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500044,OK,data\tracking\0022500044\tracking_data.csv,15424020,data\tracking\0022500044\ball_tracking.csv,490452,12.000000,677.616931,-28.106865,315.358151,3.000000,3758.000000,23.000000,779.000000,5.641383,2.201098,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500045,OK,data\tracking\0022500045\tracking_data.csv,6625492,data\tracking\0022500045\ball_tracking.csv,178182,-62.002013,656.354003,-51.648579,315.000000,90.000000,10326.000000,118.000000,2044.420000,14.249202,5.254132,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500046,OK,data\tracking\0022500046\tracking_data.csv,2800143,data\tracking\0022500046\ball_tracking.csv,100234,-24.899822,734.550072,-62.278031,337.591779,61.690000,3207.330000,26.000000,1032.000000,4.141998,2.515819,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500047,OK,data\tracking\0022500047\tracking_data.csv,92557047,data\tracking\0022500047\ball_tracking.csv,1387847,-185.790119,932.824290,-117.986195,410.503565,5.000000,1850.250000,5.000000,2736.250000,1.649585,5.168028,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500048,OK,data\tracking\0022500048\tracking_data.csv,10210219,data\tracking\0022500048\ball_tracking.csv,179129,-131.688268,733.176537,-43.278679,320.965577,214.000000,2721.280000,312.030000,2008.000000,2.899043,4.656134,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500049,OK,data\tracking\0022500049\tracking_data.csv,3909918,data\tracking\0022500049\ball_tracking.csv,390062,16.571062,683.689489,-41.829313,321.377796,0.000000,3953.000000,41.040000,742.000000,5.925485,1.929918,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500053,OK,data\tracking\0022500053\tracking_data.csv,12072968,data\tracking\0022500053\ball_tracking.csv,172138,-15.000000,755.137352,-40.195981,334.630437,10.000000,1489.840000,15.000000,772.000000,1.921527,2.019602,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500054,OK,data\tracking\0022500054\tracking_data.csv,12135664,data\tracking\0022500054\ball_tracking.csv,164816,-69.883970,757.648053,-58.808701,337.986147,3.000000,2641.700000,10.000000,1368.820000,3.188638,3.424490,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500055,OK,data\tracking\0022500055\tracking_data.csv,11448184,data\tracking\0022500055\ball_tracking.csv,167868,-80.260490,781.030520,-39.767407,321.408870,14.410000,3331.670000,4.410000,1703.590000,3.851497,4.704573,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500060,OK,data\tracking\0022500060\tracking_data.csv,25265073,data\tracking\0022500060\ball_tracking.csv,499024,-15.000000,759.492223,-46.564724,327.277893,5.000000,2998.000000,5.000000,647.000000,3.864467,1.717300,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500061,OK,data\tracking\0022500061\tracking_data.csv,17856408,data\tracking\0022500061\ball_tracking.csv,514840,-79.839970,719.679218,-47.062014,323.901508,11.000000,2337.000000,22.000000,989.000000,2.909249,2.606725,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500062,OK,data\tracking\0022500062\tracking_data.csv,4713327,data\tracking\0022500062\ball_tracking.csv,151904,-26.508432,707.141615,-28.195059,293.216115,804.000000,14099.600000,73.400000,24881.200000,18.122537,77.184000,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
