frame_approx,video_sec,game_clock_sec,period,score_home,score_away,score_margin,shot_clock_est
4555,152,1376,2,47,62,-15,8.0
4585,153,1377,2,47,62,-15,7.0
4615,154,1378,2,47,62,-15,6.0
4645,155,1379,2,47,62,-15,5.0
4675,156,1380,2,47,64,-17,24.0
4705,157,1381,2,47,64,-17,23.0
4735,158,1382,2,47,64,-17,22.0
4765,159,1383,2,47,64,-17,21.0
4795,160,1384,2,47,64,-17,20.0
4825,161,1385,2,47,64,-17,19.0
4855,162,1386,2,47,64,-17,18.0
4885,163,1387,2,47,64,-17,17.0
4915,164,1388,2,47,64,-17,16.0
4945,165,1389,2,47,64,-17,15.0
4975,166,1390,2,47,64,-17,14.0
5004,167,1391,2,47,64,-17,13.0
5034,168,1392,2,47,64,-17,12.0
5064,169,1393,2,47,64,-17,11.0
5094,170,1394,2,49,64,-15,24.0
5124,171,1395,2,49,64,-15,23.0
5154,172,1396,2,49,64,-15,22.0
5184,173,1397,2,49,64,-15,21.0
5214,174,1398,2,49,64,-15,20.0
5244,175,1399,2,49,64,-15,19.0
5274,176,1400,2,49,64,-15,18.0
5304,177,1401,2,49,64,-15,17.0
5334,178,1402,2,49,64,-15,16.0
5364,179,1403,2,49,64,-15,15.0
5394,180,1404,2,49,64,-15,14.0
5424,181,1405,2,49,64,-15,13.0
5454,182,1406,2,49,64,-15,12.0
5484,183,1407,2,49,64,-15,11.0
5514,184,1408,2,49,64,-15,10.0
5544,185,1409,2,49,64,-15,9.0
5574,186,1410,2,49,64,-15,8.0
5604,187,1411,2,49,64,-15,7.0
5634,188,1412,2,49,64,-15,6.0
5664,189,1413,2,49,64,-15,5.0
5694,190,1414,2,49,64,-15,4.0
5724,191,1415,2,49,64,-15,3.0
5754,192,1416,2,49,64,-15,2.0
5784,193,1417,2,49,64,-15,1.0
5814,194,1418,2,49,64,-15,0.0
5844,195,1419,2,49,64,-15,0.0
5874,196,1420,2,49,64,-15,0.0
5904,197,1421,2,49,64,-15,0.0
5934,198,1422,2,49,64,-15,0.0
5964,199,1423,2,49,64,-15,0.0
5994,200,1424,2,49,64,-15,0.0
6023,201,1425,2,49,64,-15,0.0
6053,202,1426,2,49,64,-15,0.0
6083,203,1427,2,49,64,-15,0.0
6113,204,1428,2,49,64,-15,0.0
6143,205,1429,2,49,64,-15,0.0
6173,206,1430,2,49,64,-15,0.0
6203,207,1431,2,49,64,-15,0.0
6233,208,1432,2,49,64,-15,0.0
6263,209,1433,2,49,64,-15,0.0
6293,210,1434,2,49,64,-15,0.0
6323,211,1435,2,49,64,-15,14.0
6353,212,1436,2,49,64,-15,13.0
6383,213,1437,2,49,64,-15,12.0
6413,214,1438,2,49,64,-15,14.0
6443,215,1439,2,49,64,-15,13.0
6473,216,1440,3,49,64,-15,24.0
6503,217,1441,3,49,64,-15,23.0
6533,218,1442,3,49,64,-15,22.0
6563,219,1443,3,49,64,-15,21.0
6593,220,1444,3,49,64,-15,20.0
6623,221,1445,3,49,64,-15,19.0
6653,222,1446,3,49,64,-15,18.0
6683,223,1447,3,49,64,-15,17.0
6713,224,1448,3,49,64,-15,16.0
6743,225,1449,3,49,64,-15,15.0
6773,226,1450,3,49,64,-15,14.0
6803,227,1451,3,49,64,-15,13.0
6833,228,1452,3,49,64,-15,12.0
6863,229,1453,3,49,64,-15,11.0
6893,230,1454,3,49,64,-15,10.0
6923,231,1455,3,49,64,-15,9.0
6953,232,1456,3,49,64,-15,8.0
6983,233,1457,3,49,64,-15,7.0
7012,234,1458,3,49,64,-15,6.0
7042,235,1459,3,49,64,-15,5.0
7072,236,1460,3,49,64,-15,4.0
7102,237,1461,3,49,64,-15,3.0
7132,238,1462,3,49,64,-15,2.0
7162,239,1463,3,49,64,-15,1.0
7192,240,1464,3,49,64,-15,0.0
7222,241,1465,3,49,64,-15,0.0
7252,242,1466,3,49,64,-15,0.0
