class,drawn_ticks,ticks_with_same_invocation_check,same_invocation_rows,rows_position_equals_current_box_projection,rows_consistent_by_contract,rows_stale_box,rows_frame_mismatch,ticks_unknown,unknown_reasons
CLAMP,30,28,126,65,0,12,50,2,NO_STORED_POSITION;TICK_NOT_EVALUATED_IN_REPLAY
SUBPIXEL,30,29,153,81,2,24,57,1,TICK_NOT_EVALUATED_IN_REPLAY
