file_name,bytes,quarantine_path,sidecar_path,reason
kbo__kbo_2WqtNa-uUZU.mp4,181212442,data/footage_quarantine/kbo__kbo_2WqtNa-uUZU.mp4,data/footage_quarantine/kbo__kbo_2WqtNa-uUZU.mp4.json,human_confirmed_predominantly_studio_or_statistics_programming_g117
kbo__kbo_8yxSFxuR2Lk.mp4,35218335,data/footage_quarantine/kbo__kbo_8yxSFxuR2Lk.mp4,data/footage_quarantine/kbo__kbo_8yxSFxuR2Lk.mp4.json,human_confirmed_predominantly_studio_or_statistics_programming_g117
kbo__kbo_9Hv-cd-BmSY.mp4,49252274,data/footage_quarantine/kbo__kbo_9Hv-cd-BmSY.mp4,data/footage_quarantine/kbo__kbo_9Hv-cd-BmSY.mp4.json,human_confirmed_predominantly_studio_or_statistics_programming_g117
kbo__kbo_ahHGpSJWcIU.mp4,66378779,data/footage_quarantine/kbo__kbo_ahHGpSJWcIU.mp4,data/footage_quarantine/kbo__kbo_ahHGpSJWcIU.mp4.json,human_confirmed_predominantly_studio_or_statistics_programming_g117
kbo__kbo_bGQwZl43E9Y.mp4,35288716,data/footage_quarantine/kbo__kbo_bGQwZl43E9Y.mp4,data/footage_quarantine/kbo__kbo_bGQwZl43E9Y.mp4.json,human_confirmed_predominantly_studio_or_statistics_programming_g117
kbo__kbo_FDSWjM_OaTs.mp4,46209490,data/footage_quarantine/kbo__kbo_FDSWjM_OaTs.mp4,data/footage_quarantine/kbo__kbo_FDSWjM_OaTs.mp4.json,human_confirmed_predominantly_studio_or_statistics_programming_g117
kbo__kbo_Lh8n_DUXyGE.mp4,39201118,data/footage_quarantine/kbo__kbo_Lh8n_DUXyGE.mp4,data/footage_quarantine/kbo__kbo_Lh8n_DUXyGE.mp4.json,human_confirmed_predominantly_studio_or_statistics_programming_g117
kbo__kbo_lIxmDQyQDtc.mp4,34893710,data/footage_quarantine/kbo__kbo_lIxmDQyQDtc.mp4,data/footage_quarantine/kbo__kbo_lIxmDQyQDtc.mp4.json,human_confirmed_predominantly_studio_or_statistics_programming_g117
kbo__kbo_lrK_Hv6BEE0.mp4,93863930,data/footage_quarantine/kbo__kbo_lrK_Hv6BEE0.mp4,data/footage_quarantine/kbo__kbo_lrK_Hv6BEE0.mp4.json,human_confirmed_predominantly_studio_or_statistics_programming_g117
kbo__kbo_qLQbGFQ0-EQ.mp4,33284423,data/footage_quarantine/kbo__kbo_qLQbGFQ0-EQ.mp4,data/footage_quarantine/kbo__kbo_qLQbGFQ0-EQ.mp4.json,human_confirmed_predominantly_studio_or_statistics_programming_g117
kbo__kbo_tzC71aneg9c.mp4,32998320,data/footage_quarantine/kbo__kbo_tzC71aneg9c.mp4,data/footage_quarantine/kbo__kbo_tzC71aneg9c.mp4.json,human_confirmed_predominantly_studio_or_statistics_programming_g117
kbo__kbo_W-tKSex-WPU.mp4,43553863,data/footage_quarantine/kbo__kbo_W-tKSex-WPU.mp4,data/footage_quarantine/kbo__kbo_W-tKSex-WPU.mp4.json,human_confirmed_predominantly_studio_or_statistics_programming_g117
