source_name,arm,draw_j,endpoint_definition,float_extent_s,rational_extent_s,rational_extent_exact,extent_delta_s,float_within_bar,rational_within_bar,bar_outcome_changed,serialization_explains_change,float_reason,rational_reason
nba__3gBeJyl7Szg_s4514.mp4,B_g401_fps_frame_cap,4,last_admitted,99.983333000000,99.983333333333,5999/60,0.000000333333,False,True,True,True,FRAME_CAP,FRAME_CAP
nba__3gBeJyl7Szg_s4514.mp4,C_proposed_pts_stop,4,first_excluded,100.000000000000,100.000000000000,100/1,0.000000000000,True,True,False,False,DEADLINE,DEADLINE
nba__3gBeJyl7Szg_s4514.mp4,C_proposed_pts_stop,4,last_admitted,99.983333000000,99.983333333333,5999/60,0.000000333333,False,True,True,True,DEADLINE,DEADLINE
nba__FnbFGnX4Qgo_s2822.mp4,A_legacy_frame_cap_3000,5,first_excluded,50.050000000000,50.050000000000,1001/20,0.000000000000,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__FnbFGnX4Qgo_s2822.mp4,A_legacy_frame_cap_3000,5,last_admitted,50.033311000000,50.033311111111,2251499/45000,0.000000111111,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__FnbFGnX4Qgo_s2822.mp4,B_g401_fps_frame_cap,5,first_excluded,100.016578000000,100.016577777778,2250373/22500,-0.000000222222,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__FnbFGnX4Qgo_s2822.mp4,B_g401_fps_frame_cap,5,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__FnbFGnX4Qgo_s2822.mp4,C_proposed_pts_stop,5,first_excluded,100.016578000000,100.016577777778,2250373/22500,-0.000000222222,True,True,False,False,DEADLINE,DEADLINE
nba__FnbFGnX4Qgo_s2822.mp4,C_proposed_pts_stop,5,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,DEADLINE,DEADLINE
nba__H1-Ns9IU-JM_s90.mp4,A_legacy_frame_cap_3000,6,first_excluded,50.050000000000,50.050000000000,1001/20,0.000000000000,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__H1-Ns9IU-JM_s90.mp4,A_legacy_frame_cap_3000,6,last_admitted,50.033311000000,50.033311111111,2251499/45000,0.000000111111,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__H1-Ns9IU-JM_s90.mp4,B_g401_fps_frame_cap,6,first_excluded,100.016578000000,100.016577777778,2250373/22500,-0.000000222222,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__H1-Ns9IU-JM_s90.mp4,B_g401_fps_frame_cap,6,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__H1-Ns9IU-JM_s90.mp4,C_proposed_pts_stop,6,first_excluded,100.016578000000,100.016577777778,2250373/22500,-0.000000222222,True,True,False,False,DEADLINE,DEADLINE
nba__H1-Ns9IU-JM_s90.mp4,C_proposed_pts_stop,6,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,DEADLINE,DEADLINE
nba__H1-Ns9IU-JM_s4314.mp4,A_legacy_frame_cap_3000,7,first_excluded,50.050000000000,50.050000000000,1001/20,0.000000000000,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__H1-Ns9IU-JM_s4314.mp4,A_legacy_frame_cap_3000,7,last_admitted,50.033322000000,50.033322222222,4502999/90000,0.000000222222,False,False,False,False,FRAME_CAP,FRAME_CAP
