source_name,frame_index,integer_pts,rational_s,archived_decimal_s,serialization_matches
basketball__acb-jHcR5UxPGuE_s90.mp4,-1,7801,7801,,True
basketball__acb-jHcR5UxPGuE_s3999.mp4,-1,7801,7801,,True
nba__1rZZ_7buX_Y_s5474.mp4,-1,7787,7787,,True
nba__3gBeJyl7Szg_s1196.mp4,-1,7801,7801,,True
nba__3gBeJyl7Szg_s4514.mp4,-1,7801,7801,,True
nba__FnbFGnX4Qgo_s2822.mp4,-1,7794,7794,,True
nba__H1-Ns9IU-JM_s90.mp4,-1,7793,7793,,True
nba__H1-Ns9IU-JM_s4314.mp4,-1,7793,7793,,True
nba__Kh7Fj4ogPN4_s1262.mp4,-1,7793,7793,,True
nba__Kh7Fj4ogPN4_s4778.mp4,-1,7793,7793,,True
nba__Ktu6yFS9iMo_s1311.mp4,-1,7793,7793,,True
nba__Ktu6yFS9iMo_s4974.mp4,-1,7794,7794,,True
nba__L7o4UCIIqS4_s1373.mp4,-1,7793,7793,,True
nba__L7o4UCIIqS4_s5222.mp4,-1,7794,7794,,True
nba__oL9Uaie2v2A_s2438.mp4,-1,7794,7794,,True
ncaa_basketball__6rQ2sV4upfc_s90.mp4,-1,7793,7793,,True
ncaa_basketball__6rQ2sV4upfc_s4347.mp4,-1,7793,7793,,True
ncaa_basketball__7blRl4zVfrY_s2356.mp4,-1,7793,7793,,True
ncaa_basketball__FyMWTVsJvv8_s90.mp4,-1,7793,7793,,True
ncaa_basketball__FyMWTVsJvv8_s4332.mp4,-1,7793,7793,,True
ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,-1,7793,7793,,True
ncaa_basketball__IpR4pT8iN0Y_s90.mp4,-1,7793,7793,,True
ncaa_basketball__IpR4pT8iN0Y_s3603.mp4,-1,7793,7793,,True
ncaa_basketball__KZK9rv9TnGE_s2858.mp4,-1,7793,7793,,True
ncaa_basketball__KZK9rv9TnGE_s7010.mp4,-1,7794,7794,,True
ncaa_basketball__dAy3tnlu3EQ_s2914.mp4,-1,7793,7793,,True
ncaa_basketball__qTXrSRHHR2M_s1176.mp4,-1,7793,7793,,True
ncaa_basketball__qTXrSRHHR2M_s4434.mp4,-1,7793,7793,,True
ncaa_basketball__s-0Y7aLxXgM_s1275.mp4,-1,7793,7793,,True
ncaa_basketball__s-0Y7aLxXgM_s4830.mp4,-1,7793,7793,,True
