generation,unit,symmetric_line_px,same_band_under_g388_rule
G382,iwbowtaIIz8_s90:000068|FREE_THROW_LINE_LEFT,194.39,NO
G382,iwbowtaIIz8_s90:000068|LANE_LINE_LEFT_FAR,338.67,NO
G382,iwbowtaIIz8_s90:000068|LANE_LINE_LEFT_NEAR,139.39,NO
G382,iwbowtaIIz8_s90:001767|CENTRE_LINE,22.95,NO
G382,iwbowtaIIz8_s90:003399|FREE_THROW_LINE_LEFT,190.62,NO
G382,iwbowtaIIz8_s90:003399|LANE_LINE_LEFT_FAR,357.62,NO
G382,iwbowtaIIz8_s90:003399|LANE_LINE_LEFT_NEAR,111.19,NO
G382,iwbowtaIIz8_s90:005031|CENTRE_LINE,14.87,NO
G382,qrWmO434a0k_s2804:003086|FREE_THROW_LINE_LEFT,218.25,NO
G382,tZeqmc_-_sA_s1332:000040|FREE_THROW_LINE_LEFT,114.58,NO
G382,tZeqmc_-_sA_s1332:002025|FREE_THROW_LINE_LEFT,117.57,NO
G382,tZeqmc_-_sA_s1332:002997|FREE_THROW_LINE_LEFT,151.13,NO
G382,wHs1OssEcAw_s90:005995|CENTRE_LINE,19.99,NO
G387,G387_001|CENTRE_LINE,20.60,NO
G387,G387_003|SIDELINE_FAR,10.80,NO
G387,G387_007|BASELINE_LEFT,535.00,NO
G387,G387_009|BASELINE_RIGHT,69.30,NO
G387,G387_011|BASELINE_RIGHT,47.00,NO
G387,G387_013|BASELINE_LEFT,189.30,NO
G387,G387_016|OTHER_STRAIGHT_1,110.40,NO
G387,G387_017|LANE_LINE_RIGHT_NEAR,3.50,YES
G387,G387_018|FREE_THROW_LINE_RIGHT,3.70,YES
G387,G387_020|CENTRE_LINE,26.00,NO
G387,G387_023|CENTRE_LINE,2.00,YES
G387,G387_030|CENTRE_LINE,6.00,YES
