frame_key,section_id,game_id,source_sha256,frame_index,path,state,scale,native_width,native_height,presence_prediction
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:129,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,129,/workspace/g379_scratch/frames/basketball__euroleague-a_GxgklBtEs_s2783_000129.png,DECODED,0.6666666666666666,1920,1080,COURT
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:258,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,258,/workspace/g379_scratch/frames/basketball__euroleague-a_GxgklBtEs_s2783_000258.png,DECODED,0.6666666666666666,1920,1080,NON_COURT
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:387,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,387,/workspace/g379_scratch/frames/basketball__euroleague-a_GxgklBtEs_s2783_000387.png,DECODED,0.6666666666666666,1920,1080,NON_COURT
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:516,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,516,/workspace/g379_scratch/frames/basketball__euroleague-a_GxgklBtEs_s2783_000516.png,DECODED,0.6666666666666666,1920,1080,NON_COURT
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:646,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,646,/workspace/g379_scratch/frames/basketball__euroleague-a_GxgklBtEs_s2783_000646.png,DECODED,0.6666666666666666,1920,1080,COURT
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:775,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,775,/workspace/g379_scratch/frames/basketball__euroleague-a_GxgklBtEs_s2783_000775.png,DECODED,0.6666666666666666,1920,1080,COURT
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:904,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,904,/workspace/g379_scratch/frames/basketball__euroleague-a_GxgklBtEs_s2783_000904.png,DECODED,0.6666666666666666,1920,1080,NON_COURT
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:1033,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,1033,/workspace/g379_scratch/frames/basketball__euroleague-a_GxgklBtEs_s2783_001033.png,DECODED,0.6666666666666666,1920,1080,NON_COURT
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:1163,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,1163,/workspace/g379_scratch/frames/basketball__euroleague-a_GxgklBtEs_s2783_001163.png,DECODED,0.6666666666666666,1920,1080,COURT
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:1292,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,1292,/workspace/g379_scratch/frames/basketball__euroleague-a_GxgklBtEs_s2783_001292.png,DECODED,0.6666666666666666,1920,1080,COURT
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:1421,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,1421,/workspace/g379_scratch/frames/basketball__euroleague-a_GxgklBtEs_s2783_001421.png,DECODED,0.6666666666666666,1920,1080,COURT
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:1550,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,1550,/workspace/g379_scratch/frames/basketball__euroleague-a_GxgklBtEs_s2783_001550.png,DECODED,0.6666666666666666,1920,1080,COURT
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:1680,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,1680,/workspace/g379_scratch/frames/basketball__euroleague-a_GxgklBtEs_s2783_001680.png,DECODED,0.6666666666666666,1920,1080,COURT
