section_id,game_id,video_id,offset_s,source_path,bytes,source_sha256,width,height,fps,frame_count,duration_s,codec_name
basketball__euroleague-a_GxgklBtEs_s1469,basketball__euroleague-a_GxgklBtEs,a_GxgklBtEs,1469,/workspace/data/footage_corpus/basketball__euroleague-a_GxgklBtEs_s1469.mp4,91053280,5d70772bd489199cc01e3da708d39900f71bb8ada071c3a4ebb32faece8a7886,1920,1080,60.0,8085,130.033000,h264
basketball__euroleague-a_GxgklBtEs_s155,basketball__euroleague-a_GxgklBtEs,a_GxgklBtEs,155,/workspace/data/footage_corpus/basketball__euroleague-a_GxgklBtEs_s155.mp4,68443012,f29f5232f746f3b0a07a260d304042c94c8d04681a46f9f4a0d43363f0079cff,1920,1080,60.0,7981,130.050000,h264
basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,a_GxgklBtEs,2783,/workspace/data/footage_corpus/basketball__euroleague-a_GxgklBtEs_s2783.mp4,91313320,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,1920,1080,60.0,7885,130.050000,h264
basketball__euroleague-a_GxgklBtEs_s4097,basketball__euroleague-a_GxgklBtEs,a_GxgklBtEs,4097,/workspace/data/footage_corpus/basketball__euroleague-a_GxgklBtEs_s4097.mp4,85971568,bbd74360515a644b8412fdc67cffb80b0633301a8fb429a2371a1b034198c056,1920,1080,60.0,7989,130.033000,h264
basketball__euroleague-a_GxgklBtEs_s5411,basketball__euroleague-a_GxgklBtEs,a_GxgklBtEs,5411,/workspace/data/footage_corpus/basketball__euroleague-a_GxgklBtEs_s5411.mp4,85334321,4f3a81f6aa02b9e9daeddb8ba5d1063933200277be8a29cd3ccee042b8c96251,1920,1080,60.0,8093,130.033000,h264
basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,7HQqWMaKxpA,6980,/workspace/data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s6980.mp4,35651209,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,1920,1080,30.0,3950,127.667000,h264
basketball__fiba-Y1cgaIWW8gk_s6825,basketball__fiba-Y1cgaIWW8gk,Y1cgaIWW8gk,6825,/workspace/data/footage_corpus/basketball__fiba-Y1cgaIWW8gk_s6825.mp4,55815234,0bc6f60a62beca8dc12a5b3b99cd5022a0c2d97a32dc630e823be8a83ec45542,1920,1080,30.0,4051,130.034000,h264
basketball__fiba-Y1cgaIWW8gk_s90,basketball__fiba-Y1cgaIWW8gk,Y1cgaIWW8gk,90,/workspace/data/footage_corpus/basketball__fiba-Y1cgaIWW8gk_s90.mp4,58883653,2a8931de71495dd5ec186b9f204b3d3fbe90a82f240995aa7d3a3fb016e7db37,1920,1080,30.0,4051,130.034000,h264
basketball__fiba-fyp4VsE-8Fc_s90,basketball__fiba-fyp4VsE-8Fc,8Fc,90,/workspace/data/footage_corpus/basketball__fiba-fyp4VsE-8Fc_s90.mp4,85266665,4bf0387f7cc4641c38fe031fe544ee5f5f2b6822b55e93ad8319c23ed28f04cb,1920,1080,60.0,8033,130.017000,h264
basketball__fiba-tZeqmc_-_sA_s6365,basketball__fiba-tZeqmc_-_sA,_sA,6365,/workspace/data/footage_corpus/basketball__fiba-tZeqmc_-_sA_s6365.mp4,56088519,5e9e47c913e7457df4c1770d276aa233d5e0b26c19fc5fdb064dc29c04acb572,1920,1080,30.0,3900,125.000000,h264
