frame_key,section_id,prediction,recomputed_prediction,court_probability,recomputed_court_probability,margin,top_two_margin,legacy_margin_reproduces,prediction_reproduces,pool
5d70772bd489199cc01e3da708d39900f71bb8ada071c3a4ebb32faece8a7886:basketball__euroleague-a_GxgklBtEs_s1469:621,basketball__euroleague-a_GxgklBtEs_s1469,COURT,COURT,0.764923964,0.764923964,-0.120464136,0.601377553,0,1,screen_ticks
5d70772bd489199cc01e3da708d39900f71bb8ada071c3a4ebb32faece8a7886:basketball__euroleague-a_GxgklBtEs_s1469:1243,basketball__euroleague-a_GxgklBtEs_s1469,COURT,COURT,0.680397095,0.680397095,-0.081969726,0.533345292,0,1,screen_ticks
5d70772bd489199cc01e3da708d39900f71bb8ada071c3a4ebb32faece8a7886:basketball__euroleague-a_GxgklBtEs_s1469:1865,basketball__euroleague-a_GxgklBtEs_s1469,COURT,COURT,0.625702269,0.625702269,-0.268874745,0.325327189,0,1,screen_ticks
5d70772bd489199cc01e3da708d39900f71bb8ada071c3a4ebb32faece8a7886:basketball__euroleague-a_GxgklBtEs_s1469:2487,basketball__euroleague-a_GxgklBtEs_s1469,ABSTAIN,ABSTAIN,0.358469986,0.358469986,-0.314397157,0.066737114,0,1,screen_ticks
5d70772bd489199cc01e3da708d39900f71bb8ada071c3a4ebb32faece8a7886:basketball__euroleague-a_GxgklBtEs_s1469:3109,basketball__euroleague-a_GxgklBtEs_s1469,NON_COURT,NON_COURT,0.000181467,0.000181467,0.003311180,0.969236375,0,1,screen_ticks
5d70772bd489199cc01e3da708d39900f71bb8ada071c3a4ebb32faece8a7886:basketball__euroleague-a_GxgklBtEs_s1469:3731,basketball__euroleague-a_GxgklBtEs_s1469,NON_COURT,NON_COURT,0.019726050,0.019726050,0.008359084,0.951024403,0,1,screen_ticks
5d70772bd489199cc01e3da708d39900f71bb8ada071c3a4ebb32faece8a7886:basketball__euroleague-a_GxgklBtEs_s1469:4352,basketball__euroleague-a_GxgklBtEs_s1469,NON_COURT,NON_COURT,0.001517576,0.001517576,-0.114989367,0.749526093,0,1,screen_ticks
5d70772bd489199cc01e3da708d39900f71bb8ada071c3a4ebb32faece8a7886:basketball__euroleague-a_GxgklBtEs_s1469:4974,basketball__euroleague-a_GxgklBtEs_s1469,NON_COURT,NON_COURT,0.001896478,0.001896478,-0.210021445,0.547708202,0,1,screen_ticks
5d70772bd489199cc01e3da708d39900f71bb8ada071c3a4ebb32faece8a7886:basketball__euroleague-a_GxgklBtEs_s1469:5596,basketball__euroleague-a_GxgklBtEs_s1469,NON_COURT,NON_COURT,0.000006487,0.000006487,-0.004547207,0.989782440,0,1,screen_ticks
5d70772bd489199cc01e3da708d39900f71bb8ada071c3a4ebb32faece8a7886:basketball__euroleague-a_GxgklBtEs_s1469:6218,basketball__euroleague-a_GxgklBtEs_s1469,NON_COURT,NON_COURT,0.000030730,0.000030730,-0.194181833,0.594757227,0,1,screen_ticks
5d70772bd489199cc01e3da708d39900f71bb8ada071c3a4ebb32faece8a7886:basketball__euroleague-a_GxgklBtEs_s1469:6840,basketball__euroleague-a_GxgklBtEs_s1469,NON_COURT,NON_COURT,0.000016397,0.000016397,0.004566290,0.983167612,0,1,screen_ticks
5d70772bd489199cc01e3da708d39900f71bb8ada071c3a4ebb32faece8a7886:basketball__euroleague-a_GxgklBtEs_s1469:7462,basketball__euroleague-a_GxgklBtEs_s1469,NON_COURT,NON_COURT,0.000135766,0.000135766,-0.035315226,0.849455276,0,1,screen_ticks
f29f5232f746f3b0a07a260d304042c94c8d04681a46f9f4a0d43363f0079cff:basketball__euroleague-a_GxgklBtEs_s155:613,basketball__euroleague-a_GxgklBtEs_s155,NON_COURT,NON_COURT,0.000390759,0.000390759,-0.016990741,0.929768841,0,1,screen_ticks
f29f5232f746f3b0a07a260d304042c94c8d04681a46f9f4a0d43363f0079cff:basketball__euroleague-a_GxgklBtEs_s155:1227,basketball__euroleague-a_GxgklBtEs_s155,NON_COURT,NON_COURT,0.014098003,0.014098003,-0.982555256,0.970081527,0,1,screen_ticks
