section_id,game_id,n_ticks,n_court,n_non_court,n_abstain,court_share,eligible
basketball__euroleague-a_GxgklBtEs_s1469,basketball__euroleague-a_GxgklBtEs,12,3,8,1,0.25,0
basketball__euroleague-a_GxgklBtEs_s155,basketball__euroleague-a_GxgklBtEs,12,0,12,0,0.0,0
basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,12,11,1,0,0.916667,1
basketball__euroleague-a_GxgklBtEs_s4097,basketball__euroleague-a_GxgklBtEs,12,7,4,1,0.583333,1
basketball__euroleague-a_GxgklBtEs_s5411,basketball__euroleague-a_GxgklBtEs,12,9,3,0,0.75,1
basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,12,0,12,0,0.0,0
basketball__fiba-Y1cgaIWW8gk_s6825,basketball__fiba-Y1cgaIWW8gk,12,0,12,0,0.0,0
basketball__fiba-Y1cgaIWW8gk_s90,basketball__fiba-Y1cgaIWW8gk,12,0,12,0,0.0,0
basketball__fiba-fyp4VsE-8Fc_s90,basketball__fiba-fyp4VsE-8Fc,12,0,11,1,0.0,0
basketball__fiba-tZeqmc_-_sA_s6365,basketball__fiba-tZeqmc_-_sA,12,0,12,0,0.0,0
basketball__fiba-tZeqmc_-_sA_s90,basketball__fiba-tZeqmc_-_sA,12,0,10,2,0.0,0
nba__RIrGQJ_jsGQ_s6690,nba__RIrGQJ_jsGQ,12,0,12,0,0.0,0
nba__pPHOlLVyjQc_s1603,nba__pPHOlLVyjQc,12,11,1,0,0.916667,1
ncaa_basketball__QXFM3hlaDAk_s1440,ncaa_basketball__QXFM3hlaDAk,12,9,3,0,0.75,1
ncaa_basketball__QXFM3hlaDAk_s155,ncaa_basketball__QXFM3hlaDAk,12,10,2,0,0.833333,1
ncaa_basketball__QXFM3hlaDAk_s2725,ncaa_basketball__QXFM3hlaDAk,12,1,10,1,0.083333,0
ncaa_basketball__QXFM3hlaDAk_s4010,ncaa_basketball__QXFM3hlaDAk,12,6,4,2,0.5,1
ncaa_basketball__QXFM3hlaDAk_s5295,ncaa_basketball__QXFM3hlaDAk,12,0,12,0,0.0,0
ncaa_basketball__UzaYBYy3GZg_s1443,ncaa_basketball__UzaYBYy3GZg,12,5,6,1,0.416667,0
ncaa_basketball__UzaYBYy3GZg_s155,ncaa_basketball__UzaYBYy3GZg,12,9,2,1,0.75,1
ncaa_basketball__UzaYBYy3GZg_s2731,ncaa_basketball__UzaYBYy3GZg,12,10,2,0,0.833333,1
ncaa_basketball__UzaYBYy3GZg_s4019,ncaa_basketball__UzaYBYy3GZg,12,8,4,0,0.666667,1
ncaa_basketball__UzaYBYy3GZg_s5307,ncaa_basketball__UzaYBYy3GZg,12,0,12,0,0.0,0
ncaa_basketball__WeheQidCPXI_s5351,ncaa_basketball__WeheQidCPXI,12,0,12,0,0.0,0
ncaa_basketball__g7dzEFLiemQ_s1258,ncaa_basketball__g7dzEFLiemQ,12,6,5,1,0.5,1
ncaa_basketball__g7dzEFLiemQ_s155,ncaa_basketball__g7dzEFLiemQ,12,12,0,0,1.0,1
ncaa_basketball__g7dzEFLiemQ_s2361,ncaa_basketball__g7dzEFLiemQ,12,9,1,2,0.75,1
ncaa_basketball__g7dzEFLiemQ_s3464,ncaa_basketball__g7dzEFLiemQ,12,2,9,1,0.166667,0
ncaa_basketball__g7dzEFLiemQ_s4567,ncaa_basketball__g7dzEFLiemQ,12,7,5,0,0.583333,1
