frame_key,section_id,frame_index,stroke_id,side,family,n_supports,length_px
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:129,basketball__euroleague-a_GxgklBtEs_s2783,129,08830687f8954229,VALIDATION,7,9,42.3631
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:129,basketball__euroleague-a_GxgklBtEs_s2783,129,10cddabc8c07fe77,VALIDATION,7,10,51.9911
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:129,basketball__euroleague-a_GxgklBtEs_s2783,129,128785ba672df434,VALIDATION,0,10,50.106
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:129,basketball__euroleague-a_GxgklBtEs_s2783,129,17a8942a31a608c5,VALIDATION,10,62,362.4154
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:129,basketball__euroleague-a_GxgklBtEs_s2783,129,1d1c8242ad865072,VALIDATION,0,106,628.8988
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:129,basketball__euroleague-a_GxgklBtEs_s2783,129,259b26ff11af16ea,FIT,7,48,277.4998
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:129,basketball__euroleague-a_GxgklBtEs_s2783,129,27313b093b02b408,VALIDATION,1,59,345.0304
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:129,basketball__euroleague-a_GxgklBtEs_s2783,129,2740b12c371b2fb2,VALIDATION,11,12,64.7083
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:129,basketball__euroleague-a_GxgklBtEs_s2783,129,27f2c62c2ce049bd,VALIDATION,0,154,912.0908
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:129,basketball__euroleague-a_GxgklBtEs_s2783,129,282dbc3625cbc392,VALIDATION,0,214,1274.5954
