frame_key,section_id,game_id,frame_index,source_sha256,raw_state,raw_reason,raw_forward_median_px,raw_inverse_median_px,presence_prediction,selection_status,orientation_status,selection_margin,winner_objective_j,runner_up_objective_j,validation_status,forward_median_px,inverse_median_px,n_strokes,n_fit_strokes,n_val_strokes,n_val_families,n_val_points,n_template_inframe,n_template_penalty,candidate_hypotheses_count,deduplicated_symmetry_images_count,seconds
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:129,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,129,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,heldout_residual,18.145,64.0,COURT,REFUSED_MARGIN,UNKNOWN,0.00701442,0.445311887,0.442188282,REFUSED,18.145,64.0,95,70,25,8,1519,339,59,56928,844,25.335
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:258,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,258,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,heldout_residual,29.5418,64.0,NON_COURT,REFUSED_MARGIN,UNKNOWN,0.025729077,0.439097035,0.427799474,REFUSED,22.58645,64.0,135,98,37,12,2496,366,32,134344,860,59.166
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:387,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,387,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,heldout_residual,36.704308,64.0,NON_COURT,REFUSED_MARGIN,UNKNOWN,0.020329872,0.51399783,0.50354832,REFUSED,15.0272,64.0,108,76,32,10,1846,385,13,65700,1200,38.497
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:516,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,516,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,heldout_residual,19.9286,64.0,NON_COURT,REFUSED_MARGIN,UNKNOWN,0.011368303,0.33462141,0.330817333,REFUSED,9.4236,64.0,133,96,37,12,1501,392,6,108008,24,50.453
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:646,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,646,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,heldout_residual,53.894341,64.0,COURT,REFUSED_MARGIN,UNKNOWN,0.09735387,0.424525467,0.38319627,REFUSED,54.010195,64.0,85,59,26,8,1459,372,26,122200,680,47.351
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:775,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,775,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,heldout_residual,22.7936,64.0,COURT,REFUSED_MARGIN,UNKNOWN,0.03253005,0.381043094,0.368647743,REFUSED,22.58645,64.0,92,65,27,8,1328,364,34,93996,111,38.392
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:904,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,904,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,heldout_residual,10.4418,64.0,NON_COURT,REFUSED_MARGIN,UNKNOWN,0.033788559,0.356120009,0.344087227,REFUSED,13.99145,64.0,139,100,39,12,1528,398,0,121880,246,49.098
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:1033,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,1033,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,heldout_residual,25.244299,64.0,NON_COURT,REFUSED_MARGIN,UNKNOWN,0.043453918,0.580270662,0.555055628,REFUSED,12.01825,64.0,131,94,37,11,1995,398,0,107152,1431,46.764
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:1163,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,1163,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,heldout_residual,22.379299,64.0,COURT,REFUSED_MARGIN,UNKNOWN,0.002101723,0.372765891,0.37198244,REFUSED,22.58645,64.0,81,58,23,8,1466,325,73,107084,422,39.284
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:1292,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,1292,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,heldout_residual,16.44215,64.0,COURT,REFUSED_VALIDATION,UNKNOWN,0.114067181,0.344737221,0.305414018,REFUSED,15.6943,64.0,86,61,25,8,1808,398,0,96644,54,39.508
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:1421,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,1421,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,heldout_residual,10.9193,64.0,COURT,REFUSED_MARGIN,UNKNOWN,0.073759012,0.4495799,0.416419331,REFUSED,11.3336,64.0,107,78,29,10,1423,398,0,89472,375,36.172
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:1550,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,1550,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,heldout_residual,51.945667,64.0,COURT,REFUSED_MARGIN,UNKNOWN,0.016301497,0.440141572,0.432966606,REFUSED,51.640224,64.0,118,86,32,10,1614,283,115,103980,736,39.064
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:1680,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,1680,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,heldout_residual,33.425003,64.0,COURT,REFUSED_VALIDATION,UNKNOWN,0.141878148,0.496973201,0.426463563,REFUSED,7.9279,64.0,121,87,34,10,2144,316,82,115648,758,47.909
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:1809,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,1809,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,heldout_residual,18.9736,64.0,COURT,REFUSED_MARGIN,UNKNOWN,0.026675761,0.348382538,0.339089168,REFUSED,26.090449,64.0,122,88,34,11,1464,246,152,125160,328,50.614
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:1938,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,1938,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,heldout_residual,19.9286,64.0,COURT,REFUSED_MARGIN,UNKNOWN,0.03349211,0.455617588,0.440357994,REFUSED,7.9279,64.0,123,87,36,11,1936,315,83,115836,274,46.199
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:2067,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,2067,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,heldout_residual,10.3154,64.0,COURT,REFUSED_MARGIN,UNKNOWN,0.044096133,0.347892608,0.332551889,REFUSED,12.97325,64.0,116,83,33,10,2058,398,0,85804,56,36.746
