frame_key,source_path,frame_index,section_id,game_id,source_sha256,tick_rank
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:186,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,186,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,0
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:373,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,373,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,1
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:560,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,560,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,2
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:746,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,746,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,3
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:933,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,933,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,4
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:1120,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,1120,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,5
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:1307,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,1307,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,6
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:1493,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,1493,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,7
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:1680,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,1680,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,8
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:1867,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,1867,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,9
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:2053,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,2053,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,10
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:2240,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,2240,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,11
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:2427,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,2427,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,12
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:2614,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,2614,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,13
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:2800,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,2800,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,14
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:2987,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,2987,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,15
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:3174,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,3174,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,16
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:3360,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,3360,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,17
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:3547,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,3547,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,18
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:3734,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s3423.mp4,3734,nba__7DT_8xZwDRU_s3423,nba__7DT_8xZwDRU,a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a,19
e37ab889c655861364dcf65cc4785122ae9c073f2080fd02ab1bd6d8ea3007fb:nba__7DT_8xZwDRU_s4534:189,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s4534.mp4,189,nba__7DT_8xZwDRU_s4534,nba__7DT_8xZwDRU,e37ab889c655861364dcf65cc4785122ae9c073f2080fd02ab1bd6d8ea3007fb,0
e37ab889c655861364dcf65cc4785122ae9c073f2080fd02ab1bd6d8ea3007fb:nba__7DT_8xZwDRU_s4534:379,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s4534.mp4,379,nba__7DT_8xZwDRU_s4534,nba__7DT_8xZwDRU,e37ab889c655861364dcf65cc4785122ae9c073f2080fd02ab1bd6d8ea3007fb,1
e37ab889c655861364dcf65cc4785122ae9c073f2080fd02ab1bd6d8ea3007fb:nba__7DT_8xZwDRU_s4534:569,/workspace/data/footage_corpus/nba__7DT_8xZwDRU_s4534.mp4,569,nba__7DT_8xZwDRU_s4534,nba__7DT_8xZwDRU,e37ab889c655861364dcf65cc4785122ae9c073f2080fd02ab1bd6d8ea3007fb,2
