draw_j,source_name,retained_path,bytes,sha256,draw_digest,digest_matches_draw,height,time_base_reader_ffprobe,time_base_reader_mp4,time_base_agree,reader_ffprobe_frames,reader_mp4_samples_presented,reader_mp4_samples_total,reader_multiset_agree,reader_order_diff_count,first_pts_ffprobe,last_pts_ffprobe,missing_pts_count,status
15,ncaa_basketball__6rQ2sV4upfc_s90.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__6rQ2sV4upfc_s90.mp4,54041007,8cf60bd1df8a9b74c7126efcf14219fd356040e62923f4f07fdb089661ffcee5,8cf60bd1df8a9b74c7126efcf14219fd356040e62923f4f07fdb089661ffcee5,True,720,1/90000,1/90000,True,7793,7793,8020,True,113,0,11701189,0,OK
16,ncaa_basketball__6rQ2sV4upfc_s4347.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__6rQ2sV4upfc_s4347.mp4,52188825,9a32663c2072337b85422e463836421bbe65681c4751dd5fbb347661f09c462c,9a32663c2072337b85422e463836421bbe65681c4751dd5fbb347661f09c462c,True,720,1/90000,1/90000,True,7793,7793,7825,True,100,0,11699688,0,OK
17,ncaa_basketball__7blRl4zVfrY_s2356.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__7blRl4zVfrY_s2356.mp4,56478743,ef4ade8f1b46410ad2a452d389a19c9e7a3a7ec2fedff7389f446e3285981ea7,ef4ade8f1b46410ad2a452d389a19c9e7a3a7ec2fedff7389f446e3285981ea7,True,720,1/90000,1/90000,True,7793,7793,7810,True,0,0,11699688,0,OK
18,ncaa_basketball__FyMWTVsJvv8_s90.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__FyMWTVsJvv8_s90.mp4,58427269,99dcfaa96a4a419dc4df9c1eb80f5494c8b3fa8bd51be462570eb0b80a673957,99dcfaa96a4a419dc4df9c1eb80f5494c8b3fa8bd51be462570eb0b80a673957,True,720,1/90000,1/90000,True,7793,7793,8072,True,0,0,11699688,0,OK
19,ncaa_basketball__FyMWTVsJvv8_s4332.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__FyMWTVsJvv8_s4332.mp4,57043679,378f11f7d00dc6c7f75b4c1ca6f7331b5950a3d6491d14fb254ef62f1bf9cf80,378f11f7d00dc6c7f75b4c1ca6f7331b5950a3d6491d14fb254ef62f1bf9cf80,True,720,1/90000,1/90000,True,7793,7793,7996,True,0,0,11699688,0,OK
20,ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__Ge4uewCFUFQ_s2382.mp4,56676340,b175030e1237c857424b6d449d8138dde0f94f389227f0a4afa4dbda195a13de,b175030e1237c857424b6d449d8138dde0f94f389227f0a4afa4dbda195a13de,True,720,1/90000,1/90000,True,7793,7793,8067,True,0,0,11699688,0,OK
21,ncaa_basketball__IpR4pT8iN0Y_s90.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__IpR4pT8iN0Y_s90.mp4,53555283,dd151d31a85857e0933192d1a032670f74c2b72f5753f4f4f82190ef82568594,dd151d31a85857e0933192d1a032670f74c2b72f5753f4f4f82190ef82568594,True,720,1/90000,1/90000,True,7793,7793,7846,True,110,0,11705694,0,OK
22,ncaa_basketball__IpR4pT8iN0Y_s3603.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__IpR4pT8iN0Y_s3603.mp4,53781321,b759425f9be982b2a38e48b165364e1c159031e2aec312f7ce9640424241b882,b759425f9be982b2a38e48b165364e1c159031e2aec312f7ce9640424241b882,True,720,1/90000,1/90000,True,7793,7793,8022,True,114,0,11699688,0,OK
23,ncaa_basketball__KZK9rv9TnGE_s2858.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__KZK9rv9TnGE_s2858.mp4,56773280,c8cdc0843e0dc1fe9017db43d681a45712444f6f53debb7a73c82bc2439c332f,c8cdc0843e0dc1fe9017db43d681a45712444f6f53debb7a73c82bc2439c332f,True,720,1/90000,1/90000,True,7793,7793,7950,True,0,0,11702691,0,OK
24,ncaa_basketball__KZK9rv9TnGE_s7010.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__KZK9rv9TnGE_s7010.mp4,56448407,ff08f42fc407650ced673a86a2a45ce5fba92cacdfb39a428f7779a9d81f92cd,ff08f42fc407650ced673a86a2a45ce5fba92cacdfb39a428f7779a9d81f92cd,True,720,1/90000,1/90000,True,7794,7794,7846,True,0,0,11701190,0,OK
25,ncaa_basketball__dAy3tnlu3EQ_s2914.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__dAy3tnlu3EQ_s2914.mp4,52008265,351c95528ab0c8b078a4a502485ea0b977b973d824b498e76cd3663728c40841,351c95528ab0c8b078a4a502485ea0b977b973d824b498e76cd3663728c40841,True,720,1/90000,1/90000,True,7793,7793,7931,True,0,0,11699688,0,OK
26,ncaa_basketball__qTXrSRHHR2M_s1176.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__qTXrSRHHR2M_s1176.mp4,55295560,09ce5c2bc7aa82e0ababd37f2fd1ef686efdc7034eee83299b9a58cc9751204b,09ce5c2bc7aa82e0ababd37f2fd1ef686efdc7034eee83299b9a58cc9751204b,True,720,1/90000,1/90000,True,7793,7793,7991,True,0,0,11699688,0,OK
27,ncaa_basketball__qTXrSRHHR2M_s4434.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__qTXrSRHHR2M_s4434.mp4,57333697,1b93f3a24ea0835ab220f08bae0c87baecaecc51db43b6150ab83ee7597dcb22,1b93f3a24ea0835ab220f08bae0c87baecaecc51db43b6150ab83ee7597dcb22,True,720,1/90000,1/90000,True,7793,7793,8008,True,0,0,11699688,0,OK
28,ncaa_basketball__s-0Y7aLxXgM_s1275.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__s-0Y7aLxXgM_s1275.mp4,55405416,f237a5cb4ab3e88218e632df9961a586bff4d955d7721926152028501a271b84,f237a5cb4ab3e88218e632df9961a586bff4d955d7721926152028501a271b84,True,720,1/90000,1/90000,True,7793,7793,7881,True,0,0,11699688,0,OK
29,ncaa_basketball__s-0Y7aLxXgM_s4830.mp4,C:\Users\neelj\g401_receiver\sources\ncaa_basketball__s-0Y7aLxXgM_s4830.mp4,54805277,57712e03d9af9728fa4927f3e8d2ade44d855fb2abc719e86d8c64d4c883d0b2,57712e03d9af9728fa4927f3e8d2ade44d855fb2abc719e86d8c64d4c883d0b2,True,720,1/90000,1/90000,True,7793,7793,7854,True,0,0,11701189,0,OK
