game_id,shot_id,frame,timestamp,player_id,player_name,team,x_position,y_position,x_norm,y_norm,court_zone,defender_distance,defender_dist_norm,team_spacing,possession_id,possession_duration,made
,1,462,7.708,4,,green,658,314,0.5901,0.358,mid_range,,0.2149,57218.0,31,35,
,3,984,16.416,10,,white,235,347,0.2108,0.3957,corner_3,,0.5518,0.0,32,126,
,4,1710,28.529,1,,green,305,535,0.2735,0.61,mid_range,,,0.0,32,188,
,6,2214,36.937,6,,white,896,511,0.8036,0.5827,3pt_arc,,,0.0,32,296,
,7,2700,45.045,1,,green,773,498,0.6933,0.5678,3pt_arc,,0.0587,0.0,32,308,
,10,3210,53.553,2,,green,1014,485,0.9094,0.553,3pt_arc,,0.1341,87849.5,35,18,
,12,3795,63.313,7,,white,920,200,0.8251,0.2281,corner_3,,0.3103,0.0,35,93,
,14,4593,76.627,1,,green,351,527,0.3148,0.6009,mid_range,,0.3262,0.0,35,209,
,16,5316,88.689,7,,white,912,285,0.8179,0.325,corner_3,,0.2074,0.0,35,330,
,19,5814,96.997,2,,green,238,320,0.2135,0.3649,corner_3,,0.3997,0.0,37,5,
,23,7554,126.026,1,,green,58,497,0.052,0.5667,3pt_arc,,0.6333,0.0,316,2,
,24,30180,503.503,2,,green,945,426,0.8475,0.4857,3pt_arc,,0.2627,1443.5,4356,1,
