player_id,team,frames_tracked,tracking_pct,total_distance_px,avg_velocity,max_velocity,possession_frames,possession_pct,shots_attempted,drive_attempts,drive_rate,paint_frames,paint_pct,avg_dist_to_basket,avg_nearest_opponent
1,green,261,0.005,1948.0,7.46,116.37,0,0.0,0,0,0.0,0,0.0,1178.6,281.6
2,green,301,0.005,0.0,0.0,0.0,0,0.0,0,0,0.0,301,1.0,88.0,699.5
3,green,301,0.005,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,500.1,513.1
4,green,386,0.007,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,201.3,620.2
5,green,363,0.006,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,526.4,726.2
6,white,298,0.005,992.8,3.33,100.38,0,0.0,0,0,0.0,0,0.0,1051.2,572.5
7,white,321,0.006,1400.5,4.36,115.68,0,0.0,0,0,0.0,0,0.0,1058.2,627.4
8,white,277,0.005,803.0,2.9,115.88,0,0.0,0,0,0.0,0,0.0,941.7,698.5
9,white,293,0.005,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,459.3,347.5
10,white,284,0.005,2120.2,7.47,116.5,0,0.0,0,0,0.0,0,0.0,1160.7,781.9
