frame,timestamp,ball_x2d,ball_y2d,detected,live
270,4.505,,,0,1
273,4.555,,,0,1
276,4.605,,,0,1
279,4.655,,,0,1
282,4.705,,,0,1
285,4.755,,,0,1
288,4.805,,,0,1
291,4.855,,,0,1
294,4.905,,,0,1
297,4.955,,,0,1
300,5.005,,,0,1
303,5.055,,,0,1
306,5.105,,,0,1
309,5.155,,,0,1
312,5.205,,,0,1
315,5.255,,,0,1
318,5.305,,,0,1
321,5.355,,,0,1
324,5.405,,,0,1
327,5.455,,,0,1
330,5.506,,,0,1
333,5.556,,,0,1
336,5.606,,,0,1
339,5.656,,,0,1
342,5.706,,,0,1
345,5.756,,,0,1
348,5.806,,,0,1
351,5.856,,,0,1
354,5.906,,,0,1
357,5.956,,,0,1
360,6.006,718,293,1,1
363,6.056,722,291,1,1
366,6.106,727,291,1,1
369,6.156,731,298,1,1
372,6.206,734,305,1,1
375,6.256,737,313,1,1
378,6.306,740,319,1,1
381,6.356,743,322,1,1
384,6.406,744,322,1,1
387,6.456,744,322,1,1
390,6.506,742,319,1,1
393,6.557,739,316,1,1
396,6.607,738,314,1,1
399,6.657,737,312,1,1
402,6.707,736,309,1,1
405,6.757,738,310,1,1
408,6.807,741,313,1,1
411,6.857,741,313,1,1
414,6.907,747,319,1,1
417,6.957,753,318,1,1
420,7.007,760,313,1,1
423,7.057,765,308,1,1
426,7.107,766,300,1,1
429,7.157,764,295,1,1
432,7.207,759,295,1,1
435,7.257,756,295,1,1
438,7.307,752,298,1,1
441,7.357,751,302,1,1
444,7.407,751,308,1,1
447,7.457,751,316,1,1
450,7.508,751,323,1,1
453,7.558,750,329,1,1
456,7.608,748,333,1,1
459,7.658,748,333,1,1
462,7.708,687,122,1,1
465,7.758,687,122,1,1
468,7.808,704,70,1,1
471,7.858,704,70,1,1
474,7.908,690,129,1,1
477,7.958,690,129,1,1
480,8.008,496,23,1,1
483,8.058,496,23,1,1
486,8.108,493,24,1,1
489,8.158,493,24,1,1
492,8.208,689,131,1,1
495,8.258,689,131,1,1
498,8.308,491,22,1,1
501,8.358,491,22,1,1
504,8.408,748,126,1,1
507,8.458,748,126,1,1
510,8.508,687,129,1,1
513,8.559,687,129,1,1
516,8.609,779,85,1,1
519,8.659,779,85,1,1
522,8.709,725,212,1,1
525,8.759,725,212,1,1
528,8.809,507,27,1,1
531,8.859,507,27,1,1
534,8.909,689,120,1,1
537,8.959,689,120,1,1
540,9.009,488,29,1,1
543,9.059,488,29,1,1
546,9.109,689,116,1,1
549,9.159,689,116,1,1
552,9.209,699,123,1,1
555,9.259,699,123,1,1
558,9.309,690,131,1,1
561,9.359,690,131,1,1
564,9.409,692,134,1,1
567,9.459,692,134,1,1
570,9.51,690,126,1,1
573,9.56,690,126,1,1
576,9.61,701,69,1,1
579,9.66,701,69,1,1
582,9.71,692,53,1,1
585,9.76,692,53,1,1
588,9.81,690,131,1,1
591,9.86,690,131,1,1
594,9.91,687,131,1,1
597,9.96,687,131,1,1
600,10.01,690,132,1,1
603,10.06,690,132,1,1
606,10.11,689,123,1,1
609,10.16,689,123,1,1
612,10.21,687,134,1,1
615,10.26,687,134,1,1
618,10.31,689,125,1,1
621,10.36,689,125,1,1
624,10.41,687,135,1,1
627,10.46,687,135,1,1
630,10.511,687,135,1,1
633,10.561,687,135,1,1
636,10.611,687,138,1,1
639,10.661,687,138,1,1
642,10.711,687,126,1,1
645,10.761,687,126,1,1
648,10.811,686,134,1,1
651,10.861,686,134,1,1
654,10.911,412,102,1,1
657,10.961,412,102,1,1
660,11.011,412,102,1,1
663,11.061,412,102,1,1
666,11.111,412,102,1,1
669,11.161,411,102,1,1
672,11.211,411,103,1,1
675,11.261,411,103,1,1
678,11.311,411,103,1,1
681,11.361,411,103,1,1
684,11.411,411,103,1,1
687,11.461,411,103,1,1
690,11.511,410,103,1,1
693,11.562,410,103,1,1
696,11.612,410,103,1,1
699,11.662,410,103,1,1
702,11.712,410,103,1,1
705,11.762,410,103,1,1
708,11.812,268,131,1,1
711,11.862,268,131,1,1
714,11.912,303,115,1,1
717,11.962,303,115,1,1
720,12.012,342,114,1,1
723,12.062,342,114,1,1
726,12.112,341,108,1,1
729,12.162,341,108,1,1
732,12.212,309,116,1,1
735,12.262,309,116,1,1
738,12.312,286,121,1,1
741,12.362,286,121,1,1
744,12.412,303,133,1,1
747,12.462,303,133,1,1
750,12.513,292,118,1,1
753,12.563,292,118,1,1
756,12.613,347,122,1,1
759,12.663,347,122,1,1
762,12.713,456,35,1,1
765,12.763,456,35,1,1
768,12.813,304,119,1,1
771,12.863,304,119,1,1
774,12.913,309,115,1,1
777,12.963,309,115,1,1
780,13.013,319,139,1,1
783,13.063,319,139,1,1
786,13.113,306,131,1,1
789,13.163,306,131,1,1
792,13.213,317,127,1,1
795,13.263,317,127,1,1
798,13.313,450,46,1,1
801,13.363,450,46,1,1
804,13.413,448,48,1,1
807,13.463,448,48,1,1
810,13.514,447,48,1,1
813,13.564,447,48,1,1
816,13.614,540,202,1,1
819,13.664,540,202,1,1
822,13.714,783,73,1,1
825,13.764,783,73,1,1
828,13.814,567,204,1,1
831,13.864,567,204,1,1
834,13.914,779,67,1,1
837,13.964,779,67,1,1
840,14.014,556,204,1,1
843,14.064,556,204,1,1
846,14.114,778,60,1,1
849,14.164,778,60,1,1
852,14.214,565,153,1,1
855,14.264,565,153,1,1
858,14.314,778,60,1,1
861,14.364,778,60,1,1
864,14.414,778,58,1,1
867,14.464,778,58,1,1
870,14.514,780,54,1,1
873,14.565,780,54,1,1
876,14.615,85,445,1,1
879,14.665,85,445,1,1
882,14.715,86,445,1,1
885,14.765,86,445,1,1
888,14.815,86,445,1,1
891,14.865,85,445,1,1
894,14.915,86,445,1,1
897,14.965,86,445,1,1
900,15.015,86,445,1,1
903,15.065,86,445,1,1
906,15.115,86,445,1,1
909,15.165,85,445,1,1
912,15.215,86,445,1,1
915,15.265,86,445,1,1
918,15.315,86,445,1,1
921,15.365,85,445,1,1
924,15.415,86,445,1,1
927,15.465,86,445,1,1
930,15.515,85,444,1,1
933,15.566,86,445,1,1
936,15.616,86,445,1,1
939,15.666,86,445,1,1
942,15.716,86,445,1,1
945,15.766,86,445,1,1
948,15.816,86,445,1,1
951,15.866,811,58,1,1
954,15.916,811,58,1,1
957,15.966,805,75,1,1
960,16.016,807,75,1,1
963,16.066,811,75,1,1
966,16.116,814,75,1,1
969,16.166,816,74,1,1
972,16.216,817,74,1,1
975,16.266,817,74,1,1
978,16.316,516,163,1,1
981,16.366,516,163,1,1
984,16.416,572,96,1,1
987,16.466,572,96,1,1
990,16.517,372,482,1,1
993,16.567,372,482,1,1
996,16.617,387,480,1,1
999,16.667,387,480,1,1
1002,16.717,386,477,1,1
1005,16.767,386,477,1,1
1008,16.817,811,58,1,1
1011,16.867,811,58,1,1
1014,16.917,372,479,1,1
1017,16.967,372,479,1,1
1020,17.017,481,163,1,1
1023,17.067,481,163,1,1
1026,17.117,539,163,1,1
1029,17.167,539,163,1,1
1032,17.217,543,166,1,1
1035,17.267,543,166,1,1
1038,17.317,519,84,1,1
1041,17.367,519,84,1,1
1044,17.417,541,217,1,1
1047,17.467,541,217,1,1
1050,17.518,520,174,1,1
1053,17.568,520,174,1,1
1056,17.618,535,94,1,1
1059,17.668,535,94,1,1
1062,17.718,416,482,1,1
1065,17.768,416,482,1,1
1068,17.818,563,178,1,1
1071,17.868,563,178,1,1
1074,17.918,566,180,1,1
1077,17.968,566,180,1,1
1080,18.018,444,224,1,1
1083,18.068,444,224,1,1
1086,18.118,459,209,1,1
1089,18.168,459,209,1,1
1092,18.218,540,168,1,1
1095,18.268,540,168,1,1
1098,18.318,586,143,1,1
1101,18.368,586,143,1,1
1104,18.418,472,213,1,1
1107,18.468,472,213,1,1
1110,18.518,492,157,1,1
1113,18.569,492,157,1,1
1116,18.619,484,240,1,1
1119,18.669,484,240,1,1
1122,18.719,508,218,1,1
1125,18.769,508,218,1,1
1128,18.819,511,218,1,1
1131,18.869,511,218,1,1
1134,18.919,505,204,1,1
1137,18.969,505,204,1,1
1140,19.019,272,510,1,1
1143,19.069,272,510,1,1
1146,19.119,503,161,1,1
1149,19.169,503,161,1,1
1152,19.219,230,482,1,1
1155,19.269,230,482,1,1
1158,19.319,534,224,1,1
1161,19.369,534,224,1,1
1164,19.419,318,488,1,1
1167,19.469,318,488,1,1
1710,28.529,420,326,1,1
1713,28.579,420,326,1,1
1716,28.629,946,327,1,1
1719,28.679,946,327,1,1
1722,28.729,1148,418,1,1
1725,28.779,1148,418,1,1
1728,28.829,473,345,1,1
1731,28.879,473,345,1,1
1734,28.929,413,302,1,1
1737,28.979,413,302,1,1
1740,29.029,173,297,1,1
1743,29.079,173,297,1,1
1746,29.129,853,328,1,1
1749,29.179,853,328,1,1
1752,29.229,160,496,1,1
1755,29.279,159,495,1,1
1758,29.329,156,493,1,1
1761,29.379,154,492,1,1
1764,29.429,149,488,1,1
1767,29.479,146,488,1,1
1770,29.53,145,485,1,1
1773,29.58,142,484,1,1
1776,29.63,140,482,1,1
1779,29.68,138,480,1,1
1782,29.73,137,479,1,1
1785,29.78,135,476,1,1
1788,29.83,134,475,1,1
1791,29.88,133,474,1,1
1794,29.93,133,474,1,1
1797,29.98,644,298,1,1
1980,33.033,644,298,1,1
1983,33.083,424,182,1,1
