game_id,possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,play_type,result,outcome_score
,31,green,360,608,249,4.15,31345.6,332.1,1.15,13,1,462.0,1,cut,,
,32,white,609,2732,2124,35.44,30488.4,272.4,3.23,24,1,714.0,0,hand_off,,
,33,green,2733,2993,261,4.35,11972.7,331.1,1.63,3,1,2973.0,0,fast_break,,
,34,white,2994,3158,165,2.75,42389.4,279.9,-1.53,6,1,3078.0,1,transition,,
,35,green,3159,5330,2172,36.24,37929.2,246.1,0.89,15,1,3210.0,1,cut,,
,36,white,5331,5801,471,7.86,38820.7,233.8,-0.34,24,1,5406.0,0,hand_off,,
,37,green,5802,6053,252,4.2,,223.8,1.14,1,1,5814.0,0,hand_off,,
,38,white,6054,6725,671,22.366666666666667,41522.6,217.4,-1.27,5,1,6138.0,0,cut,,
,316,green,7551,7970,420,7.01,29336.8,194.0,0.95,14,1,7554.0,0,transition,,
,321,white,8283,8426,144,2.4,46734.7,332.9,-1.24,1,0,,0,transition,,
,322,green,8427,8567,141,2.35,125887.8,158.6,0.95,4,0,,0,transition,,
,325,white,8724,8945,222,3.7,153026.0,220.1,-15.4,2,0,,0,cut,,
,2863,white,16917,17225,309,5.16,113409.2,256.8,0.84,3,0,,0,cut,,
,2864,green,17226,17414,189,3.15,100292.6,211.6,,0,0,,1,cut,,
,2887,white,17481,18122,642,10.71,101487.4,323.8,1.52,6,0,,0,cut,,
,3009,green,18486,19232,747,12.46,135139.5,261.9,21.69,10,0,,0,cut,,
,3010,white,19233,21161,1928,64.26666666666667,180957.3,253.2,8.48,2,0,,1,transition,,
,3054,green,21252,21593,342,5.71,140990.3,214.6,-0.07,5,0,,0,hand_off,,
,3060,white,21609,21887,279,4.65,127879.7,238.0,6.49,5,0,,0,cut,,
,3098,green,21999,22412,414,6.91,204208.8,219.0,0.63,5,0,,0,cut,,
,4040,white,25416,25598,183,3.05,167451.2,201.5,5.37,1,0,,0,cut,,
,4051,green,25629,26111,482,16.066666666666666,256803.5,262.1,-4.11,1,0,,0,cut,,
,4068,white,26112,26918,806,26.866666666666667,147650.4,279.3,,0,0,,0,cut,,
,4104,green,26943,27110,168,2.8,48772.2,236.2,1.51,1,0,,0,cut,,
,4105,white,27111,27932,822,13.71,123048.9,235.7,2.91,1,0,,1,cut,,
,4108,green,27939,28220,282,4.7,56415.5,368.0,1.62,7,0,,0,cut,,
,4109,white,28221,28580,360,6.01,200324.6,318.2,,0,0,,1,cut,,
,4146,green,28689,29279,591,9.86,47224.8,218.8,4.14,15,0,,1,hand_off,,
,4268,white,29643,29918,276,4.6,109619.9,190.6,11.97,3,0,,0,cut,,
,4356,green,30180,30686,507,8.46,123563.9,337.3,-1.65,9,1,30180.0,1,transition,,
,4357,white,30687,30869,183,3.05,,201.8,1.25,2,0,,0,hand_off,,
,4358,green,30870,31052,183,3.05,,200.0,,0,0,,0,hand_off,,
