source_clip,frame_count,fps,width,height,duration_seconds
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,28905,29.97002997002997,640,360,964.4635000000001
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,18115,29.97002997002997,1920,1080,604.4371666666667
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,25194,29.97002997002997,1920,1080,840.6398
ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,28904,29.97002997002997,1280,720,964.4301333333334
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,28904,29.97002997002997,1280,720,964.4301333333334
ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,28939,29.97002997002997,1920,1080,965.5979666666667
wnba__wnba_01.mp4,28861,30.0,1280,720,962.0333333333333
wnba__wnba_01_1080p.mp4,18060,30.0,1920,1080,602.0
wnba__wnba_02.mp4,28808,30.0,1280,720,960.2666666666667
wnba__wnba_04.mp4,28819,30.0,1280,720,960.6333333333333
wnba__wnba_05.mp4,28815,30.0,1280,720,960.5
