clip,frame_index,source_sheet_row,original_pixel_sha256,seek_jpeg_pixel_sha256,seek_raw_pixel_sha256,sequential_raw_pixel_sha256,original_vs_seek_pixel_equal,original_vs_seek_changed_pixels,original_vs_seek_total_pixels,original_vs_seek_changed_pixel_share,original_vs_seek_mean_abs_channel_delta,original_vs_seek_max_abs_channel_delta,seek_vs_sequential_pixel_equal,seek_vs_sequential_changed_pixels,seek_vs_sequential_total_pixels,seek_vs_sequential_changed_pixel_share,seek_vs_sequential_mean_abs_channel_delta,seek_vs_sequential_max_abs_channel_delta
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,87,1c93335cf4788b18039663fa7d9d03b93cc95588ccce6214746f9d4233f5d30d,132a1d2a12ea825f65bb31741c1e61d61d4a8796f4f77ccd7c1495c4eebc135d,d7c0cf92ecb8d2c1c9d949cd604c4be8c0832e9f525fe58380d90fe0f9ca2125,d7c0cf92ecb8d2c1c9d949cd604c4be8c0832e9f525fe58380d90fe0f9ca2125,false,2422,245760,0.009855143,0.083974881,242,true,0,245760,0.000000000,0.000000000,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,100,aeb61b2b9ba966391aaf6c8b7685072222c824bd0ed39f2d42b1899257f3aa6d,a8ec7bfca6e5061af505a04b87a188742953eb37d9a578c8a4b21790ae6b0623,c224df1fd5b8278f32796a1fcf47aac294298e0429db43fdfc91db01129de229,c224df1fd5b8278f32796a1fcf47aac294298e0429db43fdfc91db01129de229,false,1632,245760,0.006640625,0.078843859,242,true,0,245760,0.000000000,0.000000000,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,105,e9add28a3a8092ccc98456507e43286a0b8a9afd92f5a7fa874dba12087c615f,4bbc036f60e4112e810808463b39590e17f33af0c1b76d78bec5849762baa10f,88db57560f18eb73486cd108ad884e7728f17a510f0c06d359d8fc19e526802a,88db57560f18eb73486cd108ad884e7728f17a510f0c06d359d8fc19e526802a,false,2238,245760,0.009106445,0.098678928,245,true,0,245760,0.000000000,0.000000000,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,13,a420f0464979c0a6f8d42123f77b7537964342edcb848d5b7afba732cf32f6b6,1bac6b7bf7205e610a1dd1a1c66933fbed744ea790e9490ddb8b0dc1e7038252,b045c20c86e2064ac0ce655a56e2a488b4e5a184ac8d063a9d52c6c02be76599,b045c20c86e2064ac0ce655a56e2a488b4e5a184ac8d063a9d52c6c02be76599,false,211878,245760,0.862133789,3.842689345,242,true,0,245760,0.000000000,0.000000000,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,43,4210d4f56afd08fc1be6cef2aa03be1029a7f62ec9c4f8451910073616c530ad,410aff7118d251320ff0c62b93abea9d502df89490ffeea9daeb0555b539ad44,7908a4556a612138269731ff8e85ccf3a34c208f8f1ad506399e2f64c47c1e3d,7908a4556a612138269731ff8e85ccf3a34c208f8f1ad506399e2f64c47c1e3d,false,212917,245760,0.866361491,4.434855143,241,true,0,245760,0.000000000,0.000000000,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,98,0d42a3cd5c4a92e56cf2524581eb643c47f9230d2f3af54c19fc62c6728a8dea,23342992ab0021816e5b04266ee838e9331e31ca934d2af3ce8ff7c2b6b51baf,a325987253d88172e98af2b6047d02896730f8152764d6b0eda8a8f856ec2368,a325987253d88172e98af2b6047d02896730f8152764d6b0eda8a8f856ec2368,false,214081,245760,0.871097819,3.859396701,242,true,0,245760,0.000000000,0.000000000,0
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,2483,13,de488f72608044ce931919546cda63540e78176612fcde5ed7e229cde7c6d343,9123d11fd04ee419d5db067051519f7b1d2e0334712437c7b674221e5422f466,66dd7bcce2cd252490e7c6709bd3c56a34825b1d5d1d214b9a99f5bdaa161d41,66dd7bcce2cd252490e7c6709bd3c56a34825b1d5d1d214b9a99f5bdaa161d41,false,235305,245760,0.957458496,86.627119954,255,true,0,245760,0.000000000,0.000000000,0
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,2865,15,0d9e7c34ffb3d7ceadfc6e756f75d94733e75e5273baae3858163be2376e35a7,7e2280cb30fe579b600d74e4d64e73d40a0ad5950053e397ea662209a2736f55,997aeba35d7b5eec8a6611158e6a9f38b562502095c5a08dafa45d0183ed5fc8,997aeba35d7b5eec8a6611158e6a9f38b562502095c5a08dafa45d0183ed5fc8,false,235879,245760,0.959794108,99.050541178,255,true,0,245760,0.000000000,0.000000000,0
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,16235,85,5c4a567f1ab69ca2f4072305669a6daf6edc618d04ceba6c5ac79be77e2e4d57,1f5bff620083334fcc6ddbb8c765ef8952e65490bbe9a358e03c8c4996414fbd,ebdf6de7b05270670392dafff96de180fede4093f771f0161d9463105bc532f5,ebdf6de7b05270670392dafff96de180fede4093f771f0161d9463105bc532f5,false,235045,245760,0.956400553,66.746569824,255,true,0,245760,0.000000000,0.000000000,0
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,30,ab68811124cf92a5449af6cd945796e6e99adb21429e2e9a1980d39d22aff3ea,71f4205684f2c6eaa56f9b6d3fa436d9126f272d1b589ffe30f35d69b02af07c,2a251fef0a4a2784e35c947f4cbca914d29300d34613d761913f1defa5f7637a,2a251fef0a4a2784e35c947f4cbca914d29300d34613d761913f1defa5f7637a,false,161248,245760,0.656119792,1.854405382,241,true,0,245760,0.000000000,0.000000000,0
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,49,c35e32272921eb391a508d602e49656b5edf45cf8b1d2b05e8e84e14cb5edc03,e618b83d4c4b0e8661c940b1e032fbca583cbe2a700b5961cc8f29792a2ca7c7,0cfbfef362733dbc4d54be33be81558f1111df41b577d44dfbf2d5fd594ed22a,0cfbfef362733dbc4d54be33be81558f1111df41b577d44dfbf2d5fd594ed22a,false,125075,245760,0.508931478,0.721969944,244,true,0,245760,0.000000000,0.000000000,0
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,112,cd5c50531ecf74f17b3a34a97366f73cfa65bf1e09f2fb4a16dc910adc9dd442,9fbcf03f2a66ab2f044daecd1d939a2933812f9f4adbb0b407466196dc141b6c,d2d615b76b13a5dc73a86cf8a3d7c860f88e1918d8bc6b3022dc6680dd4e4b19,d2d615b76b13a5dc73a86cf8a3d7c860f88e1918d8bc6b3022dc6680dd4e4b19,false,181381,245760,0.738041178,1.450722928,245,true,0,245760,0.000000000,0.000000000,0
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,1,e56c53853e9e054ed8f8f131889211e294a31b1ecce4b7877c89828bdd46f940,c878a5437940d0815f72a9bca1ea8e7e5c32e50113c609d881648f6617128d01,a263aa15fe8e4e7a9636767acf83dddfa56d962f4923f9556116a6bc1d12518e,a263aa15fe8e4e7a9636767acf83dddfa56d962f4923f9556116a6bc1d12518e,false,192658,245760,0.783927409,1.984646267,242,true,0,245760,0.000000000,0.000000000,0
