frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence
30,0.501,1,green,856,1392,5.0,5.0,0.0,3pt_arc,0,,,,none,0.0,856.0,1392.0,0,0,,0.0,494,88,1073,474,,,0.0,884.2,-3.97,0,0,31,0,1.0
31,0.517,1,green,856,1392,0.0,-5.0,0.0,3pt_arc,0,,,,none,0.0,856.0,1392.0,0,0,,0.0,494,88,1073,474,,,0.0,884.2,0.0,0,0,32,0,1.0
32,0.534,1,green,851,1392,5.0,5.0,180.0,3pt_arc,0,,,,none,0.0,851.0,1392.0,0,0,,0.0,493,88,1072,474,,,0.0,880.2,3.96,0,0,33,0,1.0
33,0.551,1,green,851,1392,0.0,-5.0,0.0,3pt_arc,0,,,,none,0.0,851.0,1392.0,0,0,,0.0,493,88,1071,474,,,0.0,880.2,0.0,0,0,34,0,1.0
34,0.567,1,green,851,1392,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,851.0,1392.0,0,0,,0.0,493,88,1071,474,,,0.0,880.2,0.0,0,0,35,0,1.0
35,0.584,1,green,851,1392,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,851.0,1392.0,0,0,,0.0,493,88,1071,474,,,0.0,880.2,0.0,0,0,36,0,1.0
36,0.601,1,green,851,1392,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,851.0,1392.0,0,0,,0.0,493,88,1071,474,,,0.0,880.2,0.0,0,0,37,0,1.0
37,0.617,1,green,851,1392,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,851.0,1392.0,0,0,,0.0,493,88,1071,474,,,0.0,880.2,0.0,0,0,38,0,1.0
38,0.634,1,green,851,1392,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,851.0,1392.0,0,0,,0.0,493,89,1071,474,,,0.0,880.2,0.0,0,0,39,0,1.0
39,0.651,1,green,845,1392,6.0,6.0,180.0,3pt_arc,0,,,,none,0.0,845.0,1392.0,0,0,,0.0,493,89,1069,474,,,0.0,875.5,4.74,0,0,40,0,1.0
40,0.667,1,green,851,1392,6.0,0.0,0.0,3pt_arc,0,,,,none,0.0,851.0,1392.0,0,0,,0.0,493,88,1071,474,,,0.0,880.2,-4.76,0,0,41,0,1.0
