game_id,source_id,requested_start_s,competition,source_path,status,error
6FlZaoWSfFw_s337,6FlZaoWSfFw,337,untagged,data/footage_corpus/wnba__6FlZaoWSfFw_s337.mp4,PINNED,
6FlZaoWSfFw_s584,6FlZaoWSfFw,584,untagged,data/footage_corpus/wnba__6FlZaoWSfFw_s584.mp4,PINNED,
6FlZaoWSfFw_s90,6FlZaoWSfFw,90,untagged,data/footage_corpus/wnba__6FlZaoWSfFw_s90.mp4,PINNED,
G8bPOW37Sp0_s550,G8bPOW37Sp0,550,untagged,data/footage_corpus/wnba__G8bPOW37Sp0_s550.mp4,PINNED,
G8bPOW37Sp0_s90,G8bPOW37Sp0,90,untagged,data/footage_corpus/wnba__G8bPOW37Sp0_s90.mp4,PINNED,
N-eE7ZwTuno_s2526,N-eE7ZwTuno,2526,N,data/footage_corpus/ncaa_basketball__N-eE7ZwTuno_s2526.mp4,PINNED,
N-eE7ZwTuno_s3744,N-eE7ZwTuno,3744,N,data/footage_corpus/ncaa_basketball__N-eE7ZwTuno_s3744.mp4,PINNED,
N-eE7ZwTuno_s4962,N-eE7ZwTuno,4962,N,data/footage_corpus/ncaa_basketball__N-eE7ZwTuno_s4962.mp4,ABSENT,required binding absent
N-eE7ZwTuno_s90,N-eE7ZwTuno,90,N,data/footage_corpus/ncaa_basketball__N-eE7ZwTuno_s90.mp4,ABSENT,required binding absent
XCaGht2GmPg_s1416,XCaGht2GmPg,1416,untagged,data/footage_corpus/nba__XCaGht2GmPg_s1416.mp4,PINNED,
XCaGht2GmPg_s2742,XCaGht2GmPg,2742,untagged,data/footage_corpus/nba__XCaGht2GmPg_s2742.mp4,PINNED,
XCaGht2GmPg_s4068,XCaGht2GmPg,4068,untagged,data/footage_corpus/nba__XCaGht2GmPg_s4068.mp4,PINNED,
XCaGht2GmPg_s5394,XCaGht2GmPg,5394,untagged,data/footage_corpus/nba__XCaGht2GmPg_s5394.mp4,PINNED,
XCaGht2GmPg_s90,XCaGht2GmPg,90,untagged,data/footage_corpus/nba__XCaGht2GmPg_s90.mp4,PINNED,
euroleague-8ue528gaVyY_s1228,8ue528gaVyY,1228,euroleague,data/footage_corpus/basketball__euroleague-8ue528gaVyY_s1228.mp4,PINNED,
euroleague-8ue528gaVyY_s2366,8ue528gaVyY,2366,euroleague,data/footage_corpus/basketball__euroleague-8ue528gaVyY_s2366.mp4,PINNED,
euroleague-8ue528gaVyY_s3504,8ue528gaVyY,3504,euroleague,data/footage_corpus/basketball__euroleague-8ue528gaVyY_s3504.mp4,PINNED,
euroleague-8ue528gaVyY_s4642,8ue528gaVyY,4642,euroleague,data/footage_corpus/basketball__euroleague-8ue528gaVyY_s4642.mp4,PINNED,
euroleague-8ue528gaVyY_s5780,8ue528gaVyY,5780,euroleague,data/footage_corpus/basketball__euroleague-8ue528gaVyY_s5780.mp4,PINNED,
euroleague-8ue528gaVyY_s90,8ue528gaVyY,90,euroleague,data/footage_corpus/basketball__euroleague-8ue528gaVyY_s90.mp4,PINNED,
fXLNra4sjjU_s3534,fXLNra4sjjU,3534,untagged,data/footage_corpus/ncaa_basketball__fXLNra4sjjU_s3534.mp4,PINNED,
fXLNra4sjjU_s4682,fXLNra4sjjU,4682,untagged,data/footage_corpus/ncaa_basketball__fXLNra4sjjU_s4682.mp4,PINNED,
fXLNra4sjjU_s5830,fXLNra4sjjU,5830,untagged,data/footage_corpus/ncaa_basketball__fXLNra4sjjU_s5830.mp4,PINNED,
fiba--x4DRmtYn4Q_s1466,-x4DRmtYn4Q,1466,fiba,data/footage_corpus/basketball__fiba--x4DRmtYn4Q_s1466.mp4,PINNED,
fiba--x4DRmtYn4Q_s2842,-x4DRmtYn4Q,2842,fiba,data/footage_corpus/basketball__fiba--x4DRmtYn4Q_s2842.mp4,PINNED,
fiba--x4DRmtYn4Q_s4218,-x4DRmtYn4Q,4218,fiba,data/footage_corpus/basketball__fiba--x4DRmtYn4Q_s4218.mp4,ABSENT,required binding absent
fiba--x4DRmtYn4Q_s5594,-x4DRmtYn4Q,5594,fiba,data/footage_corpus/basketball__fiba--x4DRmtYn4Q_s5594.mp4,PINNED,
fiba--x4DRmtYn4Q_s6970,-x4DRmtYn4Q,6970,fiba,data/footage_corpus/basketball__fiba--x4DRmtYn4Q_s6970.mp4,PINNED,
fiba--x4DRmtYn4Q_s90,-x4DRmtYn4Q,90,fiba,data/footage_corpus/basketball__fiba--x4DRmtYn4Q_s90.mp4,PINNED,
fiba-7HQqWMaKxpA_s1455,7HQqWMaKxpA,1455,fiba,data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s1455.mp4,PINNED,
fiba-7HQqWMaKxpA_s2820,7HQqWMaKxpA,2820,fiba,data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s2820.mp4,PINNED,
fiba-7HQqWMaKxpA_s4185,7HQqWMaKxpA,4185,fiba,data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s4185.mp4,PINNED,
fiba-7HQqWMaKxpA_s5550,7HQqWMaKxpA,5550,fiba,data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s5550.mp4,PINNED,
fiba-7HQqWMaKxpA_s6915,7HQqWMaKxpA,6915,fiba,data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s6915.mp4,PINNED,
fiba-7HQqWMaKxpA_s90,7HQqWMaKxpA,90,fiba,data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s90.mp4,PINNED,
