source_id,draw_j,source,format_id,ext,resolution,height,fps,protocol,vcodec
y5rz-f3spww,1,listing,247,webm,1280x720,720,25.0,https,vp9
y5rz-f3spww,1,metadata,sb2,mhtml,48x27,27,0.011910433539780848,mhtml,none
y5rz-f3spww,1,metadata,sb1,mhtml,80x45,45,0.10016674606955693,mhtml,none
y5rz-f3spww,1,metadata,sb0,mhtml,160x90,90,0.10016674606955693,mhtml,none
y5rz-f3spww,1,metadata,233,mp4,audio only,,,m3u8_native,none
y5rz-f3spww,1,metadata,234,mp4,audio only,,,m3u8_native,none
y5rz-f3spww,1,metadata,139-drc,m4a,audio only,,,https,none
y5rz-f3spww,1,metadata,249-drc,webm,audio only,,,https,none
y5rz-f3spww,1,metadata,250-drc,webm,audio only,,,https,none
y5rz-f3spww,1,metadata,139,m4a,audio only,,,https,none
y5rz-f3spww,1,metadata,249,webm,audio only,,,https,none
y5rz-f3spww,1,metadata,250,webm,audio only,,,https,none
y5rz-f3spww,1,metadata,140-drc,m4a,audio only,,,https,none
y5rz-f3spww,1,metadata,251-drc,webm,audio only,,,https,none
y5rz-f3spww,1,metadata,140,m4a,audio only,,,https,none
y5rz-f3spww,1,metadata,251,webm,audio only,,,https,none
y5rz-f3spww,1,metadata,602,mp4,256x144,144,13.0,m3u8_native,vp09.00.10.08
y5rz-f3spww,1,metadata,269,mp4,256x144,144,25.0,m3u8_native,avc1.4D400C
y5rz-f3spww,1,metadata,160,mp4,256x144,144,25,https,avc1.4d400c
y5rz-f3spww,1,metadata,603,mp4,256x144,144,25.0,m3u8_native,vp09.00.11.08
y5rz-f3spww,1,metadata,278,webm,256x144,144,25,https,vp9
y5rz-f3spww,1,metadata,229,mp4,426x240,240,25.0,m3u8_native,avc1.4D4015
y5rz-f3spww,1,metadata,133,mp4,426x240,240,25,https,avc1.4d4015
y5rz-f3spww,1,metadata,604,mp4,426x240,240,25.0,m3u8_native,vp09.00.20.08
y5rz-f3spww,1,metadata,242,webm,426x240,240,25,https,vp9
y5rz-f3spww,1,metadata,230,mp4,640x360,360,25.0,m3u8_native,avc1.4D401E
y5rz-f3spww,1,metadata,134,mp4,640x360,360,25,https,avc1.4d401e
y5rz-f3spww,1,metadata,605,mp4,640x360,360,25.0,m3u8_native,vp09.00.21.08
y5rz-f3spww,1,metadata,243,webm,640x360,360,25,https,vp9
y5rz-f3spww,1,metadata,231,mp4,854x480,480,25.0,m3u8_native,avc1.4D401E
y5rz-f3spww,1,metadata,135,mp4,854x480,480,25,https,avc1.4d401e
y5rz-f3spww,1,metadata,606,mp4,854x480,480,25.0,m3u8_native,vp09.00.30.08
y5rz-f3spww,1,metadata,244,webm,854x480,480,25,https,vp9
y5rz-f3spww,1,metadata,232,mp4,1280x720,720,25.0,m3u8_native,avc1.64001F
y5rz-f3spww,1,metadata,136,mp4,1280x720,720,25,https,avc1.64001f
y5rz-f3spww,1,metadata,609,mp4,1280x720,720,25.0,m3u8_native,vp09.00.31.08
y5rz-f3spww,1,metadata,247,webm,1280x720,720,25,https,vp9
mxV9XV3uwVs,2,listing,sb2,mhtml,48x27,27,0.0,mhtml,images
mxV9XV3uwVs,2,listing,sb1,mhtml,79x45,45,0.0,mhtml,images
mxV9XV3uwVs,2,listing,sb0,mhtml,159x90,90,0.0,mhtml,images
mxV9XV3uwVs,2,listing,602,mp4,256x144,144,15.0,m3u8,vp09.00.10.08
mxV9XV3uwVs,2,listing,269,mp4,256x144,144,30.0,m3u8,avc1.4D400C
mxV9XV3uwVs,2,listing,160,mp4,256x144,144,30.0,https,avc1.4d400c
mxV9XV3uwVs,2,listing,603,mp4,256x144,144,30.0,m3u8,vp09.00.11.08
mxV9XV3uwVs,2,listing,278,webm,256x144,144,30.0,https,vp9
mxV9XV3uwVs,2,listing,229,mp4,426x240,240,30.0,m3u8,avc1.4D4015
mxV9XV3uwVs,2,listing,133,mp4,426x240,240,30.0,https,avc1.4d4015
mxV9XV3uwVs,2,listing,604,mp4,426x240,240,30.0,m3u8,vp09.00.20.08
mxV9XV3uwVs,2,listing,242,webm,426x240,240,30.0,https,vp9
mxV9XV3uwVs,2,listing,230,mp4,640x360,360,30.0,m3u8,avc1.4D401E
mxV9XV3uwVs,2,listing,134,mp4,640x360,360,30.0,https,avc1.4d401e
mxV9XV3uwVs,2,listing,605,mp4,640x360,360,30.0,m3u8,vp09.00.21.08
mxV9XV3uwVs,2,listing,243,webm,640x360,360,30.0,https,vp9
mxV9XV3uwVs,2,listing,231,mp4,854x480,480,30.0,m3u8,avc1.4D401F
mxV9XV3uwVs,2,listing,135,mp4,854x480,480,30.0,https,avc1.4d401f
mxV9XV3uwVs,2,listing,606,mp4,854x480,480,30.0,m3u8,vp09.00.30.08
mxV9XV3uwVs,2,listing,244,webm,854x480,480,30.0,https,vp9
mxV9XV3uwVs,2,listing,232,mp4,1280x720,720,30.0,m3u8,avc1.64001F
mxV9XV3uwVs,2,listing,136,mp4,1280x720,720,30.0,https,avc1.64001f
mxV9XV3uwVs,2,listing,609,mp4,1280x720,720,30.0,m3u8,vp09.00.31.08
mxV9XV3uwVs,2,listing,247,webm,1280x720,720,30.0,https,vp9
mxV9XV3uwVs,2,listing,270,mp4,1920x1080,1080,30.0,m3u8,avc1.640028
mxV9XV3uwVs,2,listing,137,mp4,1920x1080,1080,30.0,https,avc1.640028
mxV9XV3uwVs,2,listing,614,mp4,1920x1080,1080,30.0,m3u8,vp09.00.40.08
mxV9XV3uwVs,2,listing,248,webm,1920x1080,1080,30.0,https,vp9
mxV9XV3uwVs,2,metadata,sb2,mhtml,48x27,27,0.013333333333333334,mhtml,none
mxV9XV3uwVs,2,metadata,sb1,mhtml,79x45,45,0.10013333333333334,mhtml,none
mxV9XV3uwVs,2,metadata,sb0,mhtml,159x90,90,0.10013333333333334,mhtml,none
mxV9XV3uwVs,2,metadata,233,mp4,audio only,,,m3u8_native,none
mxV9XV3uwVs,2,metadata,234,mp4,audio only,,,m3u8_native,none
mxV9XV3uwVs,2,metadata,139-drc,m4a,audio only,,,https,none
mxV9XV3uwVs,2,metadata,249-drc,webm,audio only,,,https,none
mxV9XV3uwVs,2,metadata,250-drc,webm,audio only,,,https,none
mxV9XV3uwVs,2,metadata,139,m4a,audio only,,,https,none
mxV9XV3uwVs,2,metadata,249,webm,audio only,,,https,none
mxV9XV3uwVs,2,metadata,250,webm,audio only,,,https,none
