distance_frames,source_frame,chained_eligible,direct_seed_eligible,chained_paint_corner_drift_median_px,chained_paint_corner_drift_max_px,direct_seed_paint_corner_drift_median_px,direct_seed_paint_corner_drift_max_px,step,direct_seed
1,19600,True,True,0.0,0.0,0.0,0.0,"{""matches"": 1863, ""inliers"": 1848, ""inlier_ratio"": 0.9919484702093397, ""rms_reprojection_px"": 0.32012081146240234}","{""matches"": 1863, ""inliers"": 1848, ""inlier_ratio"": 0.9919484702093397, ""rms_reprojection_px"": 0.32012081146240234}"
2,19601,True,True,0.03324856236577034,0.06890448182821274,0.0,0.0,"{""matches"": 1883, ""inliers"": 1864, ""inlier_ratio"": 0.9899097185342538, ""rms_reprojection_px"": 0.32633861899375916}","{""matches"": 1831, ""inliers"": 1809, ""inlier_ratio"": 0.98798470780994, ""rms_reprojection_px"": 0.33491888642311096}"
3,19602,True,True,0.09942156076431274,0.19583944976329803,0.0,0.0,"{""matches"": 1881, ""inliers"": 1858, ""inlier_ratio"": 0.987772461456672, ""rms_reprojection_px"": 0.2684444785118103}","{""matches"": 1819, ""inliers"": 1791, ""inlier_ratio"": 0.9846069268829027, ""rms_reprojection_px"": 0.32583534717559814}"
4,19603,True,True,0.14455586671829224,0.30285125970840454,0.0,0.0,"{""matches"": 1866, ""inliers"": 1851, ""inlier_ratio"": 0.9919614147909968, ""rms_reprojection_px"": 0.2675531804561615}","{""matches"": 1763, ""inliers"": 1727, ""inlier_ratio"": 0.9795802609188883, ""rms_reprojection_px"": 0.3410136103630066}"
5,19604,True,True,0.21516019105911255,0.45495352149009705,0.0,0.0,"{""matches"": 1897, ""inliers"": 1870, ""inlier_ratio"": 0.9857670005271482, ""rms_reprojection_px"": 0.24505464732646942}","{""matches"": 1749, ""inliers"": 1715, ""inlier_ratio"": 0.9805603201829617, ""rms_reprojection_px"": 0.37098798155784607}"
6,19605,True,True,0.21713030338287354,0.4666205942630768,0.0,0.0,"{""matches"": 1822, ""inliers"": 1804, ""inlier_ratio"": 0.9901207464324918, ""rms_reprojection_px"": 0.3549650013446808}","{""matches"": 1675, ""inliers"": 1644, ""inlier_ratio"": 0.9814925373134329, ""rms_reprojection_px"": 0.42610979080200195}"
7,19606,True,True,0.24588021636009216,0.5064577460289001,0.0,0.0,"{""matches"": 1832, ""inliers"": 1817, ""inlier_ratio"": 0.9918122270742358, ""rms_reprojection_px"": 0.26244038343429565}","{""matches"": 1603, ""inliers"": 1566, ""inlier_ratio"": 0.9769182782283219, ""rms_reprojection_px"": 0.4170468747615814}"
8,19607,True,True,0.3117634356021881,0.6550118327140808,0.0,0.0,"{""matches"": 1849, ""inliers"": 1830, ""inlier_ratio"": 0.989724175229854, ""rms_reprojection_px"": 0.29603880643844604}","{""matches"": 1582, ""inliers"": 1552, ""inlier_ratio"": 0.9810366624525917, ""rms_reprojection_px"": 0.4538612365722656}"
9,19608,True,True,0.20792073011398315,0.3904497027397156,0.0,0.0,"{""matches"": 1827, ""inliers"": 1803, ""inlier_ratio"": 0.986863711001642, ""rms_reprojection_px"": 0.30999666452407837}","{""matches"": 1555, ""inliers"": 1518, ""inlier_ratio"": 0.9762057877813505, ""rms_reprojection_px"": 0.4884960651397705}"
10,19609,True,True,0.14271025359630585,0.2656427323818207,0.0,0.0,"{""matches"": 1822, ""inliers"": 1809, ""inlier_ratio"": 0.9928649835345774, ""rms_reprojection_px"": 0.31283435225486755}","{""matches"": 1496, ""inliers"": 1465, ""inlier_ratio"": 0.9792780748663101, ""rms_reprojection_px"": 0.553902268409729}"
