B,1527,0,1,green,-11.9409,182.133,461.778,359.768,,
B,1527,1,2,green,-14,54,449,252,,
B,1527,2,3,green,617.195,124.816,781.738,247.016,,
B,1527,3,4,green,109.109,537.062,410.796,708.297,,
B,1527,4,5,green,503.044,262.145,887.261,409.935,,
B,1527,5,6,white,-5,996,460,1187,,
B,1527,6,7,white,1004.44,-58.1123,1258.48,82.0859,,
B,1527,7,8,white,49,913,517,1111,,
B,1527,8,9,white,-15,500,224,644,,
B,1527,9,10,white,-4,606,204,789,,
B,1527,10,0,referee,,,,,,
B,1527,0,1,green,-11.9409,182.133,461.778,359.768,,
B,1527,1,2,green,-14,54,449,252,,
B,1527,2,3,green,617.195,124.816,781.738,247.016,,
B,1527,3,4,green,109.109,537.062,410.796,708.297,,
B,1527,4,5,green,503.044,262.145,887.261,409.935,,
B,1527,5,6,white,-5,996,460,1187,,
B,1527,6,7,white,1004.44,-58.1123,1258.48,82.0859,,
B,1527,7,8,white,49,913,517,1111,,
B,1527,8,9,white,-15,500,224,644,,
B,1527,9,10,white,-4,606,204,789,,
B,1527,10,0,referee,,,,,,
B,1527,0,1,green,-11.9409,182.133,461.778,359.768,,
B,1527,1,2,green,-14,54,449,252,,
B,1527,2,3,green,617.195,124.816,781.738,247.016,,
B,1527,3,4,green,109.109,537.062,410.796,708.297,,
B,1527,4,5,green,503.044,262.145,887.261,409.935,,
B,1527,5,6,white,-5,996,460,1187,,
B,1527,6,7,white,1004.44,-58.1123,1258.48,82.0859,,
B,1527,7,8,white,49,913,517,1111,,
B,1527,8,9,white,-15,500,224,644,,
B,1527,9,10,white,-4,606,204,789,,
B,1527,10,0,referee,,,,,,
B,1527,0,1,green,-11.9409,182.133,461.778,359.768,,
B,1527,1,2,green,-14,54,449,252,,
B,1527,2,3,green,617.195,124.816,781.738,247.016,,
B,1527,3,4,green,109.109,537.062,410.796,708.297,,
B,1527,4,5,green,503.044,262.145,887.261,409.935,,
B,1527,5,6,white,-5,996,460,1187,,
