B,3090,0,1,green,161,754,312,828,,
B,3090,1,2,green,596,735,675,814,,
B,3090,2,3,green,234,674,432,753,,
B,3090,3,4,green,243,445,490,616,,
B,3090,4,5,green,276.773,1091,412.84,1205,,
B,3090,5,6,white,291.217,442.175,507.674,599.747,,
B,3090,6,7,white,277,1093,412,1207,,
B,3090,7,8,white,257.286,441.007,474.763,640.201,,
B,3090,8,9,white,,,,,,
B,3090,9,10,white,,,,,,
B,3090,10,0,referee,,,,,,
B,3090,0,1,green,161,754,312,828,,
B,3090,1,2,green,596,735,675,814,,
B,3090,2,3,green,234,674,432,753,,
B,3090,3,4,green,243,445,490,616,,
B,3090,4,5,green,276.773,1091,412.84,1205,,
B,3090,5,6,white,291.217,442.175,507.674,599.747,,
B,3090,6,7,white,277,1093,412,1207,,
B,3090,7,8,white,257.286,441.007,474.763,640.201,,
B,3090,8,9,white,,,,,,
B,3090,9,10,white,,,,,,
B,3090,10,0,referee,,,,,,
B,3090,0,1,green,161,754,312,828,,
B,3090,1,2,green,596,735,675,814,,
B,3090,2,3,green,234,674,432,753,,
B,3090,3,4,green,243,445,490,616,,
B,3090,4,5,green,276.773,1091,412.84,1205,,
B,3090,5,6,white,291.217,442.175,507.674,599.747,,
B,3090,6,7,white,277,1093,412,1207,,
B,3090,7,8,white,257.286,441.007,474.763,640.201,,
B,3090,8,9,white,,,,,,
B,3090,9,10,white,,,,,,
B,3090,10,0,referee,,,,,,
B,3090,0,1,green,161,754,312,828,,
B,3090,1,2,green,596,735,675,814,,
B,3090,2,3,green,234,674,432,753,,
B,3090,3,4,green,243,445,490,616,,
B,3090,4,5,green,276.773,1091,412.84,1205,,
B,3090,5,6,white,291.217,442.175,507.674,599.747,,
B,3090,6,7,white,277,1093,412,1207,,
B,3090,7,8,white,257.286,441.007,474.763,640.201,,
B,3090,8,9,white,,,,,,
B,3090,9,10,white,,,,,,
B,3090,10,0,referee,,,,,,
M,3090,-2.57810268211,-4.00011090416,3131.19201084,0.0284950197302,0.122260729787,-153.819439713,-0.000998531717441,-0.00144170008016,1,2.33154178404,4.68057013146,-2654.15139184,-0.0675986738465,9.5145133439,-395.908533051,1.07158254698e-06,0.00279979264174,1,1280,660,3404,1711
P,3090,0,1,green,157,762,372,860,,
P,3090,1,2,green,595,731,675,815,2097,113
P,3090,2,3,green,231,659,432,764,779,1174
P,3090,3,4,green,283,439,481,598,99,1674
P,3090,4,5,green,276.708,1091,412.775,1205,1924,298
P,3090,5,6,white,294.699,426.48,511.156,584.052,484,1362
P,3090,6,7,white,275,1097,411,1207,1882,333
P,3090,7,8,white,256.14,422.106,473.617,621.3,199,1594
P,3090,8,9,white,,,,,,
P,3090,9,10,white,,,,,,
P,3090,10,0,referee,,,,,,
M,3090,-2.57810268211,-4.00011090416,3131.19201084,0.0284950197302,0.122260729787,-153.819439713,-0.000998531717441,-0.00144170008016,1,2.33154178404,4.68057013146,-2654.15139184,-0.0675986738465,9.5145133439,-395.908533051,1.07158254698e-06,0.00279979264174,1,1280,660,3404,1711
P,3090,0,1,green,157,762,372,860,,
P,3090,1,2,green,595,731,675,815,2097,113
P,3090,2,3,green,231,659,432,764,779,1174
P,3090,3,4,green,283,439,481,598,99,1674
P,3090,4,5,green,276.708,1091,412.775,1205,1924,298
P,3090,5,6,white,294.699,426.48,511.156,584.052,484,1362
P,3090,6,7,white,275,1097,411,1207,1882,333
P,3090,7,8,white,256.14,422.106,473.617,621.3,199,1594
P,3090,8,9,white,,,,,,
P,3090,9,10,white,,,,,,
P,3090,10,0,referee,,,,,,
M,3090,-2.57810268211,-4.00011090416,3131.19201084,0.0284950197302,0.122260729787,-153.819439713,-0.000998531717441,-0.00144170008016,1,2.33154178404,4.68057013146,-2654.15139184,-0.0675986738465,9.5145133439,-395.908533051,1.07158254698e-06,0.00279979264174,1,1280,660,3404,1711
P,3090,0,1,green,157,762,372,860,,
P,3090,1,2,green,595,731,675,815,2097,113
P,3090,2,3,green,231,659,432,764,779,1174
P,3090,3,4,green,283,439,481,598,99,1674
P,3090,4,5,green,276.708,1091,412.775,1205,1924,298
P,3090,5,6,white,294.699,426.48,511.156,584.052,484,1362
P,3090,6,7,white,275,1097,411,1207,1882,333
P,3090,7,8,white,256.14,422.106,473.617,621.3,199,1594
P,3090,8,9,white,,,,,,
P,3090,9,10,white,,,,,,
P,3090,10,0,referee,,,,,,
M,3090,-2.57810268211,-4.00011090416,3131.19201084,0.0284950197302,0.122260729787,-153.819439713,-0.000998531717441,-0.00144170008016,1,2.33154178404,4.68057013146,-2654.15139184,-0.0675986738465,9.5145133439,-395.908533051,1.07158254698e-06,0.00279979264174,1,1280,660,3404,1711
P,3090,0,1,green,157,762,372,860,,
P,3090,1,2,green,595,731,675,815,2097,113
P,3090,2,3,green,231,659,432,764,779,1174
P,3090,3,4,green,283,439,481,598,99,1674
P,3090,4,5,green,276.708,1091,412.775,1205,1924,298
P,3090,5,6,white,294.699,426.48,511.156,584.052,484,1362
P,3090,6,7,white,275,1097,411,1207,1882,333
P,3090,7,8,white,256.14,422.106,473.617,621.3,199,1594
P,3090,8,9,white,,,,,,
P,3090,9,10,white,,,,,,
P,3090,10,0,referee,,,,,,
B,3096,0,1,green,157,762,372,860,,
B,3096,1,2,green,595,731,675,815,,
B,3096,2,3,green,231,659,432,764,,
B,3096,3,4,green,283,439,481,598,,
B,3096,4,5,green,276.708,1091,412.775,1205,,
B,3096,5,6,white,294.699,426.48,511.156,584.052,,
B,3096,6,7,white,275,1097,411,1207,,
B,3096,7,8,white,256.14,422.106,473.617,621.3,,
B,3096,8,9,white,,,,,,
B,3096,9,10,white,,,,,,
B,3096,10,0,referee,,,,,,
B,3096,0,1,green,157,762,372,860,,
B,3096,1,2,green,595,731,675,815,,
B,3096,2,3,green,231,659,432,764,,
B,3096,3,4,green,283,439,481,598,,
B,3096,4,5,green,276.708,1091,412.775,1205,,
B,3096,5,6,white,294.699,426.48,511.156,584.052,,
B,3096,6,7,white,275,1097,411,1207,,
B,3096,7,8,white,256.14,422.106,473.617,621.3,,
B,3096,8,9,white,,,,,,
B,3096,9,10,white,,,,,,
B,3096,10,0,referee,,,,,,
B,3096,0,1,green,157,762,372,860,,
B,3096,1,2,green,595,731,675,815,,
B,3096,2,3,green,231,659,432,764,,
B,3096,3,4,green,283,439,481,598,,
B,3096,4,5,green,276.708,1091,412.775,1205,,
B,3096,5,6,white,294.699,426.48,511.156,584.052,,
B,3096,6,7,white,275,1097,411,1207,,
B,3096,7,8,white,256.14,422.106,473.617,621.3,,
B,3096,8,9,white,,,,,,
B,3096,9,10,white,,,,,,
B,3096,10,0,referee,,,,,,
B,3096,0,1,green,157,762,372,860,,
B,3096,1,2,green,595,731,675,815,,
B,3096,2,3,green,231,659,432,764,,
B,3096,3,4,green,283,439,481,598,,
B,3096,4,5,green,276.708,1091,412.775,1205,,
B,3096,5,6,white,294.699,426.48,511.156,584.052,,
B,3096,6,7,white,275,1097,411,1207,,
B,3096,7,8,white,256.14,422.106,473.617,621.3,,
B,3096,8,9,white,,,,,,
B,3096,9,10,white,,,,,,
B,3096,10,0,referee,,,,,,
M,3096,-2.57810268211,-4.00011090416,3131.19201084,0.0284950197302,0.122260729787,-153.819439713,-0.000998531717441,-0.00144170008016,1,2.33154178404,4.68057013146,-2654.15139184,-0.0675986738465,9.5145133439,-395.908533051,1.07158254698e-06,0.00279979264174,1,1280,660,3404,1711
P,3096,0,1,green,144.072,816.394,339.715,907.295,,
P,3096,1,2,green,593.072,747.567,678.114,831.075,,
P,3096,2,3,green,237.49,650.297,438.328,752.244,887,1084
P,3096,3,4,green,274.105,427.223,491.04,584.56,282,1524
P,3096,4,5,green,276.643,1091,412.71,1205,1924,298
P,3096,5,6,white,298.18,410.785,514.638,568.357,712,1208
P,3096,6,7,white,274.805,1097.57,410.049,1208.99,1926,297
P,3096,7,8,white,-12,273,667,1004,199,1594
P,3096,8,9,white,,,,,,
P,3096,9,10,white,,,,,,
P,3096,10,0,referee,,,,,,
M,3096,-2.57810268211,-4.00011090416,3131.19201084,0.0284950197302,0.122260729787,-153.819439713,-0.000998531717441,-0.00144170008016,1,2.33154178404,4.68057013146,-2654.15139184,-0.0675986738465,9.5145133439,-395.908533051,1.07158254698e-06,0.00279979264174,1,1280,660,3404,1711
P,3096,0,1,green,144.072,816.394,339.715,907.295,,
P,3096,1,2,green,593.072,747.567,678.114,831.075,,
P,3096,2,3,green,237.49,650.297,438.328,752.244,887,1084
P,3096,3,4,green,274.105,427.223,491.04,584.56,282,1524
P,3096,4,5,green,276.643,1091,412.71,1205,1924,298
P,3096,5,6,white,298.18,410.785,514.638,568.357,712,1208
P,3096,6,7,white,274.805,1097.57,410.049,1208.99,1926,297
P,3096,7,8,white,-12,273,667,1004,199,1594
P,3096,8,9,white,,,,,,
P,3096,9,10,white,,,,,,
