ledger_key,rows,sport,status,in_corpus_scan,rows_lt_50,ledger_path,ledger_bytes,ledger_sha256
acb-DCA1PAsKVJs_s90,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
acb-IZW8vZFesBI_s6755,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
acb-_a72WK36Its_s6520,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
atl_ind_2025,000000,nba,thin,False,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
bos_mia_2025,000000,nba,thin,False,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
bt3NwN7k8bY_s1701,000000,nba,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
bt3NwN7k8bY_s3312,000000,nba,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
cba-FaMCJR6tFm0_s5062,002652,basketball,tracked,True,False,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
eurocup-RuYvEezE47Y_s90,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
eurocup-mhi_fuXUPRE_s90,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
eurocup-qrWmO434a0k_s90,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
euroleague-a_GxgklBtEs_s6660,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
euroleague-xyoAURYLnQM_s90,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
