section_path,sha256,bytes,game_id,ledger_rows,ledger_entry_present,width,height,frame_count,valid_frames,bytes_per_frame,mean_abs_delta,near_identical_share,liveness,error
/workspace/nba-ai-system/data/footage_corpus/ncaa_basketball__g7dzEFLiemQ_s3399.mp4,0d1f082a3a9d164d27b782f5e0f8499990df60daa04187826ff61ef0e3acbb1d,95653026,g7dzEFLiemQ,000000,True,001920,001080,007924,000059,12071.305654,54.470476,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/wnba__-5l407QKuVk_s284.mp4,cf08abcf54ae3cfdc06fa4ab718398e57410da59955889f5625ba2a6ed8a89df,72487432,-5l407QKuVk,000000,True,001920,001080,004045,000057,17920.255130,45.212866,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/wnba__-5l407QKuVk_s478.mp4,025dba74b2b4a83a56808a3f6f69c97bf498d61c619ed264e304b20360dae500,68833271,-5l407QKuVk,000000,True,001920,001080,004021,000058,17118.445909,51.481774,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/wnba__-5l407QKuVk_s90.mp4,54b6a0bedf06ff0de4a9f0c64d492a5da460cff4bc5e24457e14186bc3c3c4f2,73063592,-5l407QKuVk,000000,True,001920,001080,003965,000059,18427.135435,52.281841,0.000000,LIVE,
,,000000,0022400909,000000,True,000000,000000,000000,000000,,,,ABSENT_FILE,"ledger-only: rows<50, no matching corpus file"
,,000000,0022400909,000000,True,000000,000000,000000,000000,,,,ABSENT_FILE,"ledger-only: rows<50, no matching corpus file"
,,000000,0022500081,000001,True,000000,000000,000000,000000,,,,ABSENT_FILE,"ledger-only: rows<50, no matching corpus file"
,,000000,0022500081,000002,True,000000,000000,000000,000000,,,,ABSENT_FILE,"ledger-only: rows<50, no matching corpus file"
,,000000,0022500081,000000,True,000000,000000,000000,000000,,,,ABSENT_FILE,"ledger-only: rows<50, no matching corpus file"
,,000000,atl_ind_2025,000000,True,000000,000000,000000,000000,,,,ABSENT_FILE,"ledger-only: rows<50, no matching corpus file"
,,000000,bos_mia_2025,000000,True,000000,000000,000000,000000,,,,ABSENT_FILE,"ledger-only: rows<50, no matching corpus file"
,,000000,mia_bkn_2025,000037,True,000000,000000,000000,000000,,,,ABSENT_FILE,"ledger-only: rows<50, no matching corpus file"
,,000000,nba_highlights_gsw,000000,True,000000,000000,000000,000000,,,,ABSENT_FILE,"ledger-only: rows<50, no matching corpus file"
,,000000,phi_tor_2025,000000,True,000000,000000,000000,000000,,,,ABSENT_FILE,"ledger-only: rows<50, no matching corpus file"
,,000000,sac_por_2025,000000,True,000000,000000,000000,000000,,,,ABSENT_FILE,"ledger-only: rows<50, no matching corpus file"
