ledger_line,sport,game_id,rows,seconds
143,ncaa_basketball,ncaa_basketball_IB-_u4gW3ds,0,2707
144,ncaa_basketball,ncaa_basketball_WFl3V7ZY4ss,0,2708
145,ncaa_basketball,ncaa_basketball_sRtHQbywiTE,0,2708
146,ncaa_basketball,ncaa_basketball_tiUvyvWOCxo,0,2709
147,ncaa_basketball,ncaa_basketball_zqBCKovJCQU,0,2709
156,wnba,wnba_01,0,2712
157,wnba,wnba_02,0,2712
158,wnba,wnba_05,0,2712
159,wnba,wnba_06,0,2712
183,wnba,wnba_01,0,2712
187,wnba,wnba_02,0,2715
188,ncaa_basketball,ncaa_basketball_IB-_u4gW3ds,0,2701
191,wnba,wnba_04,0,2702
193,ncaa_basketball,ncaa_basketball_tiUvyvWOCxo,0,2704
201,wnba,wnba_05,0,2706
202,ncaa_basketball,ncaa_basketball_sRtHQbywiTE,0,2707
208,ncaa_basketball,ncaa_basketball_zqBCKovJCQU,0,2708
244,ncaa_basketball,ncaa_basketball_IB-_u4gW3ds,0,3608
245,ncaa_basketball,ncaa_basketball_sRtHQbywiTE,0,3609
246,ncaa_basketball,ncaa_basketball_tiUvyvWOCxo,0,3609
247,ncaa_basketball,ncaa_basketball_zqBCKovJCQU,0,3609
344,ncaa_basketball,ncaa_basketball_WFl3V7ZY4ss,0,5416
345,ncaa_basketball,ncaa_basketball_sRtHQbywiTE,0,5416
346,ncaa_basketball,ncaa_basketball_tiUvyvWOCxo,4,5401
347,ncaa_basketball,ncaa_basketball_zqBCKovJCQU,4,5401
