game_id,shot_id,frame,timestamp,player_id,team,x_position,y_position,court_zone,defender_distance,team_spacing,possession_id,possession_duration,made
22400021,1,750,12.513,2,green,1183,1533,mid_range,,0.0,7,5,
22400021,4,1644,27.427,1,green,2735,1670,corner_3,,0.0,163,3,
22400021,9,3084,51.451,7,white,585,334,3pt_arc,,33733.5,197,5,
22400021,12,3687,61.511,9,white,464,360,3pt_arc,,0.0,313,17,
22400021,17,4785,79.83,6,white,2576,1568,corner_3,,0.0,347,11,
22400021,24,5343,89.139,5,green,33,341,3pt_arc,,0.0,484,3,
22400021,27,5889,98.248,10,white,64,281,3pt_arc,,0.0,652,3,
22400021,32,6843,114.164,2,green,1183,1533,mid_range,,1022968.5,851,3,
22400021,35,7344,122.522,7,white,680,205,corner_3,,0.0,1003,3,
22400021,37,7908,131.932,10,white,64,281,3pt_arc,,0.0,1151,3,
22400021,43,9327,155.605,5,green,551,283,3pt_arc,,0.0,1484,3,
22400021,50,9939,165.816,3,green,2900,1702,corner_3,,0.0,1624,3,
