outer_block,calibration_block,train_blocks,outer_label_dependency,n_outer_ticks_in_inner_train_pool,n_outer_ticks_in_calibration,n_calibration_ticks
0,1,2;3;4;5,0,0,0,80259
0,2,1;3;4;5,0,0,0,75563
0,3,1;2;4;5,0,0,0,77853
0,4,1;2;3;5,0,0,0,75904
0,5,1;2;3;4,0,0,0,77415
1,0,2;3;4;5,0,0,0,78255
1,2,0;3;4;5,0,0,0,75563
1,3,0;2;4;5,0,0,0,77853
1,4,0;2;3;5,0,0,0,75904
1,5,0;2;3;4,0,0,0,77415
2,0,1;3;4;5,0,0,0,78255
2,1,0;3;4;5,0,0,0,80259
2,3,0;1;4;5,0,0,0,77853
2,4,0;1;3;5,0,0,0,75904
2,5,0;1;3;4,0,0,0,77415
3,0,1;2;4;5,0,0,0,78255
3,1,0;2;4;5,0,0,0,80259
3,2,0;1;4;5,0,0,0,75563
3,4,0;1;2;5,0,0,0,75904
3,5,0;1;2;4,0,0,0,77415
4,0,1;2;3;5,0,0,0,78255
4,1,0;2;3;5,0,0,0,80259
4,2,0;1;3;5,0,0,0,75563
4,3,0;1;2;5,0,0,0,77853
4,5,0;1;2;3,0,0,0,77415
5,0,1;2;3;4,0,0,0,78255
5,1,0;2;3;4,0,0,0,80259
5,2,0;1;3;4,0,0,0,75563
5,3,0;1;2;4,0,0,0,77853
5,4,0;1;2;3,0,0,0,75904
