state_id,cluster_id,timestamp,raw_checkpoint_count,path_evaluation_count,static_loss_sum,score_loss_sum,conditional_loss_sum,split_ids
401809243:1,401809243,2025-10-21,1,7,0.1760256179330648,0.36150908860488035,0.283134526351193,0|1|2|3|4|5|6
401809243:2,401809243,2025-10-21,1,7,0.1760256179330648,0.5404817880186461,0.47064075849088755,0|1|2|3|4|5|6
401809243:3,401809243,2025-10-21,1,7,0.1760256179330648,0.5231239499772599,0.4736586948072508,0|1|2|3|4|5|6
401809244:1,401809244,2025-10-21,1,7,0.34579424069094705,0.09235863152078065,0.14043615788488648,0|1|2|3|4|5|6
401809244:2,401809244,2025-10-21,1,7,0.34579424069094705,0.2100246739027631,0.2714419616187492,0|1|2|3|4|5|6
401809244:3,401809244,2025-10-21,1,7,0.34579424069094705,0.0026615176924436813,0.004175371800757063,0|1|2|3|4|5|6
401809234:1,401809234,2025-10-22,1,7,0.21017796974403744,0.038487851558991364,0.029736334401607417,0|1|2|3|4|5|6
401809234:2,401809234,2025-10-22,1,7,0.21017796974403744,0.0033699037388312215,0.002511285618382295,0|1|2|3|4|5|6
401809234:3,401809234,2025-10-22,1,7,0.21017796974403744,0.25,0.22952112189104948,0|1|2|3|4|5|6
401809235:1,401809235,2025-10-22,1,7,0.09309523553148605,0.28524285386816967,0.12999951726781628,0|1|2|3|4|5|6
401809235:2,401809235,2025-10-22,1,7,0.09309523553148605,0.02989070766017387,0.009296522173042861,0|1|2|3|4|5|6
401809235:3,401809235,2025-10-22,1,7,0.09309523553148605,8.684822812288208e-07,1.481591753815064e-07,0|1|2|3|4|5|6
401809933:1,401809933,2025-10-22,1,7,0.1232309384623749,0.09235863152078065,0.039823886796070504,0|1|2|3|4|5|6
401809933:2,401809933,2025-10-22,1,7,0.1232309384623749,0.0014038163942713827,0.0004115628695655794,0|1|2|3|4|5|6
401809933:3,401809933,2025-10-22,1,7,0.1232309384623749,0.0003623775187479246,0.00013901005294086912,0|1|2|3|4|5|6
401809934:1,401809934,2025-10-22,1,7,0.23289795889533216,0.28524285386816967,0.26938133645605594,0|1|2|3|4|5|6
401809934:2,401809934,2025-10-22,1,7,0.23289795889533216,0.11397273198167948,0.1065431117845337,0|1|2|3|4|5|6
401809934:3,401809934,2025-10-22,1,7,0.23289795889533216,0.312354761527065,0.3027634933391215,0|1|2|3|4|5|6
401809935:1,401809935,2025-10-22,1,7,0.24614117763641863,0.1866980015540252,0.1839161936121227,0|1|2|3|4|5|6
401809935:2,401809935,2025-10-22,1,7,0.24614117763641863,0.07013245807198869,0.06904878739666025,0|1|2|3|4|5|6
401809935:3,401809935,2025-10-22,1,7,0.24614117763641863,1.0752875800030553e-07,1.0542807304087926e-07,0|1|2|3|4|5|6
401809936:1,401809936,2025-10-22,1,7,0.3407525623054956,0.3225267186383634,0.407538054235261,0|1|2|3|4|5|6
401809936:2,401809936,2025-10-22,1,7,0.3407525623054956,0.07013245807198869,0.09986201245639996,0|1|2|3|4|5|6
401809936:3,401809936,2025-10-22,1,7,0.3407525623054956,0.8994817194285647,0.9190055783502148,0|1|2|3|4|5|6
401809937:1,401809937,2025-10-22,1,7,0.42713408346167914,0.007322652409599296,0.023303372933404436,0|1|2|3|4|5|6
401809937:2,401809937,2025-10-22,1,7,0.42713408346167914,0.0033699037388312215,0.009673581759859102,0|1|2|3|4|5|6
401809937:3,401809937,2025-10-22,1,7,0.42713408346167914,0.0001725057830329685,0.00046170424992084705,0|1|2|3|4|5|6
401809938:1,401809938,2025-10-22,1,7,0.27048411926929034,0.36150908860488035,0.3815736694646845,0|1|2|3|4|5|6
401809938:2,401809938,2025-10-22,1,7,0.27048411926929034,0.7663350403730895,0.7782844655489598,0|1|2|3|4|5|6
401809938:3,401809938,2025-10-22,1,7,0.27048411926929034,0.013917420639854959,0.015169390635341895,0|1|2|3|4|5|6
401809939:1,401809939,2025-10-22,1,7,0.19521715005600254,0.005323718741954989,0.003259650279578382,0|1|2|3|4|5|6
401809939:2,401809939,2025-10-22,1,7,0.19521715005600254,0.0005417182001575464,0.00033053502977492495,0|1|2|3|4|5|6
401809939:3,401809939,2025-10-22,1,7,0.19521715005600254,0.0026615176924436874,0.0019650975952547308,0|1|2|3|4|5|6
401809940:1,401809940,2025-10-22,1,7,0.41354961910625737,0.0004018398244538638,0.0017469984707743841,0|1|2|3|4|5|6
401809940:2,401809940,2025-10-22,1,7,0.41354961910625737,3.3897281957871555e-07,2.042839066674138e-06,0|1|2|3|4|5|6
401809940:3,401809940,2025-10-22,1,7,0.41354961910625737,2.808565140983604e-10,1.3906877096749954e-09,0|1|2|3|4|5|6
401809941:1,401809941,2025-10-22,1,7,0.15271106616350855,0.6461214332253559,0.5335167891827562,0|1|2|3|4|5|6
401809941:2,401809941,2025-10-22,1,7,0.15271106616350855,0.9264687406480928,0.8898614086044063,0|1|2|3|4|5|6
401809941:3,401809941,2025-10-22,1,7,0.15271106616350855,0.38006989857038176,0.316358906509436,0|1|2|3|4|5|6
401809942:1,401809942,2025-10-22,1,7,0.21869649177173475,0.3225267186383634,0.2916357369896464,0|1|2|3|4|5|6
401809942:2,401809942,2025-10-22,1,7,0.21869649177173475,0.43877577706650955,0.41092092337613273,0|1|2|3|4|5|6
401809942:3,401809942,2025-10-22,1,7,0.21869649177173475,0.7227392126774391,0.7062179494114986,0|1|2|3|4|5|6
401809236:1,401809236,2025-10-23,1,7,0.0698534366943378,0.36150908860488035,0.14889184998202873,0|1|2|3|4|5|6
401809236:2,401809236,2025-10-23,1,7,0.0698534366943378,0.0536797839643997,0.014221048801315675,0|1|2|3|4|5|6
401809236:3,401809236,2025-10-23,1,7,0.0698534366943378,0.10782071205649345,0.04999025280045092,0|1|2|3|4|5|6
401809237:1,401809237,2025-10-23,1,7,0.3475468469390349,0.4017972411253189,0.4964602745439742,0|1|2|3|4|5|6
