target,game,game_date,player,favourite,actual,model_log_loss,prior_game_clusters,base_log_loss,attempt2_prereg_seal
outscores_pregame_favourite,0022501203,2025-12-11,Aaron Wiggins,Shai Gilgeous-Alexander,0,0.026212849674196247,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501203,2025-12-11,Ajay Mitchell,Shai Gilgeous-Alexander,0,0.01222292201028301,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501203,2025-12-11,Alex Caruso,Shai Gilgeous-Alexander,0,0.005838945562612855,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501203,2025-12-11,Cason Wallace,Shai Gilgeous-Alexander,0,0.004513463824314096,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501203,2025-12-11,Chet Holmgren,Shai Gilgeous-Alexander,0,0.058946387151275474,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501203,2025-12-11,Collin Gillespie,Shai Gilgeous-Alexander,0,0.010617791120339318,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501203,2025-12-11,Dillon Brooks,Shai Gilgeous-Alexander,0,0.048011530403274084,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501203,2025-12-11,Grayson Allen,Shai Gilgeous-Alexander,0,0.03572282893917833,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501203,2025-12-11,Jalen Williams,Shai Gilgeous-Alexander,0,0.11769272181572604,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501203,2025-12-11,Jordan Goodwin,Shai Gilgeous-Alexander,0,0.004114118291440275,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501203,2025-12-11,Luguentz Dort,Shai Gilgeous-Alexander,0,0.012734055197613862,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501203,2025-12-11,Mark Williams,Shai Gilgeous-Alexander,0,0.04036071782003917,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501203,2025-12-11,Oso Ighodaro,Shai Gilgeous-Alexander,0,0.0014291063713704599,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501203,2025-12-11,Royce O'Neale,Shai Gilgeous-Alexander,0,0.00785698533872717,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501203,2025-12-11,Jaylin Williams,Shai Gilgeous-Alexander,0,0.0016231405082676345,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501203,2025-12-11,Ryan Dunn,Shai Gilgeous-Alexander,0,0.005859635267416515,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501203,2025-12-11,Kenrich Williams,Shai Gilgeous-Alexander,0,0.002266198209962552,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501204,2025-12-11,Austin Reaves,Luka Doncic,0,0.10036250826769366,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501204,2025-12-11,De'Aaron Fox,Luka Doncic,0,0.22778207530601266,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501204,2025-12-11,Deandre Ayton,Luka Doncic,0,0.045037347747706055,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501204,2025-12-11,Devin Vassell,Luka Doncic,0,0.06523698271250743,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501204,2025-12-11,Dylan Harper,Luka Doncic,0,0.013059887114609155,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
outscores_pregame_favourite,0022501204,2025-12-11,Gabe Vincent,Luka Doncic,0,0.0020312308621554397,0,0.6931471805599453,83115c8892c0d7a4e0fb511aea16b8670ccd8dab8e059c2ebf19003ffb249617
