arm,game,game_date,n_ticks,loss_arm_sum,loss_incumbent_sum,loss_market_sum
hot_night_planted_null,401703370,2024-11-12,270,104.96565525,104.96565525,104.96565525
hot_night_planted_null,401703371,2024-11-12,299,28.575456749999997,28.575456749999997,28.575456749999997
hot_night_planted_null,401703372,2024-11-12,270,3.3900764999999993,3.3900764999999993,3.3900764999999993
hot_night_planted_null,401703373,2024-11-12,288,11.036091,11.036091,11.036091
hot_night_planted_null,401703374,2024-11-12,281,2.6359392500000003,2.6359392500000003,2.6359392500000003
hot_night_planted_null,401703375,2024-11-12,271,2.932123,2.932123,2.932123
hot_night_planted_null,401703376,2024-11-12,284,29.046184000000004,29.046184000000004,29.046184000000004
hot_night_planted_null,401703377,2024-11-12,273,32.64661925,32.64661925,32.64661925
hot_night_planted_null,401703378,2024-11-15,270,22.21713825,22.21713825,22.21713825
hot_night_planted_null,401703379,2024-11-15,278,33.29533675,33.29533675,33.29533675
hot_night_planted_null,401703380,2024-11-15,272,24.95744675,24.95744675,24.95744675
hot_night_planted_null,401703381,2024-11-15,260,4.794609250000001,4.794609250000001,4.794609250000001
hot_night_planted_null,401703382,2024-11-15,260,2.3314435000000002,2.3314435000000002,2.3314435000000002
hot_night_planted_null,401703383,2024-11-15,294,4.33149025,4.33149025,4.33149025
hot_night_planted_null,401703384,2024-11-15,271,18.79659025,18.79659025,18.79659025
hot_night_planted_null,401703385,2024-11-15,264,3.4602339999999994,3.4602339999999994,3.4602339999999994
hot_night_planted_null,401703386,2024-11-15,255,21.217236500000006,21.217236500000006,21.217236500000006
hot_night_planted_null,401703387,2024-11-15,265,1.4834195000000001,1.4834195000000001,1.4834195000000001
hot_night_planted_null,401703388,2024-11-15,284,4.5493635,4.5493635,4.5493635
hot_night_planted_null,401703389,2024-11-15,281,16.748833,16.748833,16.748833
hot_night_planted_null,401703390,2024-11-19,264,4.466014446694501,6.3811174948838,5.82795825
hot_night_planted_null,401703391,2024-11-19,283,41.6690321279361,46.88590897250895,46.2038575
hot_night_planted_null,401703392,2024-11-19,279,16.882064214494502,16.798706834749684,17.239317749999998
hot_night_planted_null,401703393,2024-11-19,258,0.5660514283947057,0.38648616548134807,0.32121324999999995
hot_night_planted_null,401703394,2024-11-19,265,48.96678535758606,49.68476473965489,49.522312
hot_night_planted_null,401703395,2024-11-19,263,0.9409516508227721,0.8955813299603012,0.7724084999999996
hot_night_planted_null,401703396,2024-11-22,268,19.075161900461048,20.34911917284706,19.51954475
hot_night_planted_null,401703397,2024-11-22,281,4.368965214808203,3.8919586784534927,3.839448499999999
hot_night_planted_null,401703398,2024-11-22,267,4.078113531788122,3.7811749371880805,3.4198130000000004
hot_night_planted_null,401703399,2024-11-22,256,22.409470525162046,17.60150265234515,16.963114250000007
hot_night_planted_null,401703400,2024-11-22,257,1.565302462186285,1.2207240613894785,1.0757545000000002
hot_night_planted_null,401703401,2024-11-22,275,5.5251510952426575,7.042994065563364,7.048433
hot_night_planted_null,401703402,2024-11-22,275,31.229547743488286,28.701568349234236,29.510604999999998
hot_night_planted_null,401703403,2024-11-22,254,10.80166116811223,9.672482548059937,9.21722525
hot_night_planted_null,401703419,2024-12-03,271,6.4465348881874505,5.796643953051378,5.812179250000001
hot_night_planted_null,401703420,2024-12-03,266,0.13068439402158463,0.14452742151179201,0.11815824999999995
hot_night_planted_null,401703421,2024-12-03,265,4.7723871696166755,5.288877811829742,5.36028025
hot_night_planted_null,401703422,2024-12-03,285,3.5266023827868245,3.8003887232105593,3.5373699999999992
hot_night_planted_null,401703423,2024-12-03,274,9.322486188556221,10.29754552134584,9.762765749999998
hot_night_planted_null,401703424,2024-12-03,270,0.8071058655859092,0.7022162128805524,0.6014837499999999
hot_night_planted_null,401703425,2024-12-03,290,46.52975891350621,50.20356198279683,49.649109
hot_night_planted_null,401703426,2024-12-03,271,5.51957418665326,4.600936780238794,4.166808
hot_night_planted_null,401703427,2024-12-03,290,31.61172373211223,30.761000245278474,29.904385249999997
hot_night_planted_null,401703428,2024-12-03,276,22.07201408907487,26.843112849819907,26.16656025
hot_night_planted_null,401703429,2024-12-03,266,3.4426853266929958,3.7204028300167753,3.3440192499999997
hot_night_planted_null,401704627,2024-10-22,254,2.0306447499999996,2.0306447499999996,2.0306447499999996
hot_night_planted_null,401704628,2024-10-22,273,13.121142250000002,13.121142250000002,13.121142250000002
hot_night_planted_null,401704629,2024-10-23,294,34.455813250000006,34.455813250000006,34.455813250000006
hot_night_planted_null,401704630,2024-10-23,302,13.76374725,13.76374725,13.76374725
hot_night_planted_null,401704631,2024-10-23,391,37.42813100000001,37.42813100000001,37.42813100000001
hot_night_planted_null,401704632,2024-10-23,287,6.9119832500000005,6.9119832500000005,6.9119832500000005
hot_night_planted_null,401704633,2024-10-23,302,5.903910250000001,5.903910250000001,5.903910250000001
hot_night_planted_null,401704634,2024-10-23,361,83.48192999999998,83.48192999999998,83.48192999999998
hot_night_planted_null,401704637,2024-10-23,291,31.45559725,31.45559725,31.45559725
hot_night_planted_null,401704641,2024-10-24,259,19.780706499999997,19.780706499999997,19.780706499999997
hot_night_planted_null,401704642,2024-10-24,288,46.3038285,46.3038285,46.3038285
hot_night_planted_null,401704643,2024-10-25,529,3.1619257499999995,3.1619257499999995,3.1619257499999995
hot_night_planted_null,401704644,2024-10-25,476,35.65361075,35.65361075,35.65361075
hot_night_planted_null,401704645,2024-10-25,447,7.06612425,7.06612425,7.06612425
hot_night_planted_null,401704646,2024-10-25,445,2.771936,2.771936,2.771936
hot_night_planted_null,401704647,2024-10-25,450,6.533717000000002,6.533717000000002,6.533717000000002
hot_night_planted_null,401704648,2024-10-25,417,28.242942,28.242942,28.242942
hot_night_planted_null,401704649,2024-10-25,413,52.84125749999999,52.84125749999999,52.84125749999999
hot_night_planted_null,401704651,2024-10-25,299,47.5961705,47.5961705,47.5961705
hot_night_planted_null,401704653,2024-10-26,286,51.40392525,51.40392525,51.40392525
hot_night_planted_null,401704654,2024-10-26,300,6.556089000000001,6.556089000000001,6.556089000000001
hot_night_planted_null,401704655,2024-10-26,298,6.058558,6.058558,6.058558
hot_night_planted_null,401704656,2024-10-26,297,2.6644695,2.6644695,2.6644695
hot_night_planted_null,401704657,2024-10-26,477,2.31145475,2.31145475,2.31145475
hot_night_planted_null,401704658,2024-10-26,483,6.0064047500000015,6.0064047500000015,6.0064047500000015
hot_night_planted_null,401704659,2024-10-26,476,0.21115625000000002,0.21115625000000002,0.21115625000000002
hot_night_planted_null,401704661,2024-10-26,362,22.37299175,22.37299175,22.37299175
hot_night_planted_null,401704662,2024-10-26,335,20.43638175,20.43638175,20.43638175
