member,selection,game,fold,timestamp,n_ticks,loss_guard_sum,loss_incumbent_sum,loss_market_sum,tail_guard,tail_incumbent,tail_market,max_loser_probability_guard,max_loser_probability_incumbent,max_loser_probability_market
hi_0.05_lo_0.15,fixed,401705226,F2,2025-01-29T00:36:04Z,302,67.1614841001204,19.858326571569133,25.07317375,False,False,False,0.65,0.680107258151565,0.795
hi_0.05_lo_0.15,fixed,401705227,F2,2025-01-29T03:11:04Z,293,57.01249999999998,3.1246533666166196,3.049959,False,False,False,0.44999999999999996,0.3277229722531425,0.33000000000000007
hi_0.05_lo_0.15,fixed,401705228,F2,2025-01-29T03:07:04Z,297,75.46746868891265,42.3973159393077,48.652007999999995,False,True,True,0.65,0.8114736604724002,0.875
hi_0.05_lo_0.15,fixed,401705229,F2,2025-01-30T00:11:04Z,289,56.30131552742651,8.576339023451482,7.0489317499999995,False,False,False,0.5162556167306417,0.5162556167306417,0.515
hi_0.05_lo_0.15,fixed,401705230,F2,2025-01-30T00:11:04Z,298,57.30499999999998,4.004630974822216,4.013939,False,False,False,0.44999999999999996,0.3463206805543383,0.32499999999999996
hi_0.05_lo_0.15,fixed,401705231,F2,2025-01-30T00:13:04Z,296,58.420000000000016,2.266883113350602,1.18046225,False,False,False,0.45,0.3325856176053604,0.30500000000000005
hi_0.05_lo_0.15,fixed,401705232,F2,2025-01-30T00:42:05Z,282,57.10499999999998,0.8155253936141932,0.5184535,False,False,False,0.44999999999999996,0.17419660992433106,0.14
hi_0.05_lo_0.15,fixed,401705233,F2,2025-01-30T00:44:04Z,295,56.546185925325645,4.318941562919423,2.3743519999999996,False,False,False,0.45,0.3998591011471116,0.37
hi_0.05_lo_0.15,fixed,401705234,F2,2025-01-30T00:45:04Z,299,57.36474313985153,18.02527618997596,14.738727500000001,False,False,False,0.65,0.7374196261720155,0.645
hi_0.05_lo_0.15,fixed,401705235,F2,2025-01-30T00:41:04Z,288,76.09208255419534,54.34145969577179,54.92131949999999,False,True,True,0.65,0.9403202848235592,0.925
hi_0.05_lo_0.15,fixed,401705236,F2,2025-01-30T01:11:05Z,293,65.91907866541203,30.43406470523759,26.678786000000002,False,False,False,0.65,0.7651989615337447,0.7150000000000001
hi_0.05_lo_0.15,fixed,401705237,F2,2025-01-30T01:11:05Z,288,54.305746642299766,13.149687218108891,12.911803500000001,False,False,False,0.528569981069927,0.528569981069927,0.495
hi_0.05_lo_0.15,fixed,401705238,F2,2025-01-30T02:11:04Z,298,75.7589143044475,38.24476190661581,39.0202245,False,False,False,0.65,0.7566176424352251,0.755
hi_0.05_lo_0.15,fixed,401705239,F2,2025-01-30T03:17:04Z,303,79.83892337185688,86.32277062517284,90.44216374999999,False,True,True,0.65,0.9031646055255154,0.935
hi_0.05_lo_0.15,fixed,401705240,F2,2025-01-31T00:12:04Z,284,55.83000000000002,1.801495608375398,1.0390114999999998,False,False,False,0.45,0.2961631219930215,0.245
hi_0.05_lo_0.15,fixed,401705241,F2,2025-01-31T00:06:04Z,281,55.94249999999998,1.2795693854587404,0.7926399999999998,False,False,False,0.44999999999999996,0.2321765402378113,0.20999999999999996
