evaluation,bucket,cluster_id,timestamp,n_ticks,sum_loss_incumbent,sum_loss_candidate,sum_loss_market,mean_delta
global_recal,GLOBAL,401705035,2025-01-03,279,24.087259500000002,21.210740751621866,24.087259500000002,0.010310103040781851
global_recal,GLOBAL,401705037,2025-01-03,263,6.194071999999998,7.8240587112439,6.194071999999998,-0.006197668103588983
global_recal,GLOBAL,401705039,2025-01-03,284,38.051238250000004,33.87071033312237,38.051238250000004,0.014720168721400122
global_recal,GLOBAL,401705041,2025-01-03,269,40.80136075,44.55456920581417,40.80136075,-0.013952447791130734
global_recal,GLOBAL,401705043,2025-01-03,270,8.77481175,7.664701897344858,8.77481175,0.004111517972796821
global_recal,GLOBAL,401705045,2025-01-04,288,20.025834000000003,17.53782860249032,20.025834000000003,0.008638907630241955
global_recal,GLOBAL,401705047,2025-01-04,279,23.682395749999998,25.438708913821877,23.682395749999998,-0.006295029261010318
global_recal,GLOBAL,401705049,2025-01-04,246,62.672779999999996,65.80257086554722,62.672779999999996,-0.012722727095720454
global_recal,GLOBAL,401705053,2025-01-05,266,43.5091095,39.0698233020255,43.5091095,0.016689045857047013
global_recal,GLOBAL,401705055,2025-01-05,295,3.513798999999999,4.483006955428456,3.513798999999999,-0.003285450696367652
global_recal,GLOBAL,401705057,2025-01-05,264,6.409427,5.805826874193057,6.409427,0.002286364112905086
global_recal,GLOBAL,401705059,2025-01-06,276,31.2767865,27.31287258595166,31.2767865,0.014362006934957766
global_recal,GLOBAL,401705061,2025-01-06,280,1.2824304999999994,1.8860059522298802,1.2824304999999994,-0.002155626615106717
global_recal,GLOBAL,401705063,2025-01-06,274,2.5780117499999995,3.3752539453159094,2.5780117499999995,-0.002909643048598212
global_recal,GLOBAL,401705065,2025-01-06,257,23.016822750000003,20.105802742288287,23.016822750000003,0.01132692610004559
global_recal,GLOBAL,401705067,2025-01-06,299,50.90488375,46.253145731803905,50.90488375,0.015557652234769567
global_recal,GLOBAL,401705069,2025-01-07,275,3.190775999999999,4.630983863008237,3.190775999999999,-0.005237119501848138
global_recal,GLOBAL,401705071,2025-01-07,285,12.324431499999998,15.829685523295721,12.324431499999998,-0.01229913692384464
global_recal,GLOBAL,401705073,2025-01-07,283,4.079273749999999,6.016507763204156,4.079273749999999,-0.006845349869979354
global_recal,GLOBAL,401705075,2025-01-08,290,24.92596275,21.192280191738668,24.92596275,0.012874767442280464
global_recal,GLOBAL,401705077,2025-01-08,282,1.6469565000000002,1.432023423797736,1.6469565000000002,0.0007621740290860426
global_recal,GLOBAL,401705079,2025-01-08,278,1.9524267499999985,2.797494467959503,1.9524267499999985,-0.0030398119351061318
global_recal,GLOBAL,401705081,2025-01-08,255,8.3488045,7.15440332851136,8.3488045,0.0046839261627005515
global_recal,GLOBAL,401705083,2025-01-09,254,9.831959,8.090882801134365,9.831959,0.006854630704195416
global_recal,GLOBAL,401705085,2025-01-09,266,3.8532184999999988,5.259034760253623,3.8532184999999988,-0.005285023534788063
global_recal,GLOBAL,401705087,2025-01-09,275,35.021831750000004,30.25713970096271,35.021831750000004,0.017326152905590156
global_recal,GLOBAL,401705089,2025-01-09,269,17.750017749999998,21.80360122814415,17.750017749999998,-0.01506908356187417
global_recal,GLOBAL,401705092,2025-01-10,269,17.7195555,21.971169263372975,17.7195555,-0.015805255625921846
global_recal,GLOBAL,401705094,2025-01-10,255,63.84002675,67.45755406873899,63.84002675,-0.014186381642113674
global_recal,GLOBAL,401705096,2025-01-10,261,1.45637275,1.1493333109992259,1.45637275,0.0011763963180106288
global_recal,GLOBAL,401705099,2025-01-11,256,1.5808090000000001,1.3444818114983634,1.5808090000000001,0.0009231530800845178
global_recal,GLOBAL,401705101,2025-01-11,270,47.2231325,52.253873798232604,47.2231325,-0.018632375178639284
global_recal,GLOBAL,401705105,2025-01-12,281,5.65530425,4.890948355467541,5.65530425,0.0027201277385496786
global_recal,GLOBAL,401705107,2025-01-12,273,21.174185999999995,24.59750991608758,21.174185999999995,-0.01253964804427687
global_recal,GLOBAL,401705109,2025-01-12,283,65.33364575,67.7044571443901,65.33364575,-0.008377425421873157
global_recal,GLOBAL,401705111,2025-01-12,267,0.1842289999999995,0.2690103766670311,0.1842289999999995,-0.00031753324594393844
global_recal,GLOBAL,401705113,2025-01-12,264,27.31778225,24.093038062021897,27.31778225,0.01221494010597767
global_recal,GLOBAL,401705115,2025-01-13,266,54.36483175,57.60897562226117,54.36483175,-0.01219602959496679
global_recal,GLOBAL,401705117,2025-01-13,271,50.335682750000004,45.87695506290622,50.335682750000004,0.016452869694073002
global_recal,GLOBAL,401705119,2025-01-13,251,12.11595,10.745629520264618,12.11595,0.005459444142372042
global_recal,GLOBAL,401705121,2025-01-14,257,0.14439599999999958,0.23136779641186894,0.14439599999999958,-0.0003384116591901532
global_recal,GLOBAL,401705123,2025-01-14,277,39.709754249999996,42.7645377960742,39.709754249999996,-0.011028099444311192
global_recal,GLOBAL,401705125,2025-01-14,270,2.661458999999999,3.3864796450729253,2.661458999999999,-0.0026852616484182466
global_recal,GLOBAL,401705127,2025-01-15,305,7.143249749999998,8.828859564370152,7.143249749999998,-0.005526589555311981
global_recal,GLOBAL,401705129,2025-01-15,274,21.172262749999998,23.31693241331718,21.172262749999998,-0.00782726154495321
global_recal,GLOBAL,401705131,2025-01-15,290,18.194908999999996,21.1961731572201,18.194908999999996,-0.01034918674903484
global_recal,GLOBAL,401705133,2025-01-15,273,30.4475615,33.03710329615966,30.4475615,-0.009485501084833918
global_recal,GLOBAL,401705135,2025-01-15,268,29.159735249999997,31.87090111117382,29.159735249999997,-0.010116290526767987
global_recal,GLOBAL,401705137,2025-01-15,275,0.4958257499999999,0.4931954307024045,0.4958257499999999,9.56479744580133e-06
global_recal,GLOBAL,401705139,2025-01-16,283,0.30675724999999954,0.38921087740788424,0.30675724999999954,-0.0002913555738794513
global_recal,GLOBAL,401705141,2025-01-16,282,1.2766264999999988,1.5081795858287792,1.2766264999999988,-0.0008211102334353917
global_recal,GLOBAL,401705143,2025-01-17,304,0.47156524999999977,0.48864102051542735,0.47156524999999977,-5.6170297748117075e-05
global_recal,GLOBAL,401705145,2025-01-17,280,4.135613249999999,4.639307106979932,4.135613249999999,-0.0017989066320711889
global_recal,GLOBAL,401705148,2025-01-17,300,34.124564,35.20170279317656,34.124564,-0.0035904626439218737
global_recal,GLOBAL,401705151,2025-01-17,285,5.2575205,5.153169330430841,5.2575205,0.00036614445462862934
global_recal,GLOBAL,401705153,2025-01-18,293,89.5260585,90.09452794031556,89.5260585,-0.0019401687382783383
global_recal,GLOBAL,401705158,2025-01-19,257,16.17694875,16.022759182039493,16.17694875,0.000599959408406639
global_recal,GLOBAL,401705160,2025-01-19,264,1.9319205,2.0946828514107727,1.9319205,-0.0006165240583741404
global_recal,GLOBAL,401705162,2025-01-19,260,4.1111889999999995,4.247576991939317,4.1111889999999995,-0.0005245691997666045
global_recal,GLOBAL,401705164,2025-01-19,270,0.3217427499999999,0.37640204283292233,0.3217427499999999,-0.00020244182530712007
global_recal,GLOBAL,401705166,2025-01-20,277,35.1176805,35.493837626214024,35.1176805,-0.0013579679646715758
global_recal,GLOBAL,401705168,2025-01-20,293,15.939899000000002,15.714705243571157,15.939899000000002,0.0007685793734772896
global_recal,GLOBAL,401705170,2025-01-20,267,1.555507999999999,1.7351472959131373,1.555507999999999,-0.0006728063517346002
global_recal,GLOBAL,401705172,2025-01-21,295,3.3056042499999982,3.5790532145202,3.3056042499999982,-0.0009269456424413608
global_recal,GLOBAL,401705174,2025-01-21,289,41.81358825,40.8438331828615,41.81358825,0.0033555538655311475
global_recal,GLOBAL,401705176,2025-01-21,259,0.7460749999999997,0.7948107652287144,0.7460749999999997,-0.00018816897771704508
global_recal,GLOBAL,401705178,2025-01-22,264,10.777686999999998,11.193724978638299,10.777686999999998,-0.0015759014342359855
global_recal,GLOBAL,401705180,2025-01-22,286,16.222218499999997,17.0979333320437,16.222218499999997,-0.0030619399721807782
global_recal,GLOBAL,401705182,2025-01-22,268,0.5260295,0.5450789561448476,0.5260295,-7.108006024196856e-05
global_recal,GLOBAL,401705185,2025-01-22,276,40.88566025,39.726723990758906,40.88566025,0.0041990444175401985
global_recal,GLOBAL,401705187,2025-01-23,251,21.35214525,21.92157085550683,21.35214525,-0.0022686279103857785
global_recal,GLOBAL,401705189,2025-01-23,301,28.552666499999997,29.4146706279378,28.552666499999997,-0.0028638010894943547
global_recal,GLOBAL,401705191,2025-01-23,323,68.60468725,68.88857448478866,68.60468725,-0.0008789078476429202
global_recal,GLOBAL,401705194,2025-01-23,284,17.087504,16.637395890308394,17.087504,0.0015848877101817176
global_recal,GLOBAL,401705196,2025-01-24,316,35.809299,35.67599957979717,35.809299,0.0004218336082367917
global_recal,GLOBAL,401705198,2025-01-24,256,10.367369250000001,10.525996754183778,10.367369250000001,-0.0006196386882178783
global_recal,GLOBAL,401705200,2025-01-25,268,12.599424500000001,12.79222726414508,12.599424500000001,-0.0007194132990488007
global_recal,GLOBAL,401705202,2025-01-25,321,7.4832044999999985,7.7972686212544975,7.4832044999999985,-0.0009783929011043576
global_recal,GLOBAL,401705204,2025-01-25,322,32.66506675,32.761602708289345,32.66506675,-0.00029980111269982244
global_recal,GLOBAL,401705206,2025-01-25,302,20.6234395,20.61852916011222,20.6234395,1.625940360190785e-05
global_recal,GLOBAL,401705208,2025-01-25,283,32.88020475,32.65586844917523,32.88020475,0.000792707776765975
global_recal,GLOBAL,401705210,2025-01-25,291,18.360626749999994,18.453479825490422,18.360626749999994,-0.0003190827336440817
global_recal,GLOBAL,401705212,2025-01-25,292,25.542813250000002,25.72724747822106,25.542813250000002,-0.000631624069250194
global_recal,GLOBAL,401705214,2025-01-27,294,2.4194639999999987,2.501048139722861,2.4194639999999987,-0.0002774970738872876
global_recal,GLOBAL,401705216,2025-01-27,304,56.99624,56.2887092186028,56.99624,0.0023274038861750097
global_recal,GLOBAL,401705218,2025-01-27,327,66.03749,66.03407079315637,66.03749,1.0456290041672457e-05
global_recal,GLOBAL,401705220,2025-01-27,302,11.8243255,12.117256538318657,11.8243255,-0.0009699703255584663
global_recal,GLOBAL,401705222,2025-01-27,304,0.9835235,1.0676468498066638,0.9835235,-0.00027672154541665694
