event_id,event_key,cdn_game_id,inplay_ticks,joined_ticks,inside_pbp_span_ticks
401857034,KXWNBAGAME-26JUL02ATLWSH,1022600145,3074,262,276
401857035,KXWNBAGAME-26JUL02DALCONN,1022600146,2678,292,298
401857036,KXWNBAGAME-26JUL02SEAPHX,1022600147,1259,108,112
401856954,KXWNBAGAME-26JUN01MINPHX,1022600065,997,89,96
401856953,KXWNBAGAME-26JUN01SEADAL,1022600064,3075,226,238
401856956,KXWNBAGAME-26JUN02CHIWSH,1022600067,924,122,128
401856955,KXWNBAGAME-26JUN02CONNATL,1022600066,2543,248,256
401856958,KXWNBAGAME-26JUN02LVLA,1022600069,1955,228,243
401856957,KXWNBAGAME-26JUN02PDXGS,1022600068,2055,219,231
401856960,KXWNBAGAME-26JUN03PHXSEA,1022600071,2012,239,252
401856959,KXWNBAGAME-26JUN03TORNY,1022600070,2109,220,232
401856961,KXWNBAGAME-26JUN04ATLIND,1022600072,2593,247,258
401856962,KXWNBAGAME-26JUN04GSMIN,1022600073,2631,236,250
401856963,KXWNBAGAME-26JUN05CONNCHI,1022600074,2078,260,270
401856964,KXWNBAGAME-26JUN05DALLA,1022600075,2745,248,256
401856965,KXWNBAGAME-26JUN05PHXPDX,1022600076,2283,256,266
401856967,KXWNBAGAME-26JUN06GSLV,1022600078,2553,248,258
401856969,KXWNBAGAME-26JUN06INDNY,1022600080,2485,250,260
401856966,KXWNBAGAME-26JUN06SEAMIN,1022600077,2959,220,231
401856968,KXWNBAGAME-26JUN06WSHATL,1022600079,1937,256,268
401856970,KXWNBAGAME-26JUN07CHITOR,1022600081,2187,241,251
401856971,KXWNBAGAME-26JUN07PDXLA,1022600082,2385,220,232
401856973,KXWNBAGAME-26JUN08INDWSH,1022600084,2575,276,286
401856972,KXWNBAGAME-26JUN08NYCONN,1022600083,1541,140,145
401856974,KXWNBAGAME-26JUN08SEALV,1022600085,1153,111,117
401856975,KXWNBAGAME-26JUN09ATLCHI,1022600086,2382,246,256
401856976,KXWNBAGAME-26JUN09DALMIN,1022600087,2613,211,224
401856977,KXWNBAGAME-26JUN09PHXGS,1022600088,2194,250,252
401856978,KXWNBAGAME-26JUN10CONNTOR,1022600089,2340,290,300
401856979,KXWNBAGAME-26JUN10LASEA,1022600090,2328,250,258
401856980,KXWNBAGAME-26JUN11CHIIND,1022600091,2136,314,324
401856983,KXWNBAGAME-26JUN11LVPDX,1022600094,989,115,120
401856981,KXWNBAGAME-26JUN11NYATL,1022600092,2425,268,274
401856982,KXWNBAGAME-26JUN11PHXDAL,1022600093,2184,214,220
401856985,KXWNBAGAME-26JUN12GSSEA,1022600096,2526,294,310
401856984,KXWNBAGAME-26JUN12TORWSH,1022600095,2378,258,274
401856988,KXWNBAGAME-26JUN13DALPDX,1022600099,2337,240,248
401856986,KXWNBAGAME-26JUN13INDCONN,1022600097,2633,244,254
401856989,KXWNBAGAME-26JUN13LAPHX,1022600100,1971,260,272
401856987,KXWNBAGAME-26JUN13MINLV,1022600098,2550,230,240
401856991,KXWNBAGAME-26JUN14ATLTOR,1022600102,2016,249,258
401856990,KXWNBAGAME-26JUN14WSHNY,1022600101,2280,239,250
401856994,KXWNBAGAME-26JUN15LAGS,1022600105,2525,235,246
401856992,KXWNBAGAME-26JUN15LVDAL,1022600103,1354,108,114
401856993,KXWNBAGAME-26JUN15PDXMIN,1022600104,2999,233,246
401856995,KXWNBAGAME-26JUN16TORIND,1022600106,2814,238,250
401856998,KXWNBAGAME-26JUN17DALGS,1022600109,2399,233,242
401857000,KXWNBAGAME-26JUN17LVPHX,1022600111,2401,243,256
401856999,KXWNBAGAME-26JUN17MINLA,1022600110,2625,235,257
401856997,KXWNBAGAME-26JUN17NYCHI,1022600108,2688,234,244
401857001,KXWNBAGAME-26JUN17SEAPDX,1022600112,2279,248,258
401856996,KXWNBAGAME-26JUN17WSHCONN,1022600107,2239,242,250
401857002,KXWNBAGAME-26JUN18ATLIND,1022600113,3233,272,282
401857005,KXWNBAGAME-26JUN19MINGS,1022600116,2730,242,250
401857003,KXWNBAGAME-26JUN19TORCONN,1022600114,2599,248,258
401857004,KXWNBAGAME-26JUN19WSHNY,1022600115,3276,250,260
401857008,KXWNBAGAME-26JUN20CHIDAL,1022600119,2311,252,264
401857006,KXWNBAGAME-26JUN20INDATL,1022600117,2946,269,282
401857007,KXWNBAGAME-26JUN20SEAPHX,1022600118,2020,223,236
401857009,KXWNBAGAME-26JUN21GSLV,1022600120,1258,116,121
401857011,KXWNBAGAME-26JUN21NYLA,1022600122,2351,244,268
401857010,KXWNBAGAME-26JUN21WSHMIN,1022600121,2392,260,272
401857012,KXWNBAGAME-26JUN22CHICONN,1022600123,1174,128,133
401857015,KXWNBAGAME-26JUN22DALSEA,1022600126,897,128,132
401857014,KXWNBAGAME-26JUN22PHXIND,1022600125,2017,260,270
401857013,KXWNBAGAME-26JUN22TORATL,1022600124,2435,261,266
401857016,KXWNBAGAME-26JUN23NYLV,1022600127,2892,222,236
401857018,KXWNBAGAME-26JUN24MINWSH,1022600129,1303,131,137
401857019,KXWNBAGAME-26JUN24PDXCHI,1022600130,2119,233,244
401857017,KXWNBAGAME-26JUN24PHXIND,1022600128,1222,135,140
401857022,KXWNBAGAME-26JUN25DALLV,1022600133,2481,244,250
401857021,KXWNBAGAME-26JUN25LATOR,1022600132,1283,124,130
401857023,KXWNBAGAME-26JUN25NYSEA,1022600134,1191,106,110
401857026,KXWNBAGAME-26JUN26ATLGS,1022600137,1328,132,136
401857025,KXWNBAGAME-26JUN26PDXCHI,1022600136,2521,223,232
401857024,KXWNBAGAME-26JUN26WSHCONN,1022600135,1263,121,122
401857029,KXWNBAGAME-26JUN27ATLSEA,1022600140,3115,250,260
401857028,KXWNBAGAME-26JUN27LAIND,1022600139,2550,253,260
401857027,KXWNBAGAME-26JUN27PHXTOR,1022600138,2593,260,270
401857032,KXWNBAGAME-26JUN28LVCHI,1022600143,2701,252,262
401857030,KXWNBAGAME-26JUN28MINDAL,1022600141,1177,110,116
401857033,KXWNBAGAME-26JUN28NYGS,1022600144,1152,124,129
401857031,KXWNBAGAME-26JUN28PDXWSH,1022600142,1148,211,216
401857321,KXWNBAGAME-26JUN30LVNY,1052600001,3044,242,252
401856952,KXWNBAGAME-26MAY31LVGS,1022600063,2623,241,253
