stable_key,game_id,player_id,date,split_id,fold_status,baseline_minutes_crps,baseline_dnp_brier,baseline_dnp_logloss,baseline_pinball_q10,baseline_pinball_q50,baseline_pinball_q90,baseline_inside80,candidate_minutes_crps,candidate_dnp_brier,candidate_dnp_logloss,candidate_pinball_q10,candidate_pinball_q50,candidate_pinball_q90,candidate_inside80
0022300062|101108,0022300062,101108,2023-10-24,0,SCORED,34.0,1.0,27.631021115928547,3.4000000000000004,17.0,30.6,0.0,34.0,1.0,27.631021115928547,3.4000000000000004,17.0,30.6,0.0
0022300062|201142,0022300062,201142,2023-10-24,0,SCORED,37.0,1.0,27.631021115928547,3.7,18.5,33.300000000000004,0.0,37.0,1.0,27.631021115928547,3.7,18.5,33.300000000000004,0.0
0022300062|201569,0022300062,201569,2023-10-24,0,SCORED,32.0,1.0,27.631021115928547,3.2,16.0,28.8,0.0,32.0,1.0,27.631021115928547,3.2,16.0,28.8,0.0
0022300062|201939,0022300062,201939,2023-10-24,0,SCORED,31.0,1.0,27.631021115928547,3.1,15.5,27.900000000000002,0.0,31.0,1.0,27.631021115928547,3.1,15.5,27.900000000000002,0.0
0022300062|202691,0022300062,202691,2023-10-24,0,SCORED,36.0,1.0,27.631021115928547,3.6,18.0,32.4,0.0,36.0,1.0,27.631021115928547,3.6,18.0,32.4,0.0
0022300062|202709,0022300062,202709,2023-10-24,0,SCORED,4.0,1.0,27.631021115928547,0.4,2.0,3.6,0.0,4.0,1.0,27.631021115928547,0.4,2.0,3.6,0.0
0022300062|203952,0022300062,203952,2023-10-24,0,SCORED,27.0,1.0,27.631021115928547,2.7,13.5,24.3,0.0,27.0,1.0,27.631021115928547,2.7,13.5,24.3,0.0
0022300062|203967,0022300062,203967,2023-10-24,0,SCORED,20.0,1.0,27.631021115928547,2.0,10.0,18.0,0.0,20.0,1.0,27.631021115928547,2.0,10.0,18.0,0.0
0022300062|203994,0022300062,203994,2023-10-24,0,SCORED,28.0,1.0,27.631021115928547,2.8000000000000003,14.0,25.2,0.0,28.0,1.0,27.631021115928547,2.8000000000000003,14.0,25.2,0.0
0022300062|1626164,0022300062,1626164,2023-10-24,0,SCORED,37.0,1.0,27.631021115928547,3.7,18.5,33.300000000000004,0.0,37.0,1.0,27.631021115928547,3.7,18.5,33.300000000000004,0.0
0022300062|1626172,0022300062,1626172,2023-10-24,0,SCORED,28.0,1.0,27.631021115928547,2.8000000000000003,14.0,25.2,0.0,28.0,1.0,27.631021115928547,2.8000000000000003,14.0,25.2,0.0
0022300062|1627780,0022300062,1627780,2023-10-24,0,SCORED,22.0,1.0,27.631021115928547,2.2,11.0,19.8,0.0,22.0,1.0,27.631021115928547,2.2,11.0,19.8,0.0
0022300062|1628960,0022300062,1628960,2023-10-24,0,SCORED,21.0,1.0,27.631021115928547,2.1,10.5,18.900000000000002,0.0,21.0,1.0,27.631021115928547,2.1,10.5,18.900000000000002,0.0
