event_key,ticker_or_slug,market_type,parsed_date,away,home,exact_checkpoint_overlap,comparable_moneyline,checkpoint_game_id
KXNBAGAME-26APR26BOSPHI,KXNBAGAME-26APR26BOSPHI-BOS,moneyline,2026-04-26,BOS,PHI,True,True,401869406
KXNBAGAME-26APR26LALHOU,KXNBAGAME-26APR26LALHOU-HOU,moneyline,2026-04-26,LAL,HOU,True,True,401869405
KXNBAGAME-26APR27DETORL,KXNBAGAME-26APR27DETORL-DET,moneyline,2026-04-27,DET,ORL,True,True,401869415
KXNBAGAME-26APR27MINDEN,KXNBAGAME-26APR27MINDEN-DEN,moneyline,2026-04-27,MIN,DEN,True,True,401869401
KXNBAGAME-26APR27OKCPHX,KXNBAGAME-26APR27OKCPHX-OKC,moneyline,2026-04-27,OKC,PHX,True,True,401869373
KXNBAGAME-26APR28ATLNYK,KXNBAGAME-26APR28ATLNYK-ATL,moneyline,2026-04-28,ATL,NYK,True,True,401869392
KXNBAGAME-26APR28PHIBOS,KXNBAGAME-26APR28PHIBOS-BOS,moneyline,2026-04-28,PHI,BOS,True,True,401869408
KXNBAGAME-26APR28PORSAS,KXNBAGAME-26APR28PORSAS-POR,moneyline,2026-04-28,POR,SAS,True,True,401869386
KXNBAGAME-26APR29HOULAL,KXNBAGAME-26APR29HOULAL-HOU,moneyline,2026-04-29,HOU,LAL,True,True,401869407
KXNBAGAME-26APR29ORLDET,KXNBAGAME-26APR29ORLDET-DET,moneyline,2026-04-29,ORL,DET,True,True,401869416
KXNBAGAME-26APR29TORCLE,KXNBAGAME-26APR29TORCLE-CLE,moneyline,2026-04-29,TOR,CLE,True,True,401869380
KXNBAGAME-26APR30BOSPHI,KXNBAGAME-26APR30BOSPHI-BOS,moneyline,2026-04-30,BOS,PHI,True,True,401869410
KXNBAGAME-26APR30DENMIN,KXNBAGAME-26APR30DENMIN-DEN,moneyline,2026-04-30,DEN,MIN,True,True,401869402
KXNBAGAME-26APR30NYKATL,KXNBAGAME-26APR30NYKATL-ATL,moneyline,2026-04-30,NYK,ATL,True,True,401869393
KXNBAGAME-26JUN03NYKSAS,KXNBAGAME-26JUN03NYKSAS-NYK,moneyline,2026-06-03,NYK,SAS,True,True,401859963
KXNBAGAME-26JUN05NYKSAS,KXNBAGAME-26JUN05NYKSAS-NYK,moneyline,2026-06-05,NYK,SAS,True,True,401859964
KXNBAGAME-26JUN08SASNYK,KXNBAGAME-26JUN08SASNYK-NYK,moneyline,2026-06-08,SAS,NYK,True,True,401859965
KXNBAGAME-26JUN10SASNYK,KXNBAGAME-26JUN10SASNYK-NYK,moneyline,2026-06-10,SAS,NYK,True,True,401859966
KXNBAGAME-26JUN13NYKSAS,KXNBAGAME-26JUN13NYKSAS-NYK,moneyline,2026-06-13,NYK,SAS,True,True,401859967
KXNBAGAME-26MAY01CLETOR,KXNBAGAME-26MAY01CLETOR-CLE,moneyline,2026-05-01,CLE,TOR,True,True,401869381
KXNBAGAME-26MAY01DETORL,KXNBAGAME-26MAY01DETORL-DET,moneyline,2026-05-01,DET,ORL,True,True,401869417
KXNBAGAME-26MAY01LALHOU,KXNBAGAME-26MAY01LALHOU-HOU,moneyline,2026-05-01,LAL,HOU,True,True,401869409
KXNBAGAME-26MAY04MINSAS,KXNBAGAME-26MAY04MINSAS-MIN,moneyline,2026-05-04,MIN,SAS,True,True,401871152
KXNBAGAME-26MAY04PHINYK,KXNBAGAME-26MAY04PHINYK-NYK,moneyline,2026-05-04,PHI,NYK,False,False,
KXNBAGAME-26MAY05CLEDET,KXNBAGAME-26MAY05CLEDET-CLE,moneyline,2026-05-05,CLE,DET,False,False,
KXNBAGAME-26MAY05LALOKC,KXNBAGAME-26MAY05LALOKC-LAL,moneyline,2026-05-05,LAL,OKC,True,True,401871326
KXNBAGAME-26MAY06MINSAS,KXNBAGAME-26MAY06MINSAS-MIN,moneyline,2026-05-06,MIN,SAS,True,True,401871153
KXNBAGAME-26MAY06PHINYK,KXNBAGAME-26MAY06PHINYK-NYK,moneyline,2026-05-06,PHI,NYK,False,False,
KXNBAGAME-26MAY07CLEDET,KXNBAGAME-26MAY07CLEDET-CLE,moneyline,2026-05-07,CLE,DET,False,False,
KXNBAGAME-26MAY07LALOKC,KXNBAGAME-26MAY07LALOKC-LAL,moneyline,2026-05-07,LAL,OKC,True,True,401871327
KXNBAGAME-26MAY08NYKPHI,KXNBAGAME-26MAY08NYKPHI-NYK,moneyline,2026-05-08,NYK,PHI,True,True,401871161
KXNBAGAME-26MAY08SASMIN,KXNBAGAME-26MAY08SASMIN-MIN,moneyline,2026-05-08,SAS,MIN,True,True,401871154
KXNBAGAME-26MAY09DETCLE,KXNBAGAME-26MAY09DETCLE-CLE,moneyline,2026-05-09,DET,CLE,False,False,
KXNBAGAME-26MAY09OKCLAL,KXNBAGAME-26MAY09OKCLAL-LAL,moneyline,2026-05-09,OKC,LAL,True,True,401871328
KXNBAGAME-26MAY10NYKPHI,KXNBAGAME-26MAY10NYKPHI-NYK,moneyline,2026-05-10,NYK,PHI,False,False,
KXNBAGAME-26MAY10SASMIN,KXNBAGAME-26MAY10SASMIN-MIN,moneyline,2026-05-10,SAS,MIN,False,False,
KXNBAGAME-26MAY11DETCLE,KXNBAGAME-26MAY11DETCLE-CLE,moneyline,2026-05-11,DET,CLE,False,False,
KXNBAGAME-26MAY11OKCLAL,KXNBAGAME-26MAY11OKCLAL-LAL,moneyline,2026-05-11,OKC,LAL,False,False,
KXNBAGAME-26MAY12MINSAS,KXNBAGAME-26MAY12MINSAS-MIN,moneyline,2026-05-12,MIN,SAS,False,False,
KXNBAGAME-26MAY13CLEDET,KXNBAGAME-26MAY13CLEDET-CLE,moneyline,2026-05-13,CLE,DET,False,False,
KXNBAGAME-26MAY15DETCLE,KXNBAGAME-26MAY15DETCLE-CLE,moneyline,2026-05-15,DET,CLE,False,False,
KXNBAGAME-26MAY15SASMIN,KXNBAGAME-26MAY15SASMIN-MIN,moneyline,2026-05-15,SAS,MIN,False,False,
KXNBAGAME-26MAY18SASOKC,KXNBAGAME-26MAY18SASOKC-OKC,moneyline,2026-05-18,SAS,OKC,True,True,401873197
KXNBAGAME-26MAY19CLENYK,KXNBAGAME-26MAY19CLENYK-CLE,moneyline,2026-05-19,CLE,NYK,True,True,401873341
KXNBAGAME-26MAY20SASOKC,KXNBAGAME-26MAY20SASOKC-OKC,moneyline,2026-05-20,SAS,OKC,True,True,401873198
KXNBAGAME-26MAY21CLENYK,KXNBAGAME-26MAY21CLENYK-CLE,moneyline,2026-05-21,CLE,NYK,True,True,401873342
KXNBAGAME-26MAY22OKCSAS,KXNBAGAME-26MAY22OKCSAS-OKC,moneyline,2026-05-22,OKC,SAS,True,True,401873199
KXNBAGAME-26MAY23NYKCLE,KXNBAGAME-26MAY23NYKCLE-CLE,moneyline,2026-05-23,NYK,CLE,True,True,401873343
KXNBAGAME-26MAY24OKCSAS,KXNBAGAME-26MAY24OKCSAS-OKC,moneyline,2026-05-24,OKC,SAS,True,True,401873200
KXNBAGAME-26MAY25NYKCLE,KXNBAGAME-26MAY25NYKCLE-CLE,moneyline,2026-05-25,NYK,CLE,True,True,401873344
KXNBAGAME-26MAY26SASOKC,KXNBAGAME-26MAY26SASOKC-OKC,moneyline,2026-05-26,SAS,OKC,True,True,401873201
KXNBAGAME-26MAY28OKCSAS,KXNBAGAME-26MAY28OKCSAS-OKC,moneyline,2026-05-28,OKC,SAS,True,True,401873202
KXNBAGAME-26MAY30SASOKC,KXNBAGAME-26MAY30SASOKC-OKC,moneyline,2026-05-30,SAS,OKC,True,True,401873203
KXNBASPREAD-26JUN03NYKSAS,KXNBASPREAD-26JUN03NYKSAS-NYK1,spread,2026-06-03,NYK,SAS,True,False,401859963
KXNBASPREAD-26JUN05NYKSAS,KXNBASPREAD-26JUN05NYKSAS-NYK1,spread,2026-06-05,NYK,SAS,True,False,401859964
KXNBASPREAD-26JUN08SASNYK,KXNBASPREAD-26JUN08SASNYK-NYK1,spread,2026-06-08,SAS,NYK,True,False,401859965
KXNBASPREAD-26JUN10SASNYK,KXNBASPREAD-26JUN10SASNYK-NYK1,spread,2026-06-10,SAS,NYK,True,False,401859966
KXNBASPREAD-26JUN13NYKSAS,KXNBASPREAD-26JUN13NYKSAS-NYK1,spread,2026-06-13,NYK,SAS,True,False,401859967
KXNBASPREAD-26MAY25NYKCLE,KXNBASPREAD-26MAY25NYKCLE-NYK25,spread,2026-05-25,NYK,CLE,True,False,401873344
KXNBASPREAD-26MAY26SASOKC,KXNBASPREAD-26MAY26SASOKC-OKC14,spread,2026-05-26,SAS,OKC,True,False,401873201
KXNBASPREAD-26MAY28OKCSAS,KXNBASPREAD-26MAY28OKCSAS-OKC1,spread,2026-05-28,OKC,SAS,True,False,401873202
KXNBASPREAD-26MAY30SASOKC,KXNBASPREAD-26MAY30SASOKC-OKC1,spread,2026-05-30,SAS,OKC,True,False,401873203
