cluster_date,row_index,game_id,ts,forecast_samples_json,n_train,cold_start,archived_crps,new_crps,delta_crps,archived_pinball_q10,new_pinball_q10,delta_pinball_q10,archived_pinball_q50,new_pinball_q50,delta_pinball_q50,archived_pinball_q90,new_pinball_q90,delta_pinball_q90
2022-04-19,1,mlb-1,2022-04-19T12:00:00,[0.0],2995,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-19,2,mlb-2,2022-04-19T12:00:00,[0.0],2995,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-21,3,mlb-3,2022-04-21T12:00:00,[0.0],2987,1,2.0,2.0,0.0,0.2,0.2,0.0,1.0,1.0,0.0,1.8,1.8,0.0
2022-04-22,4,mlb-4,2022-04-22T12:00:00,[0.0],2987,1,1.0,1.0,0.0,0.1,0.1,0.0,0.5,0.5,0.0,0.9,0.9,0.0
2022-04-22,5,mlb-5,2022-04-22T12:00:00,[0.0],2987,1,2.0,2.0,0.0,0.2,0.2,0.0,1.0,1.0,0.0,1.8,1.8,0.0
2022-04-23,6,mlb-6,2022-04-23T12:00:00,[0.0],2986,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-23,7,mlb-7,2022-04-23T12:00:00,[0.0],2986,1,4.0,4.0,0.0,0.4,0.4,0.0,2.0,2.0,0.0,3.6,3.6,0.0
2022-04-23,8,mlb-8,2022-04-23T12:00:00,[0.0],2986,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-23,9,mlb-9,2022-04-23T12:00:00,[0.0],2986,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-23,10,mlb-10,2022-04-23T12:00:00,[0.0],2986,0,1.0,1.0,0.0,0.1,0.1,0.0,0.5,0.5,0.0,0.9,0.9,0.0
2022-04-24,11,mlb-11,2022-04-24T12:00:00,[0.0],2984,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-24,12,mlb-12,2022-04-24T12:00:00,[0.0],2984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-24,13,mlb-13,2022-04-24T12:00:00,[0.0],2984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-25,14,mlb-14,2022-04-25T12:00:00,[0.0],2982,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-26,15,mlb-15,2022-04-26T12:00:00,[0.0],2980,1,1.0,1.0,0.0,0.1,0.1,0.0,0.5,0.5,0.0,0.9,0.9,0.0
2022-04-26,16,mlb-16,2022-04-26T12:00:00,[0.0],2980,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-26,17,mlb-17,2022-04-26T12:00:00,"[0.0,2.0]",2980,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.0
2022-04-27,18,mlb-18,2022-04-27T12:00:00,[0.0],2981,0,2.0,2.0,0.0,0.2,0.2,0.0,1.0,1.0,0.0,1.8,1.8,0.0
2022-04-27,19,mlb-19,2022-04-27T12:00:00,[4.0],2981,0,4.0,4.0,0.0,3.6,3.6,0.0,2.0,2.0,0.0,0.3999999999999999,0.3999999999999999,0.0
2022-04-28,20,mlb-20,2022-04-28T12:00:00,[0.0],2982,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-28,21,mlb-21,2022-04-28T12:00:00,[0.0],2982,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-28,22,mlb-22,2022-04-28T12:00:00,"[0.0,2.0,0.0,0.0]",2982,0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.0
2022-04-29,23,mlb-23,2022-04-29T12:00:00,[0.0],2982,0,4.0,4.0,0.0,0.4,0.4,0.0,2.0,2.0,0.0,3.6,3.6,0.0
2022-04-29,24,mlb-24,2022-04-29T12:00:00,"[4.0,0.0,0.0]",2982,0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,0.3999999999999999,0.0
