semantic_hash,feature,transform,params,column
511ac563b45beb36066bcaae9a240c4cf74a622c063114b30941c89f8b0dc941,home_team_pfs_cum,ew,"(('halflife', 3),)",home_team_pfs_cum|ew3
528e57abf2c38dd6f99af0a7369e932bf401be3905a07394cefb13abf0a7c046,pf_imbalance,ew,"(('halflife', 3),)",pf_imbalance|ew3
52fa9b9f81c1be2c39e867c485e107bba2574f453c860d8be449efcd63366ad2,seconds_remaining,ew,"(('halflife', 20),)",seconds_remaining|ew20
5a32c80308f76a2f6645710496c3ad66f1f540673b5b068fe2686131770c9850,poss_since_lead_change,ew,"(('halflife', 20),)",poss_since_lead_change|ew20
61cb089685b9b64af9a95a888f73b5f94a7c4710af9bbba3857623d933cc3ee7,pace_so_far,raw,(),pace_so_far|raw
655db95cf68dbbc27e2bf52199a54817f18c736d78092a576c6bd7ebe5cd4f65,poss_since_lead_change,ew,"(('halflife', 5),)",poss_since_lead_change|ew5
67e60a533645ead07ca5744d38a441a7a1bebb9d13219c78ae2256062f318579,home_starter_fouled_out_indicator,ew,"(('halflife', 20),)",home_starter_fouled_out_indicator|ew20
6bc6390eee0d6d3a6749203861bb710a6da9a4e28e1b2a984420bf6c04d191b3,away_team_pfs_cum,ew,"(('halflife', 20),)",away_team_pfs_cum|ew20
6d6bae80ea4e434e81747bf2598527cb1b6a71c6ab92dcedcdc9b7c6f5b7e282,away_starter_fouled_out_indicator,delta_vs_prior,(),away_starter_fouled_out_indicator|dprior
796cdb00f03cffe4d5139cce1f98104abab9c4a3ac72c11da32a07e34ddaaa3a,home_starter_fouled_out_indicator,raw,(),home_starter_fouled_out_indicator|raw
7ff18c9aedd61e9390ec2566526d9fe36082b2f0f1a1b748a50cb31d59969bdb,away_max_player_pfs,ew,"(('halflife', 20),)",away_max_player_pfs|ew20
828e46ca610766227b5ab4701715075fe3fc730b1bfe411b545b5cc0fbb6aa40,home_max_player_pfs,ew,"(('halflife', 3),)",home_max_player_pfs|ew3
83bbd670437155f442b810824b4560d2d22959047ec65fa8f6a26b0fbe685720,pace_so_far,ew,"(('halflife', 5),)",pace_so_far|ew5
864955aa5f6c3b942eddd3ebf761fc5d876ca7801b61740c51c3e15afe36a79c,possessions_elapsed,ew,"(('halflife', 3),)",possessions_elapsed|ew3
8a55856cbabf7147c1e79fd7f8b3fb6644c51b9b14fbdfbe04be67a792fd0365,home_team_pfs_cum,raw,(),home_team_pfs_cum|raw
8b5b321c00f1a745f5b75f2ebb6541007d9fe8752607a13825ef67b2845b7df0,home_max_player_pfs,ew,"(('halflife', 10),)",home_max_player_pfs|ew10
8ceee93710aad815a76a3eef682a521f8382177d0ffd9c7e4e5e1bb6ad93c408,pf_imbalance,ew,"(('halflife', 5),)",pf_imbalance|ew5
8f41415c55bffe7bb78ccb8f84627fbf406e0ece999b8b9843e85db26185187b,run_diff,delta_vs_prior,(),run_diff|dprior
97b749518bc1ca9448a7855cea90cf38bd5f9d6590ea93c5d6c2e6d2d2b5e054,away_team_pfs_cum,ew,"(('halflife', 10),)",away_team_pfs_cum|ew10
9a44c9ce6ef1b2db1494a858d0bc62045bf681c21c0c2456a4a0434183088104,seconds_remaining,ew,"(('halflife', 3),)",seconds_remaining|ew3
9a7d90bc310e0ae03bc0e474cab105353dc90724619b56fabd21a53fef1b71f5,pace_so_far,ew,"(('halflife', 10),)",pace_so_far|ew10
9e88f9bc99265df1cd3f49373756035f0f3e333f601cdd71938acba580e2dc99,away_team_pfs_cum,ew,"(('halflife', 3),)",away_team_pfs_cum|ew3
a3873abfaed8548071c5e64b3afb4940a160be56d0042b35811c0fdeddc1d4b7,pace_so_far,ew,"(('halflife', 20),)",pace_so_far|ew20
b111396d86427826f5dd63b5593041a50b88078d071d25d099e155b261b6252d,away_team_pfs_cum,delta_vs_prior,(),away_team_pfs_cum|dprior
b3e320042ff939a98d74525776222c3f98f2f1b662898b4b4eac4bc7d1030ad2,possessions_elapsed,ew,"(('halflife', 10),)",possessions_elapsed|ew10
b73d6b4b2939a0c6b6e6d8ecfbcf99435610a465749ef8dd2cb53d93cc5357d5,home_starter_fouled_out_indicator,ew,"(('halflife', 3),)",home_starter_fouled_out_indicator|ew3
ba86c0e709e995ddb5fe9003a0282d6448885c0cac38c84f1edb8981b2e56d8f,poss_since_lead_change,ew,"(('halflife', 3),)",poss_since_lead_change|ew3
be98e68a155f886f4c2ab37ace140c5165c171ff48a733f746e003f8b650ca65,away_starter_fouled_out_indicator,ew,"(('halflife', 5),)",away_starter_fouled_out_indicator|ew5
c6066af3ebd24ab55f94d2ae672e3ce387b77581637a4d4907132b474dfa214c,home_team_pfs_cum,delta_vs_prior,(),home_team_pfs_cum|dprior
c7ed5491430fa763c377b6a24e9d7e6070672cc60aa5055c3fc598becd80740b,run_diff,ew,"(('halflife', 3),)",run_diff|ew3
cbd3ccfb6ed64f439b14718af19d3fff624d5a880bae8337a4c5692155b4ff01,poss_since_lead_change,ew,"(('halflife', 10),)",poss_since_lead_change|ew10
cc84aafbc5e509e4764fe780a1eea6f5c3be2aaf8b29c71a73716fae30876703,possessions_elapsed,delta_vs_prior,(),possessions_elapsed|dprior
ce5e9c96a5bfd1efec7bcc377b6a3f3842ee7cc6c4d5aa10dfcf0207ccda7944,away_starter_fouled_out_indicator,ew,"(('halflife', 20),)",away_starter_fouled_out_indicator|ew20
