cluster_date,n_rows,cold_start_rows,naive_crps,naive_pinball_q10,naive_pinball_q50,naive_pinball_q90
2022-04-19,2,2,0.0,0.0,0.0,0.0
2022-04-21,1,1,2.0,0.2,1.0,1.8
2022-04-22,2,2,1.5,0.15000000000000002,0.75,1.35
2022-04-23,5,3,1.0,0.1,0.5,0.9
2022-04-24,3,1,0.0,0.0,0.0,0.0
2022-04-25,1,1,0.0,0.0,0.0,0.0
2022-04-26,3,2,0.5,0.03333333333333333,0.16666666666666666,0.3666666666666667
2022-04-27,2,0,3.0,1.9000000000000001,1.5,1.1
2022-04-28,3,1,0.041666666666666664,0.0,0.0,0.06666666666666665
2022-04-29,4,0,1.5954861111111112,0.2,1.0,1.0
2022-04-30,4,1,0.9450000000000001,0.125,0.625,0.55
2022-05-01,2,1,0.15625,0.05,0.25,0.04999999999999999
2022-05-02,1,0,0.8125,0.2,1.0,0.0
2022-05-03,2,1,0.08163265306122447,0.0,0.0,0.09999999999999998
2022-05-04,6,0,0.36743055555555565,0.10000000000000002,0.25,0.08333333333333331
2022-05-05,2,0,0.39062499999999994,0.1,0.25,0.19999999999999996
2022-05-06,3,1,1.2057823129251701,0.20000000000000004,0.6666666666666666,0.9666666666666668
2022-05-07,2,0,1.4444444444444444,0.2,1.0,0.9
2022-05-08,3,0,0.41634778911564635,0.10000000000000002,0.3333333333333333,0.09999999999999998
2022-05-09,1,0,0.4444444444444444,0.1,0.5,0.0
2022-05-10,4,0,1.4701388303255185,0.2,1.0,0.75
2022-05-11,6,0,0.38297453703703704,0.10000000000000002,0.25,0.11666666666666664
2022-05-12,3,0,0.6660879629629629,0.16666666666666666,0.8333333333333334,0.09999999999999998
2022-05-13,4,0,0.5765721450617285,0.1,0.25,0.14999999999999997
2022-05-14,5,0,0.5261839254220207,0.04,0.4,0.21999999999999992
2022-05-15,4,0,0.2910525321239607,0.05,0.125,0.19999999999999996
2022-05-16,2,0,0.702995867768595,0.0,0.5,0.24999999999999994
