cluster_date,row_index,prop_player,observed,forecast_samples_json,n_train_player,cold_start,naive_crps,naive_pinball_q10,naive_pinball_q50,naive_pinball_q90
2022-04-19,1,514917,0.0,[0.0],0,1,0.0,0.0,0.0,0.0
2022-04-19,2,592518,0.0,[0.0],0,1,0.0,0.0,0.0,0.0
2022-04-21,3,514917,2.0,[0.0],0,1,2.0,0.2,1.0,1.8
2022-04-22,4,573262,1.0,[0.0],0,1,1.0,0.1,0.5,0.9
2022-04-22,5,592518,2.0,[0.0],0,1,2.0,0.2,1.0,1.8
2022-04-23,6,669016,0.0,[0.0],0,1,0.0,0.0,0.0,0.0
2022-04-23,7,605141,4.0,[0.0],0,1,4.0,0.4,2.0,3.6
2022-04-23,8,573262,0.0,[0.0],0,1,0.0,0.0,0.0,0.0
2022-04-23,9,514917,0.0,[0.0],1,0,0.0,0.0,0.0,0.0
2022-04-23,10,592518,1.0,[0.0],1,0,1.0,0.1,0.5,0.9
2022-04-24,11,605141,0.0,[0.0],0,1,0.0,0.0,0.0,0.0
2022-04-24,12,514917,0.0,[0.0],1,0,0.0,0.0,0.0,0.0
2022-04-24,13,592518,0.0,[0.0],1,0,0.0,0.0,0.0,0.0
2022-04-25,14,605141,0.0,[0.0],0,1,0.0,0.0,0.0,0.0
2022-04-26,15,669016,1.0,[0.0],0,1,1.0,0.1,0.5,0.9
2022-04-26,16,605141,0.0,[0.0],0,1,0.0,0.0,0.0,0.0
2022-04-26,17,514917,0.0,"[0.0,2.0]",2,0,0.5,0.0,0.0,0.19999999999999996
2022-04-27,18,669016,2.0,[0.0],1,0,2.0,0.2,1.0,1.8
2022-04-27,19,605141,0.0,[4.0],1,0,4.0,3.6,2.0,0.3999999999999999
2022-04-28,20,669016,0.0,[0.0],1,0,0.0,0.0,0.0,0.0
2022-04-28,21,660636,0.0,[0.0],0,1,0.0,0.0,0.0,0.0
2022-04-28,22,514917,0.0,"[0.0,2.0,0.0,0.0]",4,0,0.125,0.0,0.0,0.19999999999999996
2022-04-29,23,669016,4.0,[0.0],1,0,4.0,0.4,2.0,3.6
2022-04-29,24,605141,0.0,"[4.0,0.0,0.0]",3,0,0.4444444444444444,0.0,0.0,0.3999999999999999
2022-04-29,25,514917,2.0,"[0.0,2.0,0.0,0.0]",4,0,1.125,0.2,1.0,0.0
2022-04-29,26,592518,2.0,"[0.0,2.0,1.0,0.0]",4,0,0.8125,0.2,1.0,0.0
2022-04-30,27,669016,3.0,"[0.0,1.0]",2,0,2.25,0.30000000000000004,1.5,1.8
2022-04-30,28,605141,0.0,"[4.0,0.0,0.0,0.0]",4,0,0.25,0.0,0.0,0.3999999999999999
2022-04-30,29,660636,0.0,[0.0],0,1,0.0,0.0,0.0,0.0
2022-04-30,30,514917,2.0,"[0.0,2.0,0.0,0.0,0.0]",5,0,1.28,0.2,1.0,0.0
2022-05-01,31,660636,0.0,[0.0],0,1,0.0,0.0,0.0,0.0
2022-05-01,32,592518,1.0,"[0.0,2.0,1.0,0.0]",4,0,0.3125,0.1,0.5,0.09999999999999998
2022-05-02,33,669016,2.0,"[0.0,1.0,2.0,0.0]",4,0,0.8125,0.2,1.0,0.0
2022-05-03,34,668800,0.0,[0.0],0,1,0.0,0.0,0.0,0.0
2022-05-03,35,514917,0.0,"[0.0,2.0,0.0,0.0,0.0,0.0,2.0]",7,0,0.16326530612244894,0.0,0.0,0.19999999999999996
2022-05-04,36,669016,3.0,"[0.0,1.0,2.0,0.0,4.0,3.0]",6,0,0.8333333333333334,0.30000000000000004,1.0,0.09999999999999998
2022-05-04,37,573262,0.0,"[1.0,0.0]",2,0,0.25,0.0,0.0,0.09999999999999998
2022-05-04,38,660636,0.0,"[0.0,0.0]",2,0,0.0,0.0,0.0,0.0
2022-05-04,39,514917,0.0,"[0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0]",8,0,0.28125,0.0,0.0,0.19999999999999996
2022-05-04,40,592518,1.0,"[0.0,2.0,1.0,0.0,2.0]",5,0,0.32000000000000006,0.1,0.0,0.09999999999999998
2022-05-04,41,592518,2.0,"[0.0,2.0,1.0,0.0,2.0]",5,0,0.52,0.2,0.5,0.0
2022-05-05,42,669016,2.0,"[0.0,1.0,2.0,0.0,4.0,3.0]",6,0,0.4999999999999999,0.2,0.5,0.19999999999999996
2022-05-05,43,514917,0.0,"[0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0]",8,0,0.28125,0.0,0.0,0.19999999999999996
2022-05-06,44,669016,2.0,"[0.0,1.0,2.0,0.0,4.0,3.0,2.0]",7,0,0.36734693877551017,0.2,0.0,0.19999999999999996
2022-05-06,45,573262,2.0,"[1.0,0.0]",2,0,1.25,0.2,1.0,0.9
2022-05-06,46,668800,2.0,[0.0],0,1,2.0,0.2,1.0,1.8
2022-05-07,47,660636,2.0,"[0.0,0.0,0.0]",3,0,2.0,0.2,1.0,1.8
2022-05-07,48,514917,2.0,"[0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0]",9,0,0.8888888888888888,0.2,1.0,0.0
2022-05-08,49,605141,1.0,"[4.0,0.0,0.0,0.0,0.0,0.0,0.0]",7,0,0.7959183673469389,0.1,0.5,0.29999999999999993
