game,commence_time,home_team,away_team,player,stat,line,over_price,under_price,book,capture_ts,source_file
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Egor Demin,player_assists,3.5,-122.0,-104.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Jared McCain,player_assists,3.5,106.0,-136.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Joel Embiid,player_assists,3.5,108.0,-138.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Michael Porter Jr,player_assists,2.5,-174.0,136.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Nicolas Claxton,player_assists,3.5,-140.0,110.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Paul George,player_assists,3.5,-136.0,106.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Terance Mann,player_assists,3.5,118.0,-150.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Tyrese Maxey,player_assists,7.5,108.0,-136.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Andre Drummond,player_points,5.5,-120.0,-106.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Ben Saraf,player_points,4.5,-102.0,-125.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Danny Wolf,player_points,8.5,-122.0,-104.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Day'Ron Sharpe,player_points,6.5,104.0,-132.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Egor Demin,player_points,9.5,-104.0,-122.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Jared McCain,player_points,12.5,-118.0,-108.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Joel Embiid,player_points,23.5,-108.0,-120.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Justin Edwards,player_points,7.5,-104.0,-122.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Michael Porter Jr,player_points,24.5,-104.0,-122.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Nicolas Claxton,player_points,13.5,-104.0,-122.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Noah Clowney,player_points,12.5,-128.0,100.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Paul George,player_points,16.5,100.0,-128.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
0022500410,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,Terance Mann,player_points,7.5,-115.0,-111.0,fanduel,2025-12-24T00:00:26Z,0022500410.json
