game_id,state_ts,kalshi_asof_ts,traded_any,trade_count_60s,outcome,n_evaluator_records,p_recal_null,p_candidate,loss_recal_null,loss_candidate,improvement
401859963,2026-06-04T00:45:06.000001+00:00,2026-06-04T00:45:00+00:00,1,2,0,7,0.5862527289897956,0.4259349685438854,0.34369226224798277,0.18142059742848066,0.16227166481950211
401859963,2026-06-04T00:46:05.000001+00:00,2026-06-04T00:46:00+00:00,1,2,0,7,0.5516818367424275,0.4158844471504976,0.3043528489914985,0.17295987338167504,0.13139297560982346
401859963,2026-06-04T00:47:05.000001+00:00,2026-06-04T00:47:00+00:00,1,2,0,7,0.5173380978892897,0.4061310746644055,0.26763870752770835,0.1649424498080649,0.10269625771964344
401859963,2026-06-04T00:48:06.000001+00:00,2026-06-04T00:48:00+00:00,1,2,0,7,0.505952381843462,0.4029344981099584,0.2559878126930724,0.16235620976712406,0.09363160292594835
401859963,2026-06-04T00:49:03.000001+00:00,2026-06-04T00:49:00+00:00,1,2,0,7,0.5631836734201744,0.41919813765232167,0.3171758500070416,0.17572707861117481,0.1414487713958668
401859963,2026-06-04T00:50:04.000001+00:00,2026-06-04T00:50:00+00:00,1,2,0,7,0.5402052794363496,0.4126036937899723,0.2918217439309045,0.17024180812912923,0.12157993580177526
401859963,2026-06-04T00:51:03.000001+00:00,2026-06-04T00:51:00+00:00,1,2,0,7,0.5402052794363496,0.4126036937899723,0.2918217439309045,0.17024180812912923,0.12157993580177526
401859963,2026-06-04T00:52:04.000001+00:00,2026-06-04T00:52:00+00:00,1,2,0,7,0.5402052794363496,0.4126036937899723,0.2918217439309045,0.17024180812912923,0.12157993580177526
401859963,2026-06-04T00:53:04.000001+00:00,2026-06-04T00:53:00+00:00,1,2,0,7,0.5402052794363496,0.4126036937899723,0.2918217439309045,0.17024180812912923,0.12157993580177526
401859963,2026-06-04T00:54:04.000001+00:00,2026-06-04T00:54:00+00:00,1,2,0,7,0.494601767438871,0.39976141339313986,0.24463090835365506,0.15980918763808086,0.0848217207155742
401859963,2026-06-04T00:55:06.000001+00:00,2026-06-04T00:55:00+00:00,1,2,0,7,0.494601767438871,0.39976141339313986,0.24463090835365506,0.15980918763808086,0.0848217207155742
401859963,2026-06-04T00:56:06.000001+00:00,2026-06-04T00:56:00+00:00,1,2,0,7,0.5287565394693128,0.4093533702663243,0.2795834780315629,0.16757018174839838,0.11201329628316453
401859963,2026-06-04T00:57:04.000001+00:00,2026-06-04T00:57:00+00:00,1,2,0,7,0.5402052794363496,0.4126036937899723,0.2918217439309045,0.17024180812912923,0.12157993580177526
401859963,2026-06-04T00:58:06.000001+00:00,2026-06-04T00:58:00+00:00,1,2,0,7,0.5402052794363496,0.4126036937899723,0.2918217439309045,0.17024180812912923,0.12157993580177526
401859963,2026-06-04T00:59:03.000001+00:00,2026-06-04T00:59:00+00:00,1,2,0,7,0.5747081913795258,0.4225473914819842,0.33028950523872563,0.17854629804822925,0.1517432071904964
401859963,2026-06-04T01:00:07.000001+00:00,2026-06-04T01:00:00+00:00,1,2,0,7,0.6093908766519008,0.4328369008653885,0.3713572405465722,0.18734778275075417,0.18400945779581804
401859963,2026-06-04T01:01:06.000001+00:00,2026-06-04T01:01:00+00:00,1,2,0,7,0.6325754056925544,0.43992936037130753,0.40015164388709984,0.19353784211670777,0.20661380177039207
