checkpoint_game_id,bridge_game_id,status,exclusion_reason
401704685,0022400119,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704686,0022400120,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704687,0022400121,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704688,0022400122,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704689,0022400123,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704690,0022400124,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704691,0022400125,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704692,0022400126,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704693,0022400127,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704694,0022400128,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704695,0022400129,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704696,0022400130,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704697,0022400131,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704698,0022400132,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704699,0022400133,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704700,0022400134,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704701,0022400135,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704702,0022400136,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704703,0022400137,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704704,0022400138,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704705,0022400139,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704706,0022400140,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704707,0022400141,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704708,0022400142,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704709,0022400143,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704710,0022400144,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704711,0022400145,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704712,0022400146,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704713,,NAMED-EXCLUDED,NO_BRIDGE_EVENT_ID
401704714,0022400148,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704715,0022400149,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704716,0022400150,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704717,0022400151,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704718,0022400152,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704719,0022400153,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704720,0022400154,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704721,0022400155,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704722,0022400156,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704723,0022400157,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704724,0022400158,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704725,0022400159,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704778,0022400212,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704779,0022400213,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704780,0022400214,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704781,0022400215,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704782,0022400216,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704783,0022400217,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704784,0022400218,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704785,0022400219,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704786,0022400220,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704787,0022400221,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704788,0022400222,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704789,0022400223,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704790,0022400224,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704791,0022400225,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704792,0022400226,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704793,0022400227,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704794,0022400228,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704795,0022400229,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704796,0022400230,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704797,0022400231,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704798,0022400232,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704799,0022400233,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704800,0022400234,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704801,0022400235,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704802,0022400236,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704803,0022400237,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704804,0022400238,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704805,0022400239,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704806,0022400240,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704807,0022400241,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704808,0022400242,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704809,0022400243,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704810,0022400244,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704811,0022400245,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704812,0022400246,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704813,0022400247,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704814,0022400248,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704815,0022400249,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704816,0022400250,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704817,0022400251,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
