event_id,reason
0022400292,null_price
0022400293,null_price
0022400294,null_price
0022400295,null_price
0022400296,null_price
0022400297,null_price
0022400298,null_price
0022400299,null_price
0022400300,null_price
0022400301,null_price
0022400302,null_price
0022400303,null_price
0022400304,null_price
0022400305,null_price
0022400306,inplay_close_source
0022400307,inplay_close_source
0022400308,inplay_close_source
0022400309,inplay_close_source
0022400310,null_price
0022400311,null_price
0022400312,null_price
0022400313,null_price
0022400314,inplay_close_source
0022400315,inplay_close_source
0022400316,inplay_close_source
0022400317,null_price
0022400318,inplay_close_source
0022400334,inplay_close_source
0022400335,inplay_close_source
0022400336,null_price
0022400337,null_price
0022400338,null_price
0022400339,inplay_close_source
0022400340,inplay_close_source
0022400341,inplay_close_source
0022400342,null_price
0022400343,null_price
0022400344,null_price
0022400345,inplay_close_source
0022400346,inplay_close_source
0022400347,null_price
0022400348,inplay_close_source
0022400349,inplay_close_source
0022400350,null_price
0022400351,null_price
0022400352,inplay_close_source
0022400353,null_price
0022400354,null_price
0022400355,inplay_close_source
0022400356,null_price
0022400357,inplay_close_source
0022400358,inplay_close_source
0022400359,inplay_close_source
0022400360,null_price
0022400361,null_price
0022400362,null_price
0022400363,null_price
0022400364,null_price
0022400365,null_price
0022400366,null_price
0022400367,null_price
0022400368,null_price
0022400369,null_price
0022400370,null_price
0022400371,null_price
0022400372,null_price
0022400373,null_price
0022400374,null_price
0022400375,null_price
0022400376,null_price
0022400377,null_price
0022400378,null_price
0022400379,null_price
0022400380,null_price
0022400381,null_price
0022400382,null_price
0022400383,null_price
0022400384,null_price
0022400385,null_price
0022400386,null_price
0022400387,null_price
0022400388,null_price
0022400389,inplay_close_source
0022400390,null_price
0022400391,inplay_close_source
0022400392,null_price
0022400393,inplay_close_source
0022400394,inplay_close_source
0022400395,null_price
0022400396,inplay_close_source
0022400397,inplay_close_source
0022400398,null_price
0022400399,inplay_close_source
0022400400,null_price
0022400401,inplay_close_source
0022400402,inplay_close_source
0022400403,inplay_close_source
0022400404,inplay_close_source
0022400410,inplay_close_source
0022400411,inplay_close_source
0022400412,null_price
0022400413,inplay_close_source
0022400414,null_price
0022400415,null_price
0022400416,inplay_close_source
0022400417,null_price
0022400418,null_price
0022400436,null_price
0022400437,inplay_close_source
0022400438,inplay_close_source
0022400439,null_price
0022400440,null_price
0022400441,inplay_close_source
0022400442,inplay_close_source
0022400443,null_price
0022400444,inplay_close_source
0022400445,null_price
0022400446,inplay_close_source
0022400447,null_price
0022400448,null_price
0022400449,inplay_close_source
0022400450,null_price
0022400451,inplay_close_source
0022400452,null_price
0022400453,null_price
0022400454,inplay_close_source
0022400455,null_price
0022400456,null_price
0022400457,null_price
0022400458,inplay_close_source
0022400459,inplay_close_source
0022400460,null_price
0022400461,inplay_close_source
0022400462,inplay_close_source
0022400463,null_price
0022400464,inplay_close_source
0022400465,null_price
0022400466,inplay_close_source
0022400467,null_price
0022400468,null_price
0022400469,inplay_close_source
0022400470,null_price
0022400471,null_price
0022400472,null_price
0022400473,inplay_close_source
0022400474,inplay_close_source
0022400475,null_price
0022400476,null_price
0022400477,inplay_close_source
0022400478,null_price
0022400479,null_price
0022400480,inplay_close_source
0022400481,inplay_close_source
0022400482,null_price
0022400483,inplay_close_source
0022400484,null_price
0022400485,null_price
0022400486,null_price
0022400487,inplay_close_source
0022400488,null_price
0022400489,inplay_close_source
0022400490,null_price
0022400491,inplay_close_source
0022400492,inplay_close_source
0022400493,inplay_close_source
0022400494,inplay_close_source
0022400495,inplay_close_source
0022400496,inplay_close_source
0022400497,null_price
0022400498,null_price
0022400499,null_price
0022400500,inplay_close_source
