game,date,timestamp_start,timestamp_end,n_ticks,incumbent_brier,market_brier,record_type,arm,nominal,cell,group_id,cluster_id,mean_probability,observed_frequency,mean_lo,mean_hi,covered
401703370,2024-11-12,2024-11-13T00:11:02Z,2024-11-13T04:40:03Z,270,0.36928336556817626,0.3887616861111111,paired_loss,,,,,,,,,,
401703371,2024-11-12,2024-11-13T00:11:02Z,2024-11-13T05:09:02Z,299,0.13020726059247217,0.09557008946488293,paired_loss,,,,,,,,,,
401703372,2024-11-12,2024-11-13T00:11:02Z,2024-11-13T04:40:03Z,270,0.02498663536338694,0.012555838888888886,paired_loss,,,,,,,,,,
401703373,2024-11-12,2024-11-13T00:37:02Z,2024-11-13T05:24:03Z,288,0.03110177143993666,0.03831976041666667,paired_loss,,,,,,,,,,
401703374,2024-11-12,2024-11-13T01:13:03Z,2024-11-13T05:53:02Z,281,0.025956127547386926,0.009380566725978649,paired_loss,,,,,,,,,,
401703375,2024-11-12,2024-11-13T02:12:03Z,2024-11-13T06:42:03Z,271,0.01081651714018691,0.010819642066420663,paired_loss,,,,,,,,,,
401703376,2024-11-12,2024-11-13T03:17:03Z,2024-11-13T08:00:03Z,284,0.14774556660902588,0.1022752957746479,paired_loss,,,,,,,,,,
401703377,2024-11-12,2024-11-13T03:12:02Z,2024-11-13T07:44:03Z,273,0.11637866568298255,0.1195846858974359,paired_loss,,,,,,,,,,
401703378,2024-11-15,2024-11-16T00:11:02Z,2024-11-16T04:40:03Z,270,0.06117472042101642,0.08228569722222223,paired_loss,,,,,,,,,,
401703379,2024-11-15,2024-11-16T00:12:03Z,2024-11-16T04:49:03Z,278,0.13833497016166768,0.11976739838129495,paired_loss,,,,,,,,,,
401703380,2024-11-15,2024-11-16T00:13:02Z,2024-11-16T04:44:03Z,272,0.09379006513185652,0.09175531893382352,paired_loss,,,,,,,,,,
401703381,2024-11-15,2024-11-16T00:41:03Z,2024-11-16T05:00:03Z,260,0.03330032273986669,0.01844080480769231,paired_loss,,,,,,,,,,
401703382,2024-11-15,2024-11-16T00:41:03Z,2024-11-16T05:00:03Z,260,0.02691393861040611,0.008967090384615385,paired_loss,,,,,,,,,,
401703383,2024-11-15,2024-11-16T00:42:03Z,2024-11-16T05:35:03Z,294,0.032540281356520206,0.014732960034013604,paired_loss,,,,,,,,,,
401703384,2024-11-15,2024-11-16T00:44:03Z,2024-11-16T05:14:02Z,271,0.05267218151525364,0.06936011162361624,paired_loss,,,,,,,,,,
401703385,2024-11-15,2024-11-16T01:12:03Z,2024-11-16T05:35:03Z,264,0.031114883200036483,0.013106946969696968,paired_loss,,,,,,,,,,
401703386,2024-11-15,2024-11-16T01:11:02Z,2024-11-16T05:25:03Z,255,0.08578800020517437,0.08320484901960787,paired_loss,,,,,,,,,,
401703387,2024-11-15,2024-11-16T01:11:02Z,2024-11-16T05:35:03Z,265,0.021244292977945032,0.005597809433962264,paired_loss,,,,,,,,,,
401703388,2024-11-15,2024-11-16T03:15:03Z,2024-11-16T07:58:03Z,284,0.02928644606923363,0.016018885563380283,paired_loss,,,,,,,,,,
401703389,2024-11-15,2024-11-16T03:12:03Z,2024-11-16T07:52:02Z,281,0.06083880440802029,0.059604387900355875,paired_loss,,,,,,,,,,
401703390,2024-11-19,2024-11-20T00:06:02Z,2024-11-20T04:29:02Z,264,0.02371517328400331,0.022075599431818183,paired_loss,,,,,,,,,,
401703391,2024-11-19,2024-11-20T00:42:03Z,2024-11-20T05:24:03Z,283,0.140203719077083,0.16326451413427562,paired_loss,,,,,,,,,,
401703392,2024-11-19,2024-11-20T01:11:02Z,2024-11-20T05:49:03Z,279,0.07058766503823878,0.061789669354838705,paired_loss,,,,,,,,,,
401703393,2024-11-19,2024-11-20T01:42:03Z,2024-11-20T05:59:02Z,258,0.004702796313750724,0.0012450125968992247,paired_loss,,,,,,,,,,
401703394,2024-11-19,2024-11-20T02:36:03Z,2024-11-20T07:00:03Z,265,0.15695775829942124,0.18687664905660378,paired_loss,,,,,,,,,,
401703395,2024-11-19,2024-11-20T03:42:03Z,2024-11-20T08:04:03Z,263,0.009147302174729886,0.0029369144486692,paired_loss,,,,,,,,,,
401703396,2024-11-22,2024-11-23T00:11:03Z,2024-11-23T04:38:03Z,268,0.07245617642406987,0.07283412220149255,paired_loss,,,,,,,,,,
401703397,2024-11-22,2024-11-23T00:12:03Z,2024-11-23T04:52:03Z,281,0.019282425148983078,0.013663517793594303,paired_loss,,,,,,,,,,
401703398,2024-11-22,2024-11-23T01:12:03Z,2024-11-23T05:38:03Z,267,0.01843236064732605,0.01280828838951311,paired_loss,,,,,,,,,,
401703399,2024-11-22,2024-11-23T01:13:03Z,2024-11-23T05:28:03Z,256,0.0514800729473972,0.06626216503906253,paired_loss,,,,,,,,,,
401703400,2024-11-22,2024-11-23T01:12:03Z,2024-11-23T05:28:03Z,257,0.008301975717006081,0.004185815175097277,paired_loss,,,,,,,,,,
401703401,2024-11-22,2024-11-23T00:44:03Z,2024-11-23T05:18:03Z,275,0.031931533496532265,0.025630665454545454,paired_loss,,,,,,,,,,
401703402,2024-11-22,2024-11-23T03:15:03Z,2024-11-23T07:49:02Z,275,0.09631028014331451,0.1073112909090909,paired_loss,,,,,,,,,,
401703403,2024-11-22,2024-11-23T03:41:03Z,2024-11-23T07:54:03Z,254,0.03319629188856324,0.036288288385826775,paired_loss,,,,,,,,,,
401703419,2024-12-03,2024-12-04T00:11:03Z,2024-12-04T04:41:02Z,271,0.03341013734407654,0.021447155904059042,paired_loss,,,,,,,,,,
401703420,2024-12-03,2024-12-04T00:11:03Z,2024-12-04T04:36:03Z,266,0.0028815495947739998,0.00044420394736842086,paired_loss,,,,,,,,,,
