bin,count,realized_rate,market_brier,incumbent_brier,ece_absolute,ece_weighted,n_eff_game_clustered,mde_80pct,status
00-01,118601,0.00022765406699774875,0.00022717337543528304,0.00022717337543528304,0.0005848601613813865,0.00022465960175670698,718.0039736143553,0.10455394242014342,UNDERPOWERED
01-02,2646,0.007180650037792895,0.007171492441421014,0.007171492441421014,0.007232804232804224,6.19842205495601e-05,496.0026339582223,0.12579455580399332,UNDERPOWERED
02-03,2513,0.027855153203342618,0.027085123159570235,0.027085123159570235,0.004184639872662158,3.4059257148039245e-05,470.00858440261004,0.12922630964945941,UNDERPOWERED
03-04,2152,0.020446096654275093,0.020258111640334572,0.020258111640334572,0.01364986059479555,9.51382321315214e-05,457.0081578788946,0.131051459208093,UNDERPOWERED
04-05,1915,0.04386422976501306,0.04197788211488252,0.04197788211488252,0.00017571801566577255,1.0898573630956302e-06,460.00900282825444,0.13062330609726983,UNDERPOWERED
05-06,1861,0.05803331542181623,0.054631216550241814,0.054631216550241814,0.00431327243417514,2.599787534493236e-05,451.00552433982335,0.1319206876713153,UNDERPOWERED
06-07,2366,0.06128486897717667,0.05745632977599325,0.05745632977599325,0.003786348267117483,2.9014820764616604e-05,508.0190345719148,0.12429791532220559,UNDERPOWERED
07-08,1580,0.07025316455696203,0.06527650205696202,0.06527650205696202,0.006054746835442992,3.0984013266138723e-05,445.00880723620975,0.13280656200782232,UNDERPOWERED
08-09,1601,0.08307307932542161,0.0761369928169894,0.0761369928169894,0.0033297938788256903,1.7266061226340316e-05,450.0097052597673,0.13206656957169657,UNDERPOWERED
09-10,1574,0.10736975857687421,0.09597416486658196,0.09597416486658196,0.011421219822109308,5.822396973662066e-05,440.0060367106983,0.13355941860179282,UNDERPOWERED
90-91,2669,0.9007118771075309,0.08944106163357061,0.08944106163357061,0.003156987635818731,2.7290157924057164e-05,606.01084430662,0.11380560173720154,UNDERPOWERED
91-92,2364,0.9158206429780034,0.07704751797800338,0.07704751797800338,0.0022038917089678423,1.6874166008109895e-05,594.0112445056402,0.11494934586903201,UNDERPOWERED
92-93,2623,0.9264201296225696,0.06815438696149448,0.06815438696149448,0.0027624857033931027,2.346836984544465e-05,593.0101638026695,0.11504632991334708,UNDERPOWERED
93-94,2716,0.9444035346097202,0.05257959849042709,0.05257959849042709,0.0107150220913107,9.425565818963798e-05,606.0135170185289,0.11380535077751673,UNDERPOWERED
94-95,2751,0.9589240276263177,0.039608791621228656,0.039608791621228656,0.015199745547073706,0.0001354289471297716,598.0138062283271,0.11456401672315582,UNDERPOWERED
95-96,2524,0.9564183835182251,0.04169166551109351,0.04169166551109351,0.002309231378764043,1.8877365945926376e-05,581.0118164978826,0.1162281579092658,UNDERPOWERED
96-97,2878,0.9649061848505907,0.03387581740792217,0.03387581740792217,0.0007762334954830585,7.235486921712428e-06,601.0127187336764,0.1142778354955713,UNDERPOWERED
97-98,3080,0.9720779220779221,0.02717255706168831,0.02717255706168831,0.002389448051947851,2.3835974037749493e-05,622.012457987012,0.11233220808189633,UNDERPOWERED
98-99,4142,0.9855142443264123,0.0142785887252535,0.0142785887252535,0.0005379043940125783,7.216054100973258e-06,672.0104493121604,0.10807265585128985,UNDERPOWERED
99-100,146200,0.9996853625170998,0.0003130243553351572,0.0003130243553351572,0.0004942647058824301,0.00023404079596837398,889.0065513132276,0.09396180621984514,UNDERPOWERED
