cluster_date,row_index,game_id,ts,forecast_samples_json,n_train,cold_start,archived_crps,route_crps,delta_crps,archived_pinball_q10,route_pinball_q10,delta_pinball_q10,archived_pinball_q50,route_pinball_q50,delta_pinball_q50,archived_pinball_q90,route_pinball_q90,delta_pinball_q90
2022-04-19,1,mlb-prop-1,2022-04-19T12:00:00,[0.0],2995,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-19,2,mlb-prop-2,2022-04-19T12:00:00,[0.0],2995,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-21,3,mlb-prop-3,2022-04-21T12:00:00,[0.0],2987,1,2.0,2.0,0.0,0.2,0.2,0.0,1.0,1.0,0.0,1.8,1.8,0.0
2022-04-22,4,mlb-prop-4,2022-04-22T12:00:00,[0.0],2987,1,1.0,1.0,0.0,0.1,0.1,0.0,0.5,0.5,0.0,0.9,0.9,0.0
2022-04-22,5,mlb-prop-5,2022-04-22T12:00:00,[0.0],2987,1,2.0,2.0,0.0,0.2,0.2,0.0,1.0,1.0,0.0,1.8,1.8,0.0
2022-04-23,6,mlb-prop-6,2022-04-23T12:00:00,[0.0],2986,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-23,7,mlb-prop-7,2022-04-23T12:00:00,[0.0],2986,1,4.0,4.0,0.0,0.4,0.4,0.0,2.0,2.0,0.0,3.6,3.6,0.0
2022-04-23,8,mlb-prop-8,2022-04-23T12:00:00,[0.0],2986,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-23,9,mlb-prop-9,2022-04-23T12:00:00,[0.0],2986,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-23,10,mlb-prop-10,2022-04-23T12:00:00,[0.0],2986,1,1.0,1.0,0.0,0.1,0.1,0.0,0.5,0.5,0.0,0.9,0.9,0.0
2022-04-24,11,mlb-prop-11,2022-04-24T12:00:00,[0.0],2984,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-24,12,mlb-prop-12,2022-04-24T12:00:00,[0.0],2984,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-24,13,mlb-prop-13,2022-04-24T12:00:00,[0.0],2984,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-25,14,mlb-prop-14,2022-04-25T12:00:00,[0.0],2982,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-26,15,mlb-prop-15,2022-04-26T12:00:00,[0.0],2980,1,1.0,1.0,0.0,0.1,0.1,0.0,0.5,0.5,0.0,0.9,0.9,0.0
2022-04-26,16,mlb-prop-16,2022-04-26T12:00:00,[0.0],2980,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-26,17,mlb-prop-17,2022-04-26T12:00:00,"[0.0,2.0]",2980,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.0
2022-04-27,18,mlb-prop-18,2022-04-27T12:00:00,[0.0],2981,1,2.0,2.0,0.0,0.2,0.2,0.0,1.0,1.0,0.0,1.8,1.8,0.0
2022-04-27,19,mlb-prop-19,2022-04-27T12:00:00,[4.0],2981,0,4.0,4.0,0.0,3.6,3.6,0.0,2.0,2.0,0.0,0.3999999999999999,0.3999999999999999,0.0
2022-04-28,20,mlb-prop-20,2022-04-28T12:00:00,[0.0],2982,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-28,21,mlb-prop-21,2022-04-28T12:00:00,[0.0],2982,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-28,22,mlb-prop-22,2022-04-28T12:00:00,"[0.0,2.0,0.0,0.0]",2982,0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.0
2022-04-29,23,mlb-prop-23,2022-04-29T12:00:00,[0.0],2982,1,4.0,4.0,0.0,0.4,0.4,0.0,2.0,2.0,0.0,3.6,3.6,0.0
2022-04-29,24,mlb-prop-24,2022-04-29T12:00:00,"[4.0,0.0,0.0]",2982,0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,0.3999999999999999,0.0
2022-04-29,25,mlb-prop-25,2022-04-29T12:00:00,"[0.0,2.0,0.0,0.0]",2982,0,1.125,1.125,0.0,0.2,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2022-04-29,26,mlb-prop-26,2022-04-29T12:00:00,"[0.0,2.0,1.0,0.0]",2982,0,0.8125,0.8125,0.0,0.2,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2022-04-30,27,mlb-prop-27,2022-04-30T12:00:00,"[0.0,1.0]",2983,0,2.25,2.25,0.0,0.30000000000000004,0.30000000000000004,0.0,1.5,1.5,0.0,1.8,1.8,0.0
2022-04-30,28,mlb-prop-28,2022-04-30T12:00:00,"[4.0,0.0,0.0,0.0]",2983,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,0.3999999999999999,0.0
2022-04-30,29,mlb-prop-29,2022-04-30T12:00:00,[0.0],2983,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-30,30,mlb-prop-30,2022-04-30T12:00:00,"[0.0,2.0,0.0,0.0,0.0]",2983,0,1.28,1.28,0.0,0.2,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2022-05-01,31,mlb-prop-31,2022-05-01T12:00:00,[0.0],2979,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,32,mlb-prop-32,2022-05-01T12:00:00,"[0.0,2.0,1.0,0.0]",2979,0,0.3125,0.3125,0.0,0.1,0.1,0.0,0.5,0.5,0.0,0.09999999999999998,0.09999999999999998,0.0
2022-05-02,33,mlb-prop-33,2022-05-02T12:00:00,"[0.0,1.0,2.0,0.0]",2980,0,0.8125,0.8125,0.0,0.2,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2022-05-03,34,mlb-prop-34,2022-05-03T12:00:00,[0.0],2981,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-03,35,mlb-prop-35,2022-05-03T12:00:00,"[0.0,2.0,0.0,0.0,0.0,0.0,2.0]",2981,0,0.16326530612244894,0.16326530612244894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.0
2022-05-04,36,mlb-prop-36,2022-05-04T12:00:00,"[0.0,1.0,2.0,0.0,4.0,3.0]",2983,0,0.8333333333333334,0.8333333333333334,0.0,0.30000000000000004,0.30000000000000004,0.0,1.0,1.0,0.0,0.09999999999999998,0.09999999999999998,0.0
2022-05-04,37,mlb-prop-37,2022-05-04T12:00:00,"[1.0,0.0]",2983,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.09999999999999998,0.0
2022-05-04,38,mlb-prop-38,2022-05-04T12:00:00,"[0.0,0.0]",2983,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-04,39,mlb-prop-39,2022-05-04T12:00:00,"[0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0]",2983,0,0.28125,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.0
2022-05-04,40,mlb-prop-40,2022-05-04T12:00:00,"[0.0,2.0,1.0,0.0,2.0]",2983,0,0.32000000000000006,0.32000000000000006,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.09999999999999998,0.09999999999999998,0.0
2022-05-04,41,mlb-prop-41,2022-05-04T12:00:00,"[0.0,2.0,1.0,0.0,2.0]",2983,0,0.52,0.52,0.0,0.2,0.2,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2022-05-05,42,mlb-prop-42,2022-05-05T12:00:00,"[0.0,1.0,2.0,0.0,4.0,3.0]",2982,0,0.4999999999999999,0.4999999999999999,0.0,0.2,0.2,0.0,0.5,0.5,0.0,0.19999999999999996,0.19999999999999996,0.0
2022-05-05,43,mlb-prop-43,2022-05-05T12:00:00,"[0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0]",2982,0,0.28125,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.0
2022-05-06,44,mlb-prop-44,2022-05-06T12:00:00,"[0.0,1.0,2.0,0.0,4.0,3.0,2.0]",2982,0,0.36734693877551017,0.36734693877551017,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.0
2022-05-06,45,mlb-prop-45,2022-05-06T12:00:00,"[1.0,0.0]",2982,0,1.25,1.25,0.0,0.2,0.2,0.0,1.0,1.0,0.0,0.9,0.9,0.0
2022-05-06,46,mlb-prop-46,2022-05-06T12:00:00,[0.0],2982,1,2.0,2.0,0.0,0.2,0.2,0.0,1.0,1.0,0.0,1.8,1.8,0.0
2022-05-07,47,mlb-prop-47,2022-05-07T12:00:00,"[0.0,0.0,0.0]",2980,0,2.0,2.0,0.0,0.2,0.2,0.0,1.0,1.0,0.0,1.8,1.8,0.0
2022-05-07,48,mlb-prop-48,2022-05-07T12:00:00,"[0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0]",2980,0,0.8888888888888888,0.8888888888888888,0.0,0.2,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2022-05-08,49,mlb-prop-49,2022-05-08T12:00:00,"[4.0,0.0,0.0,0.0,0.0,0.0,0.0]",2980,0,0.7959183673469389,0.7959183673469389,0.0,0.1,0.1,0.0,0.5,0.5,0.0,0.29999999999999993,0.29999999999999993,0.0
2022-05-08,50,mlb-prop-50,2022-05-08T12:00:00,"[0.0,0.0,0.0,0.0]",2980,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-08,51,mlb-prop-51,2022-05-08T12:00:00,"[0.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0]",2980,0,0.453125,0.453125,0.0,0.2,0.2,0.0,0.5,0.5,0.0,0.0,0.0,0.0
