stable_key,game_id,player_id,date,minutes,dnp,split_id,fold_status,n_train_asof,n_player_asof,asof_max_ts,baseline_dnp_probability,candidate_dnp_probability,baseline_q10,baseline_q50,baseline_q90,candidate_q10,candidate_q50,candidate_q90,candidate_positive_q10,candidate_positive_q50,candidate_positive_q90
0022300061|-3058254,0022300061,-3058254,2023-10-24,15.0,0,0,SCORED,0,0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022300061|2544,0022300061,2544,2023-10-24,29.0,0,0,SCORED,0,0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022300061|202704,0022300061,202704,2023-10-24,24.0,0,0,SCORED,0,0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022300061|203076,0022300061,203076,2023-10-24,34.0,0,0,SCORED,0,0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022300061|203484,0022300061,203484,2023-10-24,36.0,0,0,SCORED,0,0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022300061|203932,0022300061,203932,2023-10-24,35.0,0,0,SCORED,0,0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022300061|203999,0022300061,203999,2023-10-24,36.0,0,0,SCORED,0,0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022300061|1626156,0022300061,1626156,2023-10-24,36.0,0,0,SCORED,0,0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022300061|1627750,0022300061,1627750,2023-10-24,34.0,0,0,SCORED,0,0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022300061|1627752,0022300061,1627752,2023-10-24,30.0,0,0,SCORED,0,0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
