row_id,game,timestamp,game_date,y,market,p_null,p_candidate,margin,period,game_clock_s,state_age_s,stern_margin_over_sqrt_remaining,loss_market,loss_null,loss_candidate,delta_null_minus_candidate
2079,401856962,2026-06-05T01:07:00Z,2026-06-05,1.0,0.6,0.7854795806329639,0.7887501865492282,0.0,1.0,558.0,9.0,0.0,0.16000000000000003,0.04601901032540905,0.04462648368298587,0.0013925266424231822
2080,401856962,2026-06-05T01:07:00Z,2026-06-05,1.0,0.63,0.853976618015794,0.857117399697282,0.0,1.0,558.0,9.0,0.0,0.1369,0.021322828086105323,0.020415437469266284,0.0009073906168390392
2081,401856962,2026-06-05T01:08:00Z,2026-06-05,1.0,0.5900000000000001,0.7585196823763893,0.760303360336038,1.0,1.0,533.0,1.0,0.020703445650635786,0.16809999999999994,0.05831274379959989,0.05745447906619526,0.0008582647334046331
2082,401856962,2026-06-05T01:08:00Z,2026-06-05,1.0,0.6,0.7854795806329639,0.7874432819303906,1.0,1.0,533.0,1.0,0.020703445650635786,0.16000000000000003,0.04601901032540905,0.045180358396523415,0.0008386519288856378
2083,401856962,2026-06-05T01:09:00Z,2026-06-05,1.0,0.62,0.8332044575725023,0.835349087845665,1.0,1.0,479.0,5.0,0.020947289622255394,0.1444,0.027820752973683194,0.02710992287325455,0.0007108301004286437
2084,401856962,2026-06-05T01:09:00Z,2026-06-05,1.0,0.62,0.8332044575725023,0.835349087845665,1.0,1.0,479.0,5.0,0.020947289622255394,0.1444,0.027820752973683194,0.02710992287325455,0.0007108301004286437
2085,401856962,2026-06-05T01:10:00Z,2026-06-05,1.0,0.63,0.853976618015794,0.8561380461310999,1.0,1.0,447.0,6.0,0.021095919705369528,0.1369,0.021322828086105323,0.020696261770977543,0.00062656631512778
2086,401856962,2026-06-05T01:10:00Z,2026-06-05,1.0,0.62,0.8332044575725023,0.8353413604662425,1.0,1.0,447.0,6.0,0.021095919705369528,0.1444,0.027820752973683194,0.027112467573107882,0.000708285400575312
2087,401856962,2026-06-05T01:11:00Z,2026-06-05,1.0,0.6,0.7854795806329639,0.7873993344768973,1.0,1.0,384.0,3.0,0.021398024625545645,0.16000000000000003,0.04601901032540905,0.04519904298086621,0.0008199673445428435
2088,401856962,2026-06-05T01:11:00Z,2026-06-05,1.0,0.61,0.8103800576293995,0.8124270792073213,1.0,1.0,384.0,3.0,0.021398024625545645,0.1521,0.03595572254462987,0.03518360061469653,0.0007721219299333393
