game_id,stage,reason
KXMLBGAME-26JUN271905WSHBAL,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN271910CHCMIL,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN271910COLMIN,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN271910SEACLE,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN271915MIASTL,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN272040LADSD,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN272105ATLSF,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN281335CINPIT,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN281335WSHBAL,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN281337TEXTOR,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN281340AZTB,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN281340HOUDET,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN281340PHINYM,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN281340SEACLE,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN281410CHCMIL,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN281410COLMIN,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN281415MIASTL,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN281605ATLSF,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN281610LADSD,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUN281920NYYBOS,before_eligibility,NO_FINITE_E4
KXMLBGAME-26JUL011310TEXCLE,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUL011335DETNYY,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUL011335WSHBOS,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUL011420SDCHC,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUL011507NYMTOR,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUL011840PITPHI,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUL011915STLATL,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUL011940TBKC,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUL012010CINMIL,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUL012010MINHOU,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUL012040MIACOL,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUL012140SFAZ,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUL021235PITPHI,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUL021410CINMIL,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUL021510MIACOL,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
