possession_id,team,team_abbrev,start_time,end_time,duration_s,n_frames
11,0,,43.0,73.0,30.0,115
12,0,,73.1,86.5,13.4,135
37,0,,89.0,98.1,9.1,92
69,0,,101.3,110.4,9.1,92
165,0,,166.8,173.1,6.3,64
167,0,,174.7,227.0,52.3,310
957,0,,318.0,338.1,20.1,52
958,0,,338.2,359.5,21.3,94
959,0,,359.6,362.9,3.3,34
960,0,,363.0,367.2,4.2,43
961,0,,367.3,375.7,8.4,55
964,0,,377.8,379.8,2.0,21
965,0,,379.9,397.0,17.1,22
967,0,,398.6,400.3,1.7,18
968,0,,400.4,403.8,3.4,35
969,0,,403.9,408.2,4.3,41
970,0,,408.3,412.5,4.2,34
971,0,,412.6,457.7,45.1,67
1033,0,,463.9,485.6,21.7,218
1035,0,,486.3,497.0,10.7,108
1228,0,,516.3,543.3,27.0,91
1230,0,,544.3,553.0,8.7,88
1231,0,,553.1,563.9,10.8,109
1737,0,,626.5,646.6,20.1,112
1738,0,,646.7,655.5,8.8,89
1740,0,,656.2,659.7,3.5,36
1741,0,,659.8,668.3,8.5,86
1743,0,,669.7,672.6,2.9,30
1744,0,,672.7,677.8,5.1,52
1745,0,,677.9,679.9,2.0,21
1747,0,,681.3,687.3,6.0,61
1748,0,,687.4,697.6,10.2,103
1750,0,,698.3,701.0,2.7,28
1751,0,,701.1,718.4,17.3,174
1761,0,,720.6,724.2,3.6,37
1762,0,,724.3,726.5,2.2,23
1763,0,,726.6,734.9,8.3,84
1764,0,,735.0,747.3,12.3,124
1765,0,,747.4,753.3,5.9,30
1766,0,,753.4,763.4,10.0,71
1767,0,,763.5,766.6,3.1,32
1768,0,,766.7,768.9,2.2,23
1769,0,,769.0,778.7,9.7,98
1771,0,,779.3,789.0,9.7,98
1812,0,,793.1,796.2,3.1,32
1813,0,,796.3,797.9,1.6,17
1815,0,,798.8,801.3,2.5,26
1816,0,,801.4,817.0,15.6,157
1817,0,,817.1,820.9,3.8,39
1818,0,,821.0,822.5,1.5,16
1821,0,,824.5,835.4,10.9,110
1822,0,,835.5,840.4,4.9,50
1823,0,,840.5,845.8,5.3,54
1824,0,,845.9,850.3,4.4,45
1825,0,,850.4,851.9,1.5,16
1827,0,,853.4,855.5,2.1,22
1828,0,,855.6,858.9,3.3,34
1830,0,,860.2,862.6,2.4,25
1831,0,,862.7,866.9,4.2,43
1833,0,,867.9,873.1,5.2,53
1835,0,,873.8,877.4,3.6,37
1836,0,,877.5,882.4,4.9,50
1837,0,,882.5,885.1,2.6,27
1839,0,,886.1,887.8,1.7,18
1840,0,,887.9,891.9,4.0,41
1841,0,,892.0,894.4,2.4,25
1842,0,,894.5,1429.6,535.1,57
1843,0,,1429.7,1440.8,11.1,112
1844,0,,1440.9,1458.5,17.6,177
1845,0,,1458.6,1460.1,1.5,16
1846,0,,1460.2,1466.3,6.1,62
