frame,track_id,cls,x,y,calibration_provenance,projection_status,projection_rejection_reason,raw_projected_x_ft,raw_projected_y_ft,coordinate_space,observation,calibration
0,1,player,3.251889705657959,22.54595184326172,solved,,,,,court_feet,observed,homography
0,2,player,39.47746658325195,32.59217834472656,solved,,,,,court_feet,observed,homography
5,1,player,4.2931413650512695,22.584692001342773,solved,,,,,court_feet,observed,homography
5,2,player,40.92212677001953,30.33439064025879,solved,,,,,court_feet,observed,homography
10,1,player,4.288112640380859,22.611173629760742,solved,,,,,court_feet,observed,homography
10,2,player,41.140625,29.38863182067871,solved,,,,,court_feet,observed,homography
15,1,player,5.61726188659668,22.819564819335938,solved,,,,,court_feet,observed,homography
15,2,player,43.54530715942383,27.987083435058594,solved,,,,,court_feet,observed,homography
20,1,player,5.965885639190674,22.934690475463867,solved,,,,,court_feet,observed,homography
20,2,player,42.10017395019531,25.98637580871582,solved,,,,,court_feet,observed,homography
25,1,player,6.411933898925781,23.112228393554688,solved,,,,,court_feet,observed,homography
25,2,player,42.99382400512695,24.760726928710938,solved,,,,,court_feet,observed,homography
30,1,player,6.772500514984131,23.298786163330078,solved,,,,,court_feet,observed,homography
30,2,player,41.396873474121094,22.182313919067383,solved,,,,,court_feet,observed,homography
35,1,player,6.7854814529418945,23.550045013427734,solved,,,,,court_feet,observed,homography
35,2,player,42.15740966796875,20.646120071411133,solved,,,,,court_feet,observed,homography
40,1,player,7.052381992340088,23.57350730895996,camera_lock_drift_checked,,,,,court_feet,observed,homography
40,2,player,40.86874008178711,18.70362663269043,camera_lock_drift_checked,,,,,court_feet,observed,homography
45,1,player,7.368199348449707,23.78562355041504,solved,,,,,court_feet,observed,homography
45,2,player,41.023681640625,16.313268661499023,solved,,,,,court_feet,observed,homography
50,1,player,7.826684951782227,23.897043228149414,solved,,,,,court_feet,observed,homography
50,2,player,42.626800537109375,14.83187484741211,solved,,,,,court_feet,observed,homography
5500,3,player,-2.122703790664673,21.015033721923828,solved,,,,,court_feet,observed,homography
5500,4,player,87.84196472167969,5.477764129638672,solved,,,,,court_feet,observed,homography
5505,3,player,-2.0377004146575928,21.065563201904297,solved,,,,,court_feet,observed,homography
5505,4,player,88.01055908203125,5.49539852142334,solved,,,,,court_feet,observed,homography
5515,3,player,-1.975996971130371,21.184900283813477,solved,,,,,court_feet,observed,homography
5515,4,player,87.82788848876953,5.471604824066162,solved,,,,,court_feet,observed,homography
5520,3,player,-2.1095454692840576,21.105438232421875,solved,,,,,court_feet,observed,homography
5520,4,player,87.8107681274414,5.447696208953857,solved,,,,,court_feet,observed,homography
5525,3,player,-2.087820291519165,21.084747314453125,camera_lock_drift_checked,,,,,court_feet,observed,homography
5525,4,player,87.95635223388672,5.464531898498535,camera_lock_drift_checked,,,,,court_feet,observed,homography
5530,3,player,-2.0974678993225098,21.018115997314453,camera_lock_drift_checked,,,,,court_feet,observed,homography
5530,4,player,88.02102661132812,5.463216304779053,camera_lock_drift_checked,,,,,court_feet,observed,homography
5535,3,player,-2.2674832344055176,20.94701385498047,solved,,,,,court_feet,observed,homography
5535,4,player,88.06415557861328,5.470022201538086,solved,,,,,court_feet,observed,homography
5540,3,player,-2.1016223430633545,20.648550033569336,solved,,,,,court_feet,observed,homography
5540,4,player,88.53468322753906,5.546803951263428,solved,,,,,court_feet,observed,homography
5545,3,player,-2.0888872146606445,20.766427993774414,camera_lock_drift_checked,,,,,court_feet,observed,homography
5545,4,player,87.9578628540039,5.495166778564453,camera_lock_drift_checked,,,,,court_feet,observed,homography
5550,3,player,-2.1043553352355957,20.716135025024414,solved,,,,,court_feet,observed,homography
5550,4,player,88.38134765625,5.5462117195129395,solved,,,,,court_feet,observed,homography
5555,3,player,-2.258416175842285,20.716480255126953,solved,,,,,court_feet,observed,homography
5555,4,player,88.18070220947266,5.462330341339111,solved,,,,,court_feet,observed,homography
5560,3,player,-2.2236039638519287,20.722864151000977,solved,,,,,court_feet,observed,homography
5560,4,player,88.30779266357422,5.482546806335449,solved,,,,,court_feet,observed,homography
5565,3,player,-2.2783915996551514,20.956295013427734,solved,,,,,court_feet,observed,homography
5565,4,player,87.9140625,5.455422878265381,solved,,,,,court_feet,observed,homography
5570,3,player,-2.2142062187194824,21.168975830078125,solved,,,,,court_feet,observed,homography
5570,4,player,87.80854797363281,5.482125759124756,solved,,,,,court_feet,observed,homography
5575,3,player,-2.1890833377838135,21.1441650390625,solved,,,,,court_feet,observed,homography
5575,4,player,87.65433502197266,5.485164642333984,solved,,,,,court_feet,observed,homography
5580,3,player,-2.047839403152466,21.197643280029297,solved,,,,,court_feet,observed,homography
5580,4,player,87.598876953125,5.472971439361572,solved,,,,,court_feet,observed,homography
5585,3,player,-1.4724839925765991,21.35627555847168,solved,,,,,court_feet,observed,homography
5585,4,player,88.10602569580078,5.502398490905762,solved,,,,,court_feet,observed,homography
5590,3,player,-1.206085205078125,21.67136001586914,solved,,,,,court_feet,observed,homography
5590,4,player,87.86243438720703,5.495153903961182,solved,,,,,court_feet,observed,homography
5595,3,player,-1.1127523183822632,21.789087295532227,camera_lock_drift_checked,,,,,court_feet,observed,homography
5595,4,player,87.51054382324219,5.487077236175537,camera_lock_drift_checked,,,,,court_feet,observed,homography
5600,3,player,-1.2381993532180786,21.734785079956055,camera_lock_drift_checked,,,,,court_feet,observed,homography
5600,4,player,87.4012451171875,5.500957489013672,camera_lock_drift_checked,,,,,court_feet,observed,homography
5605,3,player,-1.3460594415664673,21.555030822753906,solved,,,,,court_feet,observed,homography
5605,4,player,88.07022094726562,5.52978515625,solved,,,,,court_feet,observed,homography
5610,3,player,-1.2591935396194458,21.45549201965332,solved,,,,,court_feet,observed,homography
5610,4,player,87.9577407836914,5.5196428298950195,solved,,,,,court_feet,observed,homography
5615,3,player,1.1894891262054443,21.51424217224121,solved,,,,,court_feet,observed,homography
5615,4,player,88.05097961425781,5.487648010253906,solved,,,,,court_feet,observed,homography
5620,3,player,2.7990739345550537,21.869165420532227,solved,,,,,court_feet,observed,homography
5620,4,player,87.13020324707031,5.150755882263184,solved,,,,,court_feet,observed,homography
5625,3,player,4.521464824676514,22.050804138183594,solved,,,,,court_feet,observed,homography
5625,4,player,85.2043685913086,4.995951175689697,solved,,,,,court_feet,observed,homography
5630,3,player,2.1994407176971436,21.521377563476562,camera_lock_drift_checked,,,,,court_feet,observed,homography
5630,4,player,85.2694091796875,5.0192108154296875,camera_lock_drift_checked,,,,,court_feet,observed,homography
5635,3,player,1.1533724069595337,21.472156524658203,camera_lock_drift_checked,,,,,court_feet,observed,homography
5635,4,player,84.78345489501953,4.93745231628418,camera_lock_drift_checked,,,,,court_feet,observed,homography
5640,3,player,1.1612783670425415,21.10670280456543,camera_lock_drift_checked,,,,,court_feet,observed,homography
5640,4,player,85.40834045410156,4.288707256317139,camera_lock_drift_checked,,,,,court_feet,observed,homography
5645,3,player,2.672027587890625,21.492061614990234,camera_lock_drift_checked,,,,,court_feet,observed,homography
5645,4,player,85.2152099609375,3.238402843475342,camera_lock_drift_checked,,,,,court_feet,observed,homography
5650,3,player,2.907313823699951,20.960674285888672,solved,,,,,court_feet,observed,homography
5650,4,player,84.93415832519531,0.6482312679290771,solved,,,,,court_feet,observed,homography
5655,3,player,2.1067352294921875,20.737199783325195,solved,,,,,court_feet,observed,homography
5655,4,player,86.4419174194336,0.7200915813446045,solved,,,,,court_feet,observed,homography
5660,3,player,2.8237133026123047,20.464683532714844,solved,,,,,court_feet,observed,homography
5660,4,player,82.5533447265625,-0.11318131536245346,solved,,,,,court_feet,observed,homography
5665,3,player,1.9006538391113281,20.121097564697266,camera_lock_drift_checked,,,,,court_feet,observed,homography
5665,4,player,82.7589340209961,-1.1293655633926392,camera_lock_drift_checked,,,,,court_feet,observed,homography
5670,3,player,2.056955099105835,20.102689743041992,solved,,,,,court_feet,observed,homography
5670,4,player,82.36488342285156,-1.9801344871520996,solved,,,,,court_feet,observed,homography
5675,3,player,1.8806259632110596,19.579118728637695,camera_lock_drift_checked,,,,,court_feet,observed,homography
5675,4,player,82.15298461914062,-2.6182467937469482,camera_lock_drift_checked,,,,,court_feet,observed,homography
5680,3,player,1.6416045427322388,18.289644241333008,solved,,,,,court_feet,observed,homography
5680,4,player,82.15476989746094,-2.677096366882324,solved,,,,,court_feet,observed,homography
5685,3,player,0.35986530780792236,17.79385757446289,camera_lock_drift_checked,,,,,court_feet,observed,homography
5685,4,player,82.58055114746094,-2.636639356613159,camera_lock_drift_checked,,,,,court_feet,observed,homography
5690,3,player,-0.4759402573108673,16.997331619262695,solved,,,,,court_feet,observed,homography
5690,4,player,82.9006118774414,-2.6009926795959473,solved,,,,,court_feet,observed,homography
5695,3,player,-1.1268987655639648,16.06916618347168,solved,,,,,court_feet,observed,homography
5695,4,player,83.15985870361328,-2.6272928714752197,solved,,,,,court_feet,observed,homography
5700,3,player,-0.9830264449119568,14.571941375732422,solved,,,,,court_feet,observed,homography
5700,4,player,82.944091796875,-2.5175960063934326,solved,,,,,court_feet,observed,homography
5705,3,player,-0.3061210811138153,13.696167945861816,solved,,,,,court_feet,observed,homography
5705,4,player,82.96920776367188,-2.364534854888916,solved,,,,,court_feet,observed,homography
5710,3,player,0.4931495487689972,12.382453918457031,solved,,,,,court_feet,observed,homography
5710,4,player,83.53665161132812,-1.9630506038665771,solved,,,,,court_feet,observed,homography
5715,3,player,1.035163164138794,11.318854331970215,solved,,,,,court_feet,observed,homography
5715,4,player,82.99800109863281,-1.4786076545715332,solved,,,,,court_feet,observed,homography
5720,3,player,0.9087331891059875,10.346721649169922,solved,,,,,court_feet,observed,homography
5720,4,player,84.1198959350586,-1.0588393211364746,solved,,,,,court_feet,observed,homography
5725,3,player,0.7971858382225037,9.492674827575684,solved,,,,,court_feet,observed,homography
5725,4,player,83.06571197509766,-0.6499923467636108,solved,,,,,court_feet,observed,homography
5730,3,player,0.9591639041900635,8.72147274017334,solved,,,,,court_feet,observed,homography
5730,4,player,82.91349029541016,-0.21067945659160614,solved,,,,,court_feet,observed,homography
5735,3,player,1.3139126300811768,8.283734321594238,camera_lock_drift_checked,,,,,court_feet,observed,homography
5735,4,player,83.4140853881836,0.03629080951213837,camera_lock_drift_checked,,,,,court_feet,observed,homography
5740,3,player,1.4715101718902588,7.8086724281311035,solved,,,,,court_feet,observed,homography
5740,4,player,83.397705078125,0.02634337730705738,solved,,,,,court_feet,observed,homography
5745,3,player,2.135566234588623,7.855599403381348,camera_lock_drift_checked,,,,,court_feet,observed,homography
5745,4,player,83.24723815917969,0.39010390639305115,camera_lock_drift_checked,,,,,court_feet,observed,homography
5750,3,player,2.1844522953033447,7.554888725280762,camera_lock_drift_checked,,,,,court_feet,observed,homography
5750,4,player,83.40411376953125,0.795295774936676,camera_lock_drift_checked,,,,,court_feet,observed,homography
5755,3,player,2.643883466720581,7.071341037750244,camera_lock_drift_checked,,,,,court_feet,observed,homography
5755,4,player,83.93418884277344,0.9685958027839661,camera_lock_drift_checked,,,,,court_feet,observed,homography
5760,3,player,2.7490217685699463,6.071704387664795,camera_lock_drift_checked,,,,,court_feet,observed,homography
5760,4,player,83.99725341796875,1.6642746925354004,camera_lock_drift_checked,,,,,court_feet,observed,homography
5765,3,player,2.5631823539733887,6.0855560302734375,solved,,,,,court_feet,observed,homography
5765,4,player,84.59669494628906,2.0201404094696045,solved,,,,,court_feet,observed,homography
5770,3,player,1.8155490159988403,5.9253339767456055,solved,,,,,court_feet,observed,homography
5770,4,player,84.57743835449219,2.3996427059173584,solved,,,,,court_feet,observed,homography
5775,3,player,2.6932802200317383,5.417295932769775,solved,,,,,court_feet,observed,homography
5775,4,player,84.86744689941406,2.497725248336792,solved,,,,,court_feet,observed,homography
5780,3,player,2.6589927673339844,4.916499614715576,solved,,,,,court_feet,observed,homography
5780,4,player,85.45482635498047,2.9076449871063232,solved,,,,,court_feet,observed,homography
