frame,track_id,cls,x,y,calibration_provenance,projection_status,projection_rejection_reason,raw_projected_x_ft,raw_projected_y_ft,coordinate_space,observation,calibration
254,1,player,-0.8561360836029053,22.990304946899414,solved,,,,,court_feet,observed,homography
254,2,player,64.45960235595703,48.544227600097656,solved,,,,,court_feet,observed,homography
260,1,player,1.3303109407424927,22.398456573486328,solved,,,,,court_feet,observed,homography
260,2,player,64.98920440673828,48.8657112121582,solved,,,,,court_feet,observed,homography
264,1,player,2.3648340702056885,22.45835304260254,solved,,,,,court_feet,observed,homography
264,2,player,64.992919921875,49.1380729675293,solved,,,,,court_feet,observed,homography
266,1,player,1.7791938781738281,22.105375289916992,solved,,,,,court_feet,observed,homography
266,2,player,64.85674285888672,49.2487907409668,solved,,,,,court_feet,observed,homography
268,1,player,1.4412673711776733,22.094390869140625,solved,,,,,court_feet,observed,homography
268,2,player,63.73950958251953,48.326141357421875,solved,,,,,court_feet,observed,homography
270,1,player,1.6239241361618042,21.84442901611328,camera_lock_drift_checked,,,,,court_feet,observed,homography
270,2,player,64.65996551513672,49.075218200683594,camera_lock_drift_checked,,,,,court_feet,observed,homography
272,1,player,1.3627158403396606,21.812211990356445,camera_lock_drift_checked,,,,,court_feet,observed,homography
272,2,player,64.58119201660156,49.062705993652344,camera_lock_drift_checked,,,,,court_feet,observed,homography
274,1,player,1.032416820526123,21.679929733276367,solved,,,,,court_feet,observed,homography
274,2,player,64.2786636352539,48.807796478271484,solved,,,,,court_feet,observed,homography
276,1,player,1.083615779876709,21.582748413085938,solved,,,,,court_feet,observed,homography
276,2,player,64.8989028930664,49.00027084350586,solved,,,,,court_feet,observed,homography
278,1,player,3.2779862880706787,21.260635375976562,solved,,,,,court_feet,observed,homography
278,2,player,66.67179870605469,50.63112258911133,solved,,,,,court_feet,observed,homography
280,1,player,1.7224225997924805,21.178232192993164,solved,,,,,court_feet,observed,homography
280,2,player,64.93717956542969,49.37032699584961,solved,,,,,court_feet,observed,homography
282,1,player,0.8053028583526611,21.09850311279297,solved,,,,,court_feet,observed,homography
282,2,player,64.13864135742188,48.71550750732422,solved,,,,,court_feet,observed,homography
284,1,player,0.25795939564704895,21.007152557373047,solved,,,,,court_feet,observed,homography
284,2,player,63.888824462890625,48.57758331298828,solved,,,,,court_feet,observed,homography
286,1,player,0.03620965778827667,20.767410278320312,solved,,,,,court_feet,observed,homography
286,2,player,63.6651496887207,48.43217086791992,solved,,,,,court_feet,observed,homography
288,1,player,-0.2732919454574585,20.262001037597656,solved,,,,,court_feet,observed,homography
288,2,player,63.094139099121094,47.9103889465332,solved,,,,,court_feet,observed,homography
290,1,player,-1.056174635887146,19.879549026489258,camera_lock_drift_checked,,,,,court_feet,observed,homography
290,2,player,65.20636749267578,48.6500244140625,camera_lock_drift_checked,,,,,court_feet,observed,homography
292,1,player,-2.2452216148376465,19.67683982849121,camera_lock_drift_checked,,,,,court_feet,observed,homography
292,2,player,64.04008483886719,48.495338439941406,camera_lock_drift_checked,,,,,court_feet,observed,homography
294,1,player,-2.785506010055542,19.64032554626465,camera_lock_drift_checked,,,,,court_feet,observed,homography
294,2,player,63.96984100341797,48.50437927246094,camera_lock_drift_checked,,,,,court_feet,observed,homography
296,1,player,-2.9866297245025635,19.54309844970703,solved,,,,,court_feet,observed,homography
296,2,player,63.64806365966797,48.00310134887695,solved,,,,,court_feet,observed,homography
298,1,player,-2.961707830429077,19.746248245239258,camera_lock_drift_checked,,,,,court_feet,observed,homography
298,2,player,64.03468322753906,48.29582977294922,camera_lock_drift_checked,,,,,court_feet,observed,homography
300,1,player,-2.662080764770508,20.176971435546875,solved,,,,,court_feet,observed,homography
300,2,player,63.967803955078125,48.06291961669922,solved,,,,,court_feet,observed,homography
302,1,player,-2.7846298217773438,20.81772232055664,solved,,,,,court_feet,observed,homography
302,2,player,64.76280212402344,48.567874908447266,solved,,,,,court_feet,observed,homography
304,1,player,-1.0498276948928833,21.87308692932129,solved,,,,,court_feet,observed,homography
304,2,player,65.60923767089844,49.75394821166992,solved,,,,,court_feet,observed,homography
306,1,player,-1.735155463218689,22.16010284423828,solved,,,,,court_feet,observed,homography
306,2,player,65.26548767089844,49.26095962524414,solved,,,,,court_feet,observed,homography
310,1,player,-2.637052297592163,23.60267448425293,solved,,,,,court_feet,observed,homography
310,2,player,64.73297119140625,48.99701690673828,solved,,,,,court_feet,observed,homography
312,1,player,-3.228684663772583,24.06092071533203,solved,,,,,court_feet,observed,homography
312,2,player,64.66915893554688,48.86099624633789,solved,,,,,court_feet,observed,homography
314,1,player,-3.041236400604248,25.03302001953125,solved,,,,,court_feet,observed,homography
314,2,player,64.1507568359375,48.261993408203125,solved,,,,,court_feet,observed,homography
316,1,player,-3.8728959560394287,25.327579498291016,solved,,,,,court_feet,observed,homography
316,2,player,64.01561737060547,48.10902786254883,solved,,,,,court_feet,observed,homography
318,1,player,-2.0228424072265625,25.811262130737305,solved,,,,,court_feet,observed,homography
318,2,player,64.18252563476562,48.343074798583984,solved,,,,,court_feet,observed,homography
320,1,player,-2.615370750427246,25.904714584350586,solved,,,,,court_feet,observed,homography
320,2,player,63.7157096862793,48.48666000366211,solved,,,,,court_feet,observed,homography
322,1,player,-2.209980010986328,26.460500717163086,solved,,,,,court_feet,observed,homography
322,2,player,64.80744171142578,49.04114532470703,solved,,,,,court_feet,observed,homography
324,1,player,-2.728088855743408,26.536865234375,solved,,,,,court_feet,observed,homography
324,2,player,64.25922393798828,48.56656265258789,solved,,,,,court_feet,observed,homography
326,1,player,-2.992999792098999,26.372133255004883,solved,,,,,court_feet,observed,homography
326,2,player,63.964534759521484,48.59568405151367,solved,,,,,court_feet,observed,homography
328,1,player,-3.1824052333831787,26.125940322875977,solved,,,,,court_feet,observed,homography
328,2,player,63.960384368896484,48.64121627807617,solved,,,,,court_feet,observed,homography
330,1,player,-3.34578013420105,25.88033676147461,solved,,,,,court_feet,observed,homography
330,2,player,63.83486557006836,48.537742614746094,solved,,,,,court_feet,observed,homography
332,1,player,-3.1893980503082275,25.328035354614258,solved,,,,,court_feet,observed,homography
332,2,player,64.09834289550781,48.661869049072266,solved,,,,,court_feet,observed,homography
334,1,player,-3.042987108230591,25.082820892333984,solved,,,,,court_feet,observed,homography
